match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082592,2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,23eeb873,Rising Pune Supergiant,0,0,0,0,12,0,21,0,0,0,0,0,0,-2,0,-2,29e95537,00ea847a,30a45b23,e087956b,4a8a2e3b,26e5cabf,33a364a6,14f96089,66b30f71,acee4cc4,b5da6c24,99b75528,740742ef,fb2d1dda,70d205c9,5b8c830e,a757b0d8,dbe50b21,13c35c9e,51a3c5ef,462411b3
1082599,2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,23eeb873,Rising Pune Supergiant,14,6,0,2,18,1,36,0,0,0,0,0,18,21,0,39,29e95537,00ea847a,3355b542,77255a9e,e087956b,4a8a2e3b,33a364a6,14f96089,66b30f71,acee4cc4,855a210c,c16d4035,a4cc73aa,919a3be2,8abdf100,fb66ce1f,944533a5,ded9240e,6b19d823,91a4a398,9d80c5e1
1082624,2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,23eeb873,Rising Pune Supergiant,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,29e95537,77255a9e,30a45b23,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,2f9d0389,1e66c162,acee4cc4,12b610c2,ba607b88,c4487b84,99d63244,dc9dd038,bd17b45f,f62772e5,350bb1b1,76388dc8,957532de,57ee1fde
1136561,2018-04-07,Wankhede Stadium,Indian Premier League,T20,20,23eeb873,Chennai Super Kings,0,1,0,0,18,1,14,1,0,0,0,0,-2,39,0,37,4329fbb5,70d205c9,1dc12ab9,99d63244,4a8a2e3b,fe93fd9d,87e562a9,8b5b6769,8d92a2c3,acee4cc4,740742ef,0ebfb1ad,752f7486,271f83cd,dbe50b21,5b8c830e,a757b0d8,462411b3,51a3c5ef,0a8fce53,a9fd84fb
1136565,2018-04-10,MA Chidambaram Stadium,Indian Premier League,T20,20,23eeb873,Chennai Super Kings,0,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,4329fbb5,70d205c9,1dc12ab9,4a8a2e3b,c16d4035,fe93fd9d,87e562a9,8b5b6769,1abb78f8,acee4cc4,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,0a509d6b,bbd41817,e86754b2,41eb4a4f,8d2c70ad,98ae73b1
1136572,2018-04-15,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,23eeb873,Chennai Super Kings,0,0,0,0,18,0,37,0,0,0,0,0,0,-6,0,-6,4329fbb5,4b57e452,70d205c9,c16d4035,4a8a2e3b,fe93fd9d,87e562a9,8b5b6769,1abb78f8,acee4cc4,b17e2f24,db584dad,00ea847a,1c914163,b8d490fd,944533a5,495d42a5,7c7d63a2,d8b2f218,759ac88f,7d92277a
1136577,2018-04-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,23eeb873,Chennai Super Kings,0,0,0,0,24,2,30,1,0,0,0,0,0,58,0,58,4329fbb5,70d205c9,1dc12ab9,4a8a2e3b,c16d4035,87e562a9,fe93fd9d,119678fd,1abb78f8,acee4cc4,29e95537,235c2bb6,a4cc73aa,e087956b,99b75528,77255a9e,bd17b45f,90de905a,7a8bd078,1e66c162,b2a79f17
1136580,2018-04-22,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,23eeb873,Chennai Super Kings,0,0,0,0,24,3,15,0,1,0,0,0,0,97,0,97,4329fbb5,3355b542,1dc12ab9,70d205c9,4a8a2e3b,c16d4035,87e562a9,fe93fd9d,119678fd,1abb78f8,b63e358a,d027ba9f,93b4fc78,73ad96ed,7dc35884,3c6ffae8,fe11caa6,5f547c8b,2e81a32d,6834d1f2,dcf81436
1136584,2018-04-25,M.Chinnaswamy Stadium,Indian Premier League,T20,20,23eeb873,Chennai Super Kings,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,4329fbb5,70d205c9,1dc12ab9,c16d4035,fe93fd9d,4a8a2e3b,87e562a9,8b5b6769,1abb78f8,acee4cc4,372455c4,ba607b88,c4487b84,8abdf100,c3a96caf,94d7f855,f62772e5,f19ccfad,cc1e8c68,2f49c897,57ee1fde
1136587,2018-04-28,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,23eeb873,Chennai Super Kings,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,4329fbb5,70d205c9,1dc12ab9,4a8a2e3b,87e562a9,c16d4035,fe93fd9d,8b5b6769,1abb78f8,acee4cc4,271f83cd,0ebfb1ad,740742ef,dbe50b21,752f7486,2e8994e7,5b8c830e,2e11c706,51a3c5ef,a9fd84fb,462411b3
