match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
501258,2011-05-15,Holkar Cricket Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,1,3,0,0,6,0,14,0,0,1,0,0,1,0,8,9,c15e2193,0184dc35,4329fbb5,29e95537,8291f939,0aadc906,3eac9d95,bb18be76,addfb70e,6ec424a9,b8a55852,d18f9182,b5da6c24,b57f8a9a,7bf96684,fe93fd9d,c3d1402f,0c432afb,ddb00822,6b8eb6e5,bae11797
501263,2011-05-20,Wankhede Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,24,0,17,0,0,0,0,0,0,6,0,6,4329fbb5,0184dc35,7c503806,8291f939,29e95537,b61a3e1a,0aadc906,bb18be76,5b040b81,3d7e087f,aaa1b522,d2c2b2d5,70d205c9,740742ef,a757b0d8,cf73ad76,8b5b6769,bd77eb62,d2a989fc,f0f628c7,a12e1d51
548309,2012-04-06,Sawai Mansingh Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,18,2,28,1,0,0,0,0,0,58,0,58,0184dc35,29e95537,8291f939,b57f8a9a,7bf96684,557153ca,7c503806,541f85c9,5b040b81,3d7e087f,2b6e6dec,25eeb281,508a1ea7,a45a5e8d,fd835ab3,c3a96caf,c18496e1,98ae73b1,808f425a,e938e1bc,2a72fd4f
548312,2012-04-08,Sawai Mansingh Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,24,2,24,1,0,0,0,0,0,60,0,60,0184dc35,29e95537,541f85c9,8291f939,b57f8a9a,7bf96684,557153ca,7c503806,5b040b81,3d7e087f,86dc8f2e,b8a55852,bb345e0b,26e5cabf,7050a1e7,3c6ffae8,33a364a6,b1451597,dd09ff8e,9d430b40,85aae393
548317,2012-04-11,Wankhede Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,4,2,1,0,24,1,44,0,0,0,0,0,5,23,0,28,0184dc35,29e95537,541f85c9,7bf96684,8291f939,7c503806,557153ca,f708a0bc,5b040b81,3d7e087f,18c78b11,aaa1b522,740742ef,70d205c9,a757b0d8,c03f1114,cf73ad76,8b5b6769,a12e1d51,6c6591ab,f0f628c7
548320,2012-04-13,Eden Gardens,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,20,0,32,0,0,0,0,0,0,0,0,0,0184dc35,29e95537,8291f939,541f85c9,7bf96684,b57f8a9a,7c503806,f708a0bc,5b040b81,3d7e087f,86dc8f2e,bb345e0b,5afd4539,26e5cabf,7dc35884,3c6ffae8,4ec07775,7050a1e7,33a364a6,b2b50355,9d430b40
548345,2012-04-29,Feroz Shah Kotla,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,24,1,31,0,0,1,0,0,0,25,8,33,0184dc35,29e95537,b57f8a9a,7bf96684,541f85c9,8291f939,557153ca,f708a0bc,5b040b81,e32d22f6,d18f9182,8ba8195d,39f01cdb,b61a3e1a,662c47a6,890946a0,5fa06777,fa463154,5bb5a915,9d80c5e1,cc1e8c68
548349,2012-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,7,6,1,0,24,1,31,1,0,0,0,0,8,33,0,41,0184dc35,29e95537,4329fbb5,7bf96684,b57f8a9a,8291f939,541f85c9,f708a0bc,5b040b81,e32d22f6,d18f9182,8ba8195d,39f01cdb,b61a3e1a,662c47a6,890946a0,5fa06777,f62772e5,5bb5a915,9d80c5e1,cc1e8c68
548354,2012-05-05,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,18,0,33,0,0,0,0,0,0,-2,0,-2,0184dc35,29e95537,4329fbb5,8291f939,b57f8a9a,7c503806,bd17b45f,063b3673,addfb70e,3d7e087f,508a1ea7,c3a96caf,addbde6c,fd835ab3,9a158001,6eb146d2,a45a5e8d,98ae73b1,12eddf28,e938e1bc,1a0c3177
548358,2012-05-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,12,0,22,0,0,1,0,0,0,-2,8,6,0184dc35,29e95537,4329fbb5,8291f939,7bf96684,7c503806,bd17b45f,063b3673,addfb70e,3d7e087f,725529bc,f842c2cf,1c17e270,f4cb4f53,30a45b23,896d78ad,c42aaf71,3a60e0b5,2e81a32d,abfeb126,96fd40ae
598019,2013-04-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,18,0,10,0,0,0,0,0,0,6,0,6,4329fbb5,29e95537,063b3673,bd17b45f,b57f8a9a,0184dc35,808f425a,557153ca,99b202b3,3d7e087f,d2c2b2d5,7d415ea5,c03f1114,740742ef,a757b0d8,70d205c9,26a85969,8b5b6769,f5180fe6,a12e1d51,6c6591ab
598043,2013-05-03,Eden Gardens,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,18,1,28,0,0,0,0,0,0,25,0,25,4329fbb5,29e95537,808f425a,a4cc73aa,063b3673,7bf96684,bd17b45f,0184dc35,f708a0bc,3d7e087f,bb345e0b,5afd4539,86dc8f2e,3c6ffae8,d2a6c0e6,7050a1e7,33a364a6,287686fd,4c4fa80b,85aae393,9d430b40
598063,2013-05-15,Wankhede Stadium,Indian Premier League,T20,20,29d72eb2,Rajasthan Royals,0,0,0,0,18,0,25,0,0,0,0,0,0,0,0,0,0184dc35,29e95537,808f425a,a4cc73aa,4329fbb5,bd17b45f,063b3673,b57f8a9a,557153ca,6aed7e79,b681e71e,855a210c,c03f1114,740742ef,a757b0d8,70d205c9,8b5b6769,f5180fe6,a12e1d51,d2a989fc,6c6591ab
