match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1136574,2018-04-17,Wankhede Stadium,Indian Premier League,T20,20,2e8994e7,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,271f83cd,0ebfb1ad,752f7486,740742ef,5b8c830e,a757b0d8,dbe50b21,51a3c5ef,a9fd84fb,462411b3,0a8fce53
1136587,2018-04-28,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271f83cd,0ebfb1ad,740742ef,dbe50b21,752f7486,5b8c830e,2e11c706,51a3c5ef,a9fd84fb,462411b3,4329fbb5,70d205c9,1dc12ab9,4a8a2e3b,87e562a9,c16d4035,fe93fd9d,8b5b6769,23eeb873,1abb78f8,acee4cc4
1136591,2018-05-01,M.Chinnaswamy Stadium,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,23,34,3,0,12,0,28,0,0,0,0,0,24,-6,0,18,271f83cd,752f7486,740742ef,a757b0d8,dbe50b21,5b8c830e,2e11c706,51a3c5ef,a9fd84fb,462411b3,c03e2850,372455c4,b8a55852,ba607b88,c3a96caf,94d7f855,f19ccfad,13c35c9e,cc1e8c68,57ee1fde,2f49c897
1136594,2018-05-04,Holkar Cricket Stadium,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,0,0,0,0,6,0,8,0,0,1,0,0,0,0,8,8,271f83cd,0ebfb1ad,752f7486,dbe50b21,740742ef,5b8c830e,2e11c706,51a3c5ef,a9fd84fb,462411b3,b17e2f24,db584dad,1c914163,944533a5,2e171977,d9273ee7,00ea847a,495d42a5,7c7d63a2,7d92277a,db31895a
1136597,2018-05-06,Wankhede Stadium,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,13,12,0,1,0,0,0,0,0,0,0,0,15,0,0,15,271f83cd,0ebfb1ad,740742ef,dbe50b21,5b8c830e,752f7486,2e11c706,51a3c5ef,a9fd84fb,462411b3,45eda7c8,b4b99816,1c17e270,fb2d1dda,c03f1114,bbd41817,9d430b40,98ae73b1,f5180fe6,85e0cf10,8d2c70ad
1136601,2018-05-09,Eden Gardens,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,271f83cd,0ebfb1ad,740742ef,752f7486,dbe50b21,2e11c706,5b8c830e,51a3c5ef,a9fd84fb,462411b3,9d430b40,45eda7c8,1c17e270,fb2d1dda,bbd41817,c03f1114,0a509d6b,e86754b2,98ae73b1,8d2c70ad,85e0cf10
1136607,2018-05-13,Wankhede Stadium,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271f83cd,0ebfb1ad,740742ef,752f7486,dbe50b21,5b8c830e,2e11c706,51a3c5ef,a9fd84fb,462411b3,1a156c88,99b75528,29e95537,a4cc73aa,e087956b,bd17b45f,5574750c,90de905a,7a8bd078,1e66c162,d2a989fc
392181,2009-04-18,Newlands,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,9,7,1,0,0,0,0,0,0,0,0,0,10,0,0,10,f233bbb4,d2c2b2d5,0a476045,87e562a9,a45a5e8d,8b5b6769,91a4a398,0aadc906,a12e1d51,5f4e9e8f,b5da6c24,d8699ab7,1dc12ab9,ddc0828d,4a8a2e3b,3eac9d95,3576e47e,9f961c14,b2ae53f5,ae78bc32,495d42a5
392192,2009-04-25,Kingsmead,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,47,43,4,2,0,0,0,0,0,0,0,0,59,0,0,59,f233bbb4,d2c2b2d5,0a476045,87e562a9,a45a5e8d,8b5b6769,91a4a398,0aadc906,a12e1d51,d2a989fc,2b6e6dec,e1d1b294,35205dfc,740742ef,de8cce37,fe763256,b720a5d6,c3d1402f,a7c226e1,6c6591ab,2a72fd4f
392197,2009-04-27,St George's Park,Indian Premier League,T20,20,2e8994e7,Mumbai Indians,18,14,1,0,0,0,0,0,0,1,0,0,19,0,8,27,f233bbb4,d2c2b2d5,8b5b6769,a45a5e8d,87e562a9,0a476045,709b0bac,0aadc906,91a4a398,a12e1d51,b8a55852,db584dad,b57f8a9a,725529bc,297b26da,7023d182,b1451597,5bb1a1c4,ea0cdc12,66b30f71,69be866a
