match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082603,2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,2f9d0389,Rising Pune Supergiant,1,1,0,0,24,0,45,0,0,0,0,0,1,-4,0,-3,29e95537,77255a9e,30a45b23,e087956b,26e5cabf,4a8a2e3b,24d94623,1abb78f8,2ed569a0,acee4cc4,35205dfc,b8a55852,1dc12ab9,c03f1114,b8d490fd,752f7486,fe93fd9d,e938e1bc,871e9faf,7c7d63a2,c8179c68
1082624,2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,2f9d0389,Rising Pune Supergiant,0,0,0,0,24,3,8,0,0,0,0,1,0,85,6,91,29e95537,77255a9e,30a45b23,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,1e66c162,23eeb873,acee4cc4,12b610c2,ba607b88,c4487b84,99d63244,dc9dd038,bd17b45f,f62772e5,350bb1b1,76388dc8,957532de,57ee1fde
1082647,2017-05-16,Wankhede Stadium,Indian Premier League,T20,20,2f9d0389,Rising Pune Supergiant,0,0,0,0,18,1,22,0,0,0,0,0,0,25,0,25,29e95537,77255a9e,30a45b23,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,14f96089,1abb78f8,1e66c162,89f64c19,b5da6c24,740742ef,70d205c9,a757b0d8,dbe50b21,5b8c830e,51a3c5ef,119678fd,462411b3,a12e1d51
1082650,2017-05-21,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,2f9d0389,Rising Pune Supergiant,0,0,0,0,12,1,21,0,0,0,0,0,0,23,0,23,29e95537,77255a9e,30a45b23,4a8a2e3b,26e5cabf,2a2e6343,f19ccfad,14f96089,1abb78f8,1e66c162,89f64c19,b5da6c24,70d205c9,740742ef,5b8c830e,a757b0d8,dbe50b21,119678fd,f5180fe6,462411b3,a12e1d51
1175357,2019-03-24,Eden Gardens,Indian Premier League,T20,20,2f9d0389,Kolkata Knight Riders,0,0,0,0,24,0,36,0,0,0,0,0,0,0,0,0,45eda7c8,fb2d1dda,1c17e270,c03f1114,bbd41817,b4b99816,9d430b40,98ae73b1,8d2c70ad,85e0cf10,dcce6f09,abb83e27,0994d0ae,3c6ffae8,93b4fc78,73ad96ed,7dc35884,5f547c8b,2e81a32d,ce820073,dcf81436
1175361,2019-03-27,Eden Gardens,Indian Premier League,T20,20,2f9d0389,Kolkata Knight Riders,0,0,0,0,24,1,42,0,0,0,0,0,0,23,0,23,45eda7c8,9d430b40,1c17e270,fb2d1dda,bbd41817,c03f1114,b4b99816,98ae73b1,8d2c70ad,85e0cf10,b17e2f24,db584dad,00ea847a,f088b960,d67d5f00,c3a96caf,495d42a5,a316d663,5b7ab5a9,8cf9814c,7c7d63a2
1175365,2019-03-30,Arun Jaitley Stadium,Indian Premier League,T20,20,2f9d0389,Kolkata Knight Riders,0,0,0,0,24,1,38,0,0,0,0,0,0,25,0,25,aedc3b7c,45eda7c8,1c17e270,fb2d1dda,c03f1114,b4b99816,bbd41817,98ae73b1,8d2c70ad,85e0cf10,8b3e9c7c,0a476045,85ec8e33,919a3be2,c995d726,94253925,f986ca1a,fb66ce1f,6b19d823,b410bd3d,e62dd25d
1175372,2019-04-05,M.Chinnaswamy Stadium,Indian Premier League,T20,20,2f9d0389,Kolkata Knight Riders,0,0,0,0,12,0,32,0,0,0,0,0,0,-6,0,-6,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,bbd41817,b4b99816,98ae73b1,8d2c70ad,85e0cf10,b5da6c24,ba607b88,c4487b84,d9273ee7,bb351c23,f10e94c4,f62772e5,21d4e29b,13c35c9e,57ee1fde,2f49c897
1178401,2019-04-12,Eden Gardens,Indian Premier League,T20,20,2f9d0389,Kolkata Knight Riders,0,0,0,0,18,0,37,0,0,0,0,0,0,-6,0,-6,bdadf7da,b4b99816,1c17e270,fb2d1dda,bbd41817,c03f1114,e342e5fb,98ae73b1,8d2c70ad,85e0cf10,8b3e9c7c,0a476045,85ec8e33,919a3be2,c995d726,fb66ce1f,2e171977,75224f22,39a2dfa8,e62dd25d,5bb1a1c4
1216494,2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,2f9d0389,Kolkata Knight Riders,19,16,1,0,24,2,17,0,0,0,0,0,20,56,0,76,b4b99816,77255a9e,fb2d1dda,25f7b7d6,c03f1114,d2a6c0e6,ded9240e,8d2c70ad,85e0cf10,5b7ab5a9,2c25d4f5,b8d490fd,6eb146d2,ba607b88,c4487b84,fb66ce1f,f19ccfad,ac5ae4af,21d4e29b,57ee1fde,2f49c897
