match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082639,2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,39a2dfa8,Kings XI Punjab,15,8,3,0,24,2,20,0,0,0,0,0,18,54,0,72,2be41edb,c03e2850,508a1ea7,fe11caa6,b681e71e,2e171977,983f2f61,e84ac20c,759ac88f,ce820073,9d430b40,45eda7c8,bb345e0b,1c17e270,93b4fc78,94d7f855,3c6ffae8,4c5d73db,cc1e8c68,8d2c70ad,db31895a
1082641,2017-05-11,Wankhede Stadium,Indian Premier League,T20,20,39a2dfa8,Kings XI Punjab,0,0,0,0,12,1,17,0,0,0,0,0,0,25,0,25,2be41edb,fe11caa6,b681e71e,508a1ea7,2e171977,c03e2850,759ac88f,ce820073,5bb1a1c4,e84ac20c,89f64c19,b5da6c24,fb2d1dda,740742ef,a757b0d8,dbe50b21,119678fd,8b5b6769,51a3c5ef,462411b3,a12e1d51
1082645,2017-05-14,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,39a2dfa8,Kings XI Punjab,4,3,1,0,18,0,14,0,0,0,0,0,5,6,0,11,2be41edb,fe11caa6,508a1ea7,d2a6c0e6,b681e71e,2e171977,983f2f61,759ac88f,5bb1a1c4,ce820073,29e95537,77255a9e,30a45b23,e087956b,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,1abb78f8,1e66c162,14f96089
1136562,2018-04-08,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,39a2dfa8,Delhi Daredevils,9,7,1,0,24,1,24,0,0,0,0,0,10,27,0,37,af2c687b,bb345e0b,85ec8e33,0994d0ae,919a3be2,fb66ce1f,2a2e6343,6b19d823,a818c1be,8cf9814c,b17e2f24,00ea847a,1c914163,944533a5,d67d5f00,d9273ee7,2e171977,495d42a5,7c7d63a2,759ac88f,7d92277a
1136566,2018-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,39a2dfa8,Delhi Daredevils,0,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,b681e71e,af2c687b,919a3be2,fb66ce1f,0994d0ae,85ec8e33,bb345e0b,9d80c5e1,a818c1be,8cf9814c,29e95537,1a156c88,e087956b,a4cc73aa,99b75528,77255a9e,90de905a,7a8bd078,d2a989fc,1e66c162,b2a79f17
1136569,2018-04-14,Wankhede Stadium,Indian Premier League,T20,20,39a2dfa8,Delhi Daredevils,0,0,0,0,24,2,36,1,0,1,0,0,0,58,8,66,d1c36f5c,bb345e0b,919a3be2,b681e71e,85ec8e33,0994d0ae,2a2e6343,9d80c5e1,8cf9814c,a818c1be,271f83cd,0ebfb1ad,752f7486,740742ef,a757b0d8,5b8c830e,dbe50b21,5b16a806,a9fd84fb,462411b3,0a8fce53
1136573,2018-04-16,Eden Gardens,Indian Premier League,T20,20,39a2dfa8,Delhi Daredevils,1,2,0,0,18,3,18,0,0,0,0,0,1,81,0,82,bb345e0b,d1c36f5c,85ec8e33,919a3be2,b681e71e,0994d0ae,fb66ce1f,8cf9814c,9d80c5e1,a818c1be,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,bbd41817,b4b99816,e86754b2,98ae73b1,c38d3503,8d2c70ad
1136579,2018-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,39a2dfa8,Delhi Daredevils,13,9,3,0,18,0,26,0,0,0,0,0,16,0,0,16,d1c36f5c,bb345e0b,85ec8e33,919a3be2,b681e71e,fb66ce1f,0994d0ae,9d80c5e1,f986ca1a,a818c1be,372455c4,c03e2850,ba607b88,c4487b84,8abdf100,c3a96caf,f19ccfad,4c5d73db,cc1e8c68,2f49c897,57ee1fde
1136582,2018-04-23,Arun Jaitley Stadium,Indian Premier League,T20,20,39a2dfa8,Delhi Daredevils,24,24,1,1,6,0,6,0,0,1,0,0,27,0,8,35,8b3e9c7c,bb345e0b,b681e71e,85ec8e33,919a3be2,2a2e6343,9a963804,6b19d823,eef2536f,a818c1be,b17e2f24,b8d490fd,00ea847a,944533a5,1c914163,d67d5f00,495d42a5,7c7d63a2,d8b2f218,db31895a,7d92277a
1136586,2018-04-27,Arun Jaitley Stadium,Indian Premier League,T20,20,39a2dfa8,Delhi Daredevils,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,8b3e9c7c,af2c687b,85ec8e33,919a3be2,b681e71e,0994d0ae,9a963804,6b19d823,eef2536f,a818c1be,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,b4b99816,bbd41817,c38d3503,98ae73b1,f5180fe6,8d2c70ad
