match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1359489,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,3a60e0b5,Royal Challengers Bangalore,0,0,0,0,24,3,41,0,0,0,0,0,0,77,0,77,c8f5f961,ba607b88,3355b542,b681e71e,c03f1114,da934ee8,f9e6e7ef,7f048519,f986ca1a,2f49c897,6b19d823,73c18486,b17e2f24,73ad96ed,5b8c830e,d9273ee7,3241e3fd,872b03f7,1e66c162,8d92a2c3,df064e1a
1359494,2023-04-15,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,3a60e0b5,Royal Challengers Bangalore,0,0,0,0,24,1,28,0,0,1,0,0,0,25,8,33,ba607b88,3355b542,da934ee8,b681e71e,f986ca1a,f9e6e7ef,c03f1114,c8f5f961,a97c8ec2,2f49c897,dcce6f09,8b3e9c7c,3d8feaf8,dd7e9b3b,93b4fc78,ad3b6e95,2e171977,378daa89,ad427b5c,acdc62f5,8d2c70ad
1359498,2023-04-17,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,3a60e0b5,Royal Challengers Bangalore,2,6,0,0,24,1,48,0,0,1,0,0,2,21,8,31,ba607b88,3355b542,da934ee8,b681e71e,f9e6e7ef,c03f1114,9385de2e,a97c8ec2,f986ca1a,2f49c897,45a43fe2,df5a6881,29e95537,a4e37e47,70d205c9,bb351c23,fe93fd9d,4a8a2e3b,46a9bea1,f24c6701,64839cb3
1359501,2023-04-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,3a60e0b5,Royal Challengers Bangalore,0,0,0,0,18,1,32,1,0,0,0,0,0,31,0,31,54e52590,ba607b88,3355b542,b681e71e,c03f1114,da934ee8,f9e6e7ef,9385de2e,a97c8ec2,f986ca1a,2ed569a0,1ac746c8,9418198b,a90e53ec,50c6bc2b,28c78fb3,e94915e6,800d2d97,7dcb9bc9,c05edf8e,9eb1455b
1359534,2023-05-14,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,3a60e0b5,Royal Challengers Bangalore,0,0,0,0,18,3,11,1,0,0,0,0,0,93,0,93,f9e6e7ef,ba607b88,3355b542,b681e71e,da934ee8,c03f1114,e38bce7a,c8f5f961,119678fd,f986ca1a,57ee1fde,6c19c6e5,99b75528,a4cc73aa,a343262c,2c25d4f5,48a1d7b7,bcf325d2,495d42a5,14f96089,ce820073
1359539,2023-05-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,3a60e0b5,Royal Challengers Bangalore,0,0,0,0,24,0,35,0,0,1,0,0,0,0,8,8,ba607b88,3355b542,b681e71e,e38bce7a,da934ee8,c8f5f961,f9e6e7ef,f986ca1a,119678fd,2f49c897,ce794613,f29185a1,77255a9e,6a26221c,235c2bb6,4ae1755b,9a46c4e5,8e514b4c,2e81a32d,5d2eea49,a457cfb5
1359544,2023-05-21,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,3a60e0b5,Royal Challengers Bangalore,0,0,0,0,20,0,42,0,0,1,0,0,0,-6,8,2,52294a79,ba607b88,3355b542,b681e71e,da934ee8,e38bce7a,c03f1114,c8f5f961,f986ca1a,54e52590,7210d461,fe11caa6,b4b99816,0994d0ae,3ff033bb,d67d5f00,39a2dfa8,dbe50b21,5f547c8b,efc04be7,8cf9814c
501202,2011-04-10,Dr DY Patil Sports Academy,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,0,0,0,0,24,1,24,0,0,0,0,0,0,27,0,27,72861603,91ffa6c6,c42aaf71,1c17e270,1c914163,6afb26d6,5d9a1a73,abfeb126,dddca1d6,b552a935,2b6e6dec,508a1ea7,25eeb281,c03f1114,a45a5e8d,30e37810,c654af19,98ae73b1,e938e1bc,6042bf26,dc4686e6
501207,2011-04-13,Dr DY Patil Sports Academy,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,1,6,0,0,24,4,36,1,0,1,0,1,1,116,14,131,91ffa6c6,72861603,c42aaf71,1c914163,1c17e270,6afb26d6,5d9a1a73,abfeb126,dddca1d6,b552a935,b8a55852,de8cce37,b5da6c24,d18f9182,b57f8a9a,fe93fd9d,b2570b38,41eb4a4f,6b8eb6e5,c3d1402f,4ba44e19
501213,2011-04-17,Dr DY Patil Sports Academy,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,10,10,1,0,12,0,27,0,0,0,0,0,11,-6,0,5,91ffa6c6,72861603,c42aaf71,1c914163,1c17e270,6afb26d6,2815fe50,5d9a1a73,dddca1d6,b552a935,dcce6f09,8ba8195d,5fa06777,890946a0,afa7e784,fe763256,b8d490fd,2498e163,9d80c5e1,66b30f71,cc1e8c68
501218,2011-04-20,Wankhede Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,9,8,1,0,24,0,30,0,0,0,0,0,10,0,0,10,91ffa6c6,5748e866,c42aaf71,1c17e270,1c914163,6afb26d6,abfeb126,5d9a1a73,dddca1d6,b552a935,cf73ad76,d2c2b2d5,70d205c9,740742ef,bd77eb62,a757b0d8,626c5379,2af1b6d2,ef5da05c,f0f628c7,a12e1d51
501248,2011-05-08,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,3a60e0b5,Pune Warriors,0,0,0,0,24,2,12,0,0,0,0,0,0,56,0,56,91ffa6c6,93b4fc78,1c17e270,1c914163,9b4935c8,2815fe50,3d8feaf8,dddca1d6,5d9a1a73,2e81a32d,2b6e6dec,25eeb281,508a1ea7,c03f1114,fd835ab3,c3a96caf,facb9086,12eddf28,e938e1bc,2049f3a0,dc4686e6
501250,2011-05-10,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,0,0,0,0,24,1,38,0,0,0,0,0,0,25,0,25,91ffa6c6,93b4fc78,725529bc,1c17e270,1c914163,9b4935c8,3d8feaf8,dddca1d6,5d9a1a73,2e81a32d,0a476045,b720a5d6,6b71e6cf,2e8994e7,2a2e6343,5451a2c1,3fca55af,6b19d823,8fd1a8f5,5bb1a1c4,6c6591ab
501259,2011-05-16,Dr DY Patil Sports Academy,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,16,17,0,1,20,1,27,1,0,0,0,0,18,33,0,51,91ffa6c6,93b4fc78,725529bc,1c17e270,1c914163,c42aaf71,9b4935c8,3d8feaf8,2e81a32d,5d9a1a73,3fca55af,0a476045,6b71e6cf,2e8994e7,2a2e6343,5451a2c1,b720a5d6,6c6591ab,6b19d823,5bb1a1c4,8fd1a8f5
501262,2011-05-19,Dr DY Patil Sports Academy,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,1,1,0,0,24,1,28,0,0,0,0,0,1,25,0,26,91ffa6c6,93b4fc78,9b4935c8,725529bc,1c17e270,1c914163,90edaaa9,b552a935,5d9a1a73,2e81a32d,bb345e0b,541f85c9,26e5cabf,3c6ffae8,33a364a6,86dc8f2e,4ec07775,7dc35884,dd09ff8e,b2b50355,85aae393
548308,2012-04-06,Wankhede Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,11,15,2,0,18,1,18,0,0,0,0,0,13,27,0,40,93b4fc78,725529bc,1c17e270,9b4935c8,30a45b23,f846de6a,2e81a32d,abfeb126,5d9a1a73,66b30f71,18c78b11,70d205c9,740742ef,cf73ad76,c03f1114,271f83cd,a757b0d8,8b5b6769,a12e1d51,6c6591ab,f0f628c7
548348,2012-05-01,Barabati Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,0,0,0,0,24,1,25,0,1,0,0,0,0,39,0,39,93b4fc78,f842c2cf,725529bc,30a45b23,1c17e270,c42aaf71,f846de6a,abfeb126,2e81a32d,96fd40ae,b5da6c24,0a476045,d0513f63,6b71e6cf,2e8994e7,53f27a35,24d94623,1c2a64cd,6b19d823,8fd1a8f5,d718440b
548351,2012-05-03,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,2,5,0,0,25,2,19,0,0,1,0,0,2,56,8,66,1c17e270,91ffa6c6,f842c2cf,725529bc,30a45b23,c42aaf71,2e81a32d,abfeb126,96fd40ae,66b30f71,cf73ad76,d2c2b2d5,740742ef,26ff4c29,c03f1114,70d205c9,0f12f9df,8b5b6769,a12e1d51,6c6591ab,f0f628c7
548353,2012-05-05,Eden Gardens,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,1,2,0,0,25,0,41,0,0,0,0,0,1,0,0,1,1c17e270,f842c2cf,93b4fc78,30a45b23,c42aaf71,896d78ad,725529bc,2e81a32d,abfeb126,66b30f71,bb345e0b,b8a55852,3c6ffae8,86dc8f2e,7050a1e7,b1451597,26e5cabf,33a364a6,9d430b40,d4eef961,85aae393
548358,2012-05-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,2,2,0,0,12,1,12,0,0,0,0,0,2,27,0,29,725529bc,f842c2cf,1c17e270,f4cb4f53,30a45b23,896d78ad,c42aaf71,2e81a32d,abfeb126,96fd40ae,0184dc35,29e95537,4329fbb5,8291f939,7bf96684,29d72eb2,7c503806,bd17b45f,063b3673,addfb70e,3d7e087f
548375,2012-05-19,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,3,5,0,0,25,2,18,0,0,0,0,0,3,56,0,59,1c17e270,91ffa6c6,f842c2cf,725529bc,f4cb4f53,9b4935c8,28c78fb3,2e81a32d,ef5da05c,96fd40ae,b8a55852,bb345e0b,86dc8f2e,7dc35884,26e5cabf,3c6ffae8,7050a1e7,33a364a6,85aae393,9d430b40,b2b50355
598047,2013-05-05,Sawai Mansingh Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,0,0,0,0,23,3,27,1,0,0,0,0,0,87,0,87,1c17e270,b8d490fd,1c914163,3d8feaf8,896d78ad,de8d3876,91b9300b,2e81a32d,27e71d47,5d9a1a73,0184dc35,29e95537,4329fbb5,b57f8a9a,bd17b45f,a4cc73aa,808f425a,dc9dd038,557153ca,99b202b3,3d7e087f
598053,2013-05-09,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,5,7,0,0,24,0,40,0,0,0,0,0,5,0,0,5,1c17e270,b8d490fd,1c914163,91b9300b,896d78ad,3d8feaf8,de8d3876,2e81a32d,9170ff49,27e71d47,5afd4539,bb345e0b,86dc8f2e,d2a6c0e6,4ec07775,3c6ffae8,26e5cabf,33a364a6,85aae393,9d430b40,b2b50355
598061,2013-05-15,JSCA International Stadium Complex,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,0,0,0,0,24,3,34,2,0,0,0,0,0,95,0,95,1c17e270,b8d490fd,93b4fc78,1c914163,cca50cd6,896d78ad,b2570b38,2e81a32d,ef5da05c,e0407c01,bb345e0b,5afd4539,86dc8f2e,3c6ffae8,4ec07775,26e5cabf,7050a1e7,33a364a6,4c4fa80b,9d430b40,b2b50355
598067,2013-05-19,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,3a60e0b5,Pune Warriors,0,0,0,0,19,1,40,0,0,1,0,0,0,19,8,27,1c17e270,b8d490fd,93b4fc78,1c914163,896d78ad,cca50cd6,b2570b38,2e81a32d,ef5da05c,66b30f71,d18f9182,dcce6f09,5451a2c1,8ba8195d,27af6414,5fa06777,30a2649b,5bb5a915,cc1e8c68,9d80c5e1,dcf81436
729281,2014-04-17,Sharjah Cricket Stadium,Indian Premier League,T20,20,3a60e0b5,Delhi Daredevils,0,0,0,0,18,0,19,0,0,0,0,0,0,2,0,2,00ea847a,4b57e452,c03f1114,26e5cabf,2e8994e7,b61a3e1a,9219eff0,9d80c5e1,5d9a1a73,8cf9814c,b5da6c24,44afbf2d,ba607b88,1c914163,c4487b84,c3d35165,90edaaa9,66b30f71,3fb19989,57ee1fde,0a3d54b9
729293,2014-04-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,3a60e0b5,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,35205dfc,b8a55852,1dc12ab9,3355b542,4a8a2e3b,fe93fd9d,c42aaf71,495d42a5,f3171936,759ac88f,e0407c01
729301,2014-04-25,Dubai International Cricket Stadium,Indian Premier League,T20,20,3a60e0b5,Delhi Daredevils,0,0,0,0,24,0,39,0,0,0,0,0,0,0,0,0,372455c4,4b57e452,39f01cdb,c03f1114,2e8994e7,26e5cabf,b1451597,9d80c5e1,8cf9814c,1e66c162,0a476045,b8d490fd,dcce6f09,b17e2f24,c03c6200,fe763256,119678fd,890946a0,8fd1a8f5,6b19d823,2e81a32d
