match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1136572,2018-04-15,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,12,11,0,1,0,0,0,0,0,0,0,0,14,0,0,14,4329fbb5,70d205c9,c16d4035,4a8a2e3b,fe93fd9d,87e562a9,23eeb873,8b5b6769,1abb78f8,acee4cc4,b17e2f24,db584dad,00ea847a,1c914163,b8d490fd,944533a5,495d42a5,7c7d63a2,d8b2f218,759ac88f,7d92277a
1178419,2019-04-26,MA Chidambaram Stadium,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,38,35,3,1,0,0,0,0,0,1,0,0,47,0,8,55,4329fbb5,1dc12ab9,70d205c9,99d63244,faa7365d,87e562a9,e4a0deae,23eeb873,8b5b6769,acee4cc4,740742ef,372455c4,0ebfb1ad,5b8c830e,dbe50b21,a757b0d8,271f83cd,e4cdf230,2ed569a0,462411b3,a12e1d51
1181764,2019-05-07,MA Chidambaram Stadium,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,26,26,3,0,0,0,0,0,0,0,0,0,29,0,0,29,3355b542,4329fbb5,1dc12ab9,70d205c9,4a8a2e3b,fe93fd9d,87e562a9,23eeb873,8b5b6769,acee4cc4,740742ef,372455c4,271f83cd,752f7486,5b8c830e,dbe50b21,a757b0d8,81049310,2ed569a0,a12e1d51,462411b3
1216492,2020-09-19,Sheikh Zayed Stadium,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4329fbb5,3355b542,70d205c9,fe93fd9d,e94915e6,4a8a2e3b,99d63244,98ae73b1,23eeb873,f834dcfc,740742ef,372455c4,271f83cd,709b0bac,dbe50b21,a757b0d8,5b8c830e,f752db61,2ed569a0,a818c1be,462411b3
1216496,2020-09-22,Sharjah Cricket Stadium,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,21,21,3,0,0,0,0,0,0,0,0,0,24,0,0,24,4329fbb5,3355b542,e94915e6,45a43fe2,99d63244,4a8a2e3b,fe93fd9d,98ae73b1,23eeb873,f834dcfc,6c19c6e5,30a45b23,a4cc73aa,d67d5f00,1c17e270,39a2dfa8,04a418e8,e86754b2,5574750c,7a8bd078,1e66c162
1216539,2020-09-25,Dubai International Cricket Stadium,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,10,15,1,0,0,0,0,0,0,0,0,0,9,0,0,9,4329fbb5,3355b542,45a43fe2,99d63244,4a8a2e3b,fe93fd9d,e94915e6,98ae73b1,23eeb873,03806cf8,8b3e9c7c,0a476045,919a3be2,85ec8e33,d9273ee7,48a1d7b7,2e171977,6b19d823,e62dd25d,acdc62f5,eef2536f
392206,2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,14,14,2,0,0,0,0,0,0,0,0,0,16,0,0,16,d8699ab7,1dc12ab9,3576e47e,c3d35165,4a8a2e3b,3eac9d95,c8179c68,b2b50355,4ba44e19,c24a2c5d,bb345e0b,dcce6f09,c4487b84,5bdcdb72,c03f1114,c42aaf71,33a364a6,9fc0ef64,6b19d823,96fd40ae,c404f58a
392209,2009-05-04,Buffalo Park,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,31,33,2,1,0,0,0,0,0,2,0,0,39,0,16,55,d8699ab7,4a8a2e3b,1dc12ab9,c3d35165,3eac9d95,3576e47e,c24a2c5d,c8179c68,b2b50355,4ba44e19,2b6e6dec,e1d1b294,de8cce37,740742ef,35205dfc,aaa1b522,fe763256,12eddf28,c3d1402f,8a668774,6c6591ab
392217,2009-05-09,De Beers Diamond Oval,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,10,13,0,1,0,0,0,0,0,0,0,0,12,0,0,12,d8699ab7,1dc12ab9,3576e47e,3eac9d95,4a8a2e3b,c3d35165,c24a2c5d,c8179c68,b2b50355,4ba44e19,72861603,890946a0,ae091d39,fe93fd9d,3c6ffae8,d872f52a,c69a7b5c,bb18be76,63bff7f9,5b040b81,3d7e087f
392224,2009-05-14,Kingsmead,Indian Premier League,T20,20,4b57e452,Chennai Super Kings,5,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,d8699ab7,1dc12ab9,4a8a2e3b,3eac9d95,3576e47e,c3d35165,c8179c68,b2b50355,4ba44e19,c24a2c5d,1c17e270,86dc8f2e,0184dc35,b61a3e1a,ba607b88,f3cb53a1,05c2ca46,af7dadf7,e938e1bc,41eb4a4f,0c2730df
