match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082612,2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,26,21,5,0,0,0,0,0,0,0,0,0,31,0,0,31,e798611a,fe11caa6,b681e71e,d9273ee7,2e171977,6eb146d2,983f2f61,759ac88f,ce820073,5bb1a1c4,b5da6c24,99b75528,fb2d1dda,dbe50b21,740742ef,a757b0d8,5b8c830e,8b5b6769,51a3c5ef,a12e1d51,462411b3
1082616,2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,30,24,4,1,0,0,0,0,0,0,0,0,40,0,0,40,c03e2850,e798611a,b681e71e,d9273ee7,2e171977,fe11caa6,759ac88f,edb3d4f8,ce794613,ce820073,b8a55852,b8d490fd,1dc12ab9,c03f1114,fe93fd9d,35205dfc,f10e94c4,7c7d63a2,871e9faf,b51f72a5,b822e99c
1082623,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,84,50,14,2,0,0,0,0,0,0,0,0,114,0,0,114,2be41edb,c03e2850,b681e71e,d2a6c0e6,fe11caa6,2e171977,69be866a,759ac88f,5bb1a1c4,edb3d4f8,dcce6f09,0a476045,d027ba9f,1c914163,32198ae0,73ad96ed,890946a0,2e81a32d,96fd40ae,dcf81436,5f547c8b
1082626,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,2be41edb,e798611a,c03e2850,b681e71e,fe11caa6,2e171977,759ac88f,0a3d54b9,ce820073,ce794613,a4cc73aa,c16d4035,944533a5,85ec8e33,919a3be2,8abdf100,fb66ce1f,e62dd25d,6b19d823,8cf9814c,9d80c5e1
1082633,2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,20,17,3,0,0,0,0,0,0,0,0,0,23,0,0,23,e798611a,2be41edb,c03e2850,fe11caa6,b681e71e,2e171977,759ac88f,0a3d54b9,ce820073,ce794613,c3a96caf,db584dad,ba607b88,c4487b84,99d63244,4329fbb5,f62772e5,957532de,76388dc8,18e6906e,57ee1fde
1082637,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,58,45,6,0,0,0,0,0,0,0,0,0,72,0,0,72,2be41edb,e798611a,b681e71e,2e171977,fe11caa6,6eb146d2,759ac88f,ce820073,0a3d54b9,ce794613,35205dfc,752f7486,1dc12ab9,c03f1114,b8d490fd,fe93fd9d,808f425a,d2a989fc,9fc0ef64,871e9faf,f18ba07f
1082639,2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,11,11,2,0,0,0,0,0,0,1,0,0,13,0,8,21,2be41edb,c03e2850,fe11caa6,b681e71e,2e171977,983f2f61,39a2dfa8,e84ac20c,759ac88f,ce820073,9d430b40,45eda7c8,bb345e0b,1c17e270,93b4fc78,94d7f855,3c6ffae8,4c5d73db,cc1e8c68,8d2c70ad,db31895a
1082641,2017-05-11,Wankhede Stadium,Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,25,17,0,2,0,0,0,0,0,0,0,0,31,0,0,31,2be41edb,fe11caa6,b681e71e,2e171977,c03e2850,39a2dfa8,759ac88f,ce820073,5bb1a1c4,e84ac20c,89f64c19,b5da6c24,fb2d1dda,740742ef,a757b0d8,dbe50b21,119678fd,8b5b6769,51a3c5ef,462411b3,a12e1d51
1082645,2017-05-14,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,10,13,2,0,0,0,0,0,0,0,0,0,12,0,0,12,2be41edb,fe11caa6,d2a6c0e6,39a2dfa8,b681e71e,2e171977,983f2f61,759ac88f,5bb1a1c4,ce820073,29e95537,77255a9e,30a45b23,e087956b,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,1abb78f8,1e66c162,14f96089
335999,2008-05-01,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,508a1ea7,Kings XI Punjab,84,63,11,1,0,0,0,0,0,1,0,0,107,0,8,115,36d33dd0,6b71e6cf,1c914163,d18f9182,a1f1829d,5fa06777,98ae73b1,6b8eb6e5,034b4b7d,890de8cb,2b6e6dec,de8cce37,e1d1b294,740742ef,0dc00542,fe763256,0604ef16,e0351c86,94bc776b,c3d1402f,6c6591ab
