match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
392213,2009-05-07,SuperSport Park,Indian Premier League,T20,20,5bb5a915,Rajasthan Royals,0,0,0,0,24,1,20,0,0,1,0,1,0,29,14,43,72861603,890946a0,d872f52a,3c6ffae8,fe93fd9d,c69a7b5c,a2870fb7,bb18be76,f0f628c7,5b040b81,86dc8f2e,619aa81f,1c17e270,0184dc35,ba607b88,f3cb53a1,05c2ca46,d7a57f75,e938e1bc,41eb4a4f,0c2730df
392220,2009-05-11,De Beers Diamond Oval,Indian Premier League,T20,20,5bb5a915,Rajasthan Royals,8,9,1,0,18,0,20,0,0,0,0,0,9,2,0,11,72861603,ae091d39,d872f52a,890946a0,3c6ffae8,fe93fd9d,c69a7b5c,bb18be76,3d7e087f,f0f628c7,aaa1b522,2b6e6dec,740742ef,bd77eb62,35205dfc,bcce309e,fe763256,b720a5d6,c3d1402f,6c6591ab,8a668774
419115,2010-03-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,5bb5a915,Rajasthan Royals,2,9,0,0,18,0,34,0,0,0,0,0,2,-4,0,-2,890946a0,11df3dc8,69762509,2815fe50,3c6ffae8,2728e7e9,287686fd,bb18be76,f0f628c7,3d7e087f,93b4fc78,86dc8f2e,1c17e270,ba607b88,0184dc35,d2a6c0e6,f3cb53a1,e938e1bc,0c2730df,8fd1a8f5,41eb4a4f
419141,2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha",Indian Premier League,T20,20,5bb5a915,Rajasthan Royals,7,7,1,0,24,0,32,0,0,1,0,0,8,0,8,16,11df3dc8,890946a0,c15e2193,4329fbb5,3c6ffae8,2815fe50,c69a7b5c,bb18be76,dbc50253,3d7e087f,de8cce37,2b6e6dec,740742ef,bd77eb62,7bb62642,35205dfc,bff458c6,12eddf28,c3d1402f,2a72fd4f,6c6591ab
501201,2011-04-10,Feroz Shah Kotla,Indian Premier League,T20,20,5bb5a915,Delhi Daredevils,0,2,0,0,24,1,30,1,0,0,0,0,-2,33,0,31,dcce6f09,8ba8195d,0c94f480,b8d490fd,890946a0,fe763256,5fa06777,05c2ca46,cc1e8c68,66b30f71,a84468fe,d2c2b2d5,70d205c9,740742ef,a757b0d8,cf73ad76,626c5379,8b5b6769,ef5da05c,f0f628c7,a12e1d51
501204,2011-04-12,Sawai Mansingh Stadium,Indian Premier League,T20,20,5bb5a915,Delhi Daredevils,0,0,0,0,24,1,15,1,0,0,0,0,0,39,0,39,dcce6f09,8ba8195d,b8d490fd,0c94f480,890946a0,fe763256,5fa06777,05c2ca46,9d80c5e1,66b30f71,3a02626a,0184dc35,7c503806,8291f939,29e95537,b61a3e1a,c69a7b5c,bb18be76,5b040b81,3d7e087f,addfb70e
501216,2011-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,5bb5a915,Delhi Daredevils,8,3,0,1,24,0,33,0,0,0,0,0,10,0,0,10,dcce6f09,8ba8195d,890946a0,b8d490fd,fe763256,5fa06777,2498e163,662c47a6,9d80c5e1,66b30f71,3fca55af,0a476045,6b71e6cf,d0513f63,2a2e6343,5451a2c1,b720a5d6,6b19d823,8fd1a8f5,6c6591ab,2a72fd4f
501223,2011-04-23,Feroz Shah Kotla,Indian Premier League,T20,20,5bb5a915,Delhi Daredevils,0,0,0,0,26,1,32,0,0,0,0,0,0,25,0,25,dcce6f09,8ba8195d,662c47a6,fe763256,b8d490fd,890946a0,5fa06777,2498e163,fa463154,0a3d54b9,2b6e6dec,25eeb281,508a1ea7,c03f1114,fd835ab3,a45a5e8d,30e37810,12eddf28,98ae73b1,e938e1bc,2049f3a0
501227,2011-04-26,Feroz Shah Kotla,Indian Premier League,T20,20,5bb5a915,Delhi Daredevils,0,0,0,0,25,3,26,1,0,0,0,0,0,89,0,89,dcce6f09,8ba8195d,2498e163,afa7e784,fe763256,890946a0,5fa06777,662c47a6,66b30f71,cc1e8c68,db584dad,5bdcdb72,ba607b88,c4487b84,709b0bac,d4f9dbd4,d7c6af50,66cf56a5,c64c2443,91a4a398,957532de
501230,2011-04-28,Feroz Shah Kotla,Indian Premier League,T20,20,5bb5a915,Delhi Daredevils,6,5,1,0,24,1,42,0,0,0,0,0,7,23,0,30,dcce6f09,8ba8195d,2498e163,5fa06777,d2d4bb0a,fe763256,890946a0,662c47a6,fa463154,cc1e8c68,86dc8f2e,541f85c9,bb345e0b,26e5cabf,3c6ffae8,d2a6c0e6,4ec07775,dd09ff8e,b2b50355,85aae393,1e66c162
501233,2011-04-30,Nehru Stadium,Indian Premier League,T20,20,5bb5a915,Delhi Daredevils,0,0,0,0,24,3,18,0,0,0,0,0,0,85,0,85,dcce6f09,8ba8195d,890946a0,fe763256,662c47a6,d2d4bb0a,5fa06777,05c2ca46,fa463154,cc1e8c68,b8a55852,b970a03f,b5da6c24,d18f9182,b57f8a9a,fe93fd9d,af7dadf7,41eb4a4f,5d096f3d,6b8eb6e5,c3d1402f
