match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
336019,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,508a1ea7,2498e163,1c914163,b63ab531,6b71e6cf,98ae73b1,5fa06777,034b4b7d,6b8eb6e5,3dba85c2,d84378a4,a2870fb7,33cb3411,4329fbb5,3c6ffae8,ff077124,de8d3876,0264c10e,e32d22f6,3d7e087f,f0f628c7
336022,2008-05-17,Feroz Shah Kotla,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,0,0,0,0,12,2,23,1,0,1,0,0,0,54,8,62,508a1ea7,2498e163,1c914163,b63ab531,d18f9182,5fa06777,98ae73b1,622cc511,6b8eb6e5,034b4b7d,bb345e0b,8ba8195d,0a476045,5bdcdb72,ab89348d,64c34cd0,9fc0ef64,c03f1114,6b19d823,33a364a6,ee7d0c82
336031,2008-05-23,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,0,0,0,0,24,1,20,1,0,0,0,0,0,37,0,37,508a1ea7,6b71e6cf,1c914163,b63ab531,d18f9182,98ae73b1,a76d10ba,890de8cb,034b4b7d,6b8eb6e5,2b6e6dec,e1d1b294,740742ef,fe763256,1be70c88,57efa3be,b720a5d6,0604ef16,c3d1402f,6c6591ab,acd4f5dc
336035,2008-05-25,Eden Gardens,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,0,0,0,0,12,0,14,0,0,1,0,0,0,0,8,8,508a1ea7,2498e163,6b71e6cf,1c914163,d18f9182,5fa06777,98ae73b1,a76d10ba,034b4b7d,6b8eb6e5,4d6d6280,725529bc,7050a1e7,fd835ab3,b1451597,fe11caa6,e249fdaa,16dfcc19,5bb1a1c4,ea0cdc12,66b30f71
336039,2008-05-31,Wankhede Stadium,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,28,21,4,1,18,0,28,0,0,0,0,0,36,0,0,36,508a1ea7,2498e163,6b71e6cf,1c914163,d18f9182,5fa06777,3dba85c2,98ae73b1,6b8eb6e5,034b4b7d,b5da6c24,756389bd,1dc12ab9,4a8a2e3b,cfad138c,3576e47e,c3d35165,ae78bc32,b2b50355,4ba44e19,20a941bb
392195,2009-04-26,Newlands,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,0,0,0,0,12,0,14,0,0,2,0,0,0,0,16,16,7ca5e05d,a1f1829d,6b71e6cf,1c914163,d18f9182,5fa06777,98ae73b1,3dba85c2,034b4b7d,4353bba5,ae091d39,72861603,23ac69e6,3c6ffae8,3edb58fc,fe93fd9d,c69a7b5c,bb18be76,de8d3876,f0f628c7,6ef60d3a
392200,2009-04-29,Kingsmead,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,10,10,1,0,24,1,23,0,0,0,0,0,11,29,0,40,7ca5e05d,a1f1829d,6b71e6cf,1c914163,d18f9182,5fa06777,3dba85c2,98ae73b1,5f26df4f,4353bba5,f233bbb4,d2c2b2d5,0a476045,2e8994e7,87e562a9,a45a5e8d,8b5b6769,709b0bac,91a4a398,0aadc906,a12e1d51
392204,2009-05-01,Kingsmead,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,1c914163,a1f1829d,fdedb37c,6b71e6cf,d18f9182,5fa06777,98ae73b1,a76d10ba,5f26df4f,4353bba5,91ffa6c6,541f85c9,4d5a1617,86dc8f2e,1c17e270,ba607b88,f3cb53a1,05c2ca46,e938e1bc,0c2730df,d92e42f5
392207,2009-05-03,St George's Park,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,0,0,0,0,12,0,8,0,0,0,0,0,0,6,0,6,3fca55af,6b71e6cf,fdedb37c,d18f9182,1c914163,5fa06777,a76d10ba,5f26df4f,98ae73b1,4353bba5,b8a55852,db584dad,b57f8a9a,725529bc,710dd98c,fe11caa6,b1451597,fa463154,abfeb126,5bb1a1c4,66b30f71
392210,2009-05-05,Kingsmead,Indian Premier League,T20,20,5d096f3d,Kings XI Punjab,6,7,0,0,18,1,33,0,0,0,0,0,6,23,0,29,3fca55af,6b71e6cf,a1f1829d,fdedb37c,d18f9182,1c914163,5fa06777,98ae73b1,6b8eb6e5,4353bba5,890946a0,72861603,3c6ffae8,fe93fd9d,d872f52a,c69a7b5c,a2870fb7,bb18be76,63bff7f9,3d7e087f,5b040b81
