match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1254061,2021-04-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,6,4,1,0,0,0,0,0,0,0,0,0,7,0,0,7,b17e2f24,00ea847a,db584dad,73ad96ed,3241e3fd,1ee08e9a,e2db2409,8cf9814c,64775749,244048f6,e087956b,c03e2850,a4cc73aa,99b75528,a4e37e47,04a418e8,39a2dfa8,fb66ce1f,7a8bd078,2cdce1be,0a8fce53
1254065,2021-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,47,38,4,2,0,0,0,0,0,1,0,0,59,0,8,67,b17e2f24,00ea847a,db584dad,73ad96ed,3241e3fd,1ee08e9a,e2db2409,8cf9814c,64775749,244048f6,45a43fe2,3355b542,bb351c23,1dc12ab9,70d205c9,e94915e6,fe93fd9d,4a8a2e3b,87e562a9,1abb78f8,23eeb873
1254068,2021-04-18,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,15,5,2,1,0,0,0,0,0,0,0,0,19,0,0,19,b17e2f24,00ea847a,db584dad,73ad96ed,3241e3fd,249abedf,1ee08e9a,8cf9814c,64775749,244048f6,8b3e9c7c,0a476045,30a45b23,919a3be2,d9273ee7,ad427b5c,d3611425,4c5d73db,495d42a5,e62dd25d,eef2536f
1254071,2021-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,22,18,0,2,0,0,0,0,0,0,0,0,26,0,0,26,b17e2f24,00ea847a,db584dad,3241e3fd,73ad96ed,32198ae0,b52ffbbd,e2db2409,8cf9814c,244048f6,dcce6f09,abb83e27,d027ba9f,26d76ad9,99d63244,0994d0ae,f29185a1,5f547c8b,2e81a32d,dcf81436,a2f46292
1254074,2021-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b17e2f24,00ea847a,db584dad,73ad96ed,3241e3fd,32198ae0,b52ffbbd,8cf9814c,df064e1a,244048f6,372455c4,740742ef,752f7486,271f83cd,a757b0d8,dbe50b21,5b8c830e,81049310,2ed569a0,462411b3,a818c1be
1254078,2021-04-26,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,13,14,0,1,0,0,0,0,0,2,0,0,15,0,16,31,b17e2f24,00ea847a,db584dad,73ad96ed,3241e3fd,32198ae0,ffe699c0,df064e1a,8cf9814c,244048f6,b4b99816,fb2d1dda,77255a9e,9d430b40,d2a6c0e6,bbd41817,c03f1114,ded9240e,c38d3503,5b7ab5a9,85e0cf10
1254083,2021-04-30,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,0,3,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,b17e2f24,9418198b,db584dad,3241e3fd,73ad96ed,c05edf8e,64775749,df064e1a,8cf9814c,ffe699c0,ba607b88,2c25d4f5,c740ea83,b681e71e,c4487b84,f9e6e7ef,caf69bf7,68c56d09,f986ca1a,2f49c897,57ee1fde
1254086,2021-05-02,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,9418198b,00ea847a,db584dad,ad9c32a2,73ad96ed,ffe699c0,c05edf8e,64775749,df064e1a,8cf9814c,8b3e9c7c,0a476045,30a45b23,919a3be2,48a1d7b7,d9273ee7,2e171977,ad427b5c,e62dd25d,5bb1a1c4,eef2536f
1254090,2021-10-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,16,12,1,1,0,0,0,0,0,0,0,0,21,0,0,21,b17e2f24,00ea847a,3241e3fd,6a26221c,f088b960,32198ae0,c05edf8e,df064e1a,8cf9814c,244048f6,ba607b88,2c25d4f5,2a2e6343,b681e71e,c4487b84,f9e6e7ef,44a89551,be869ccf,f986ca1a,2f49c897,57ee1fde
1254094,2021-10-07,Dubai International Cricket Stadium,Indian Premier League,T20,20,7dcb9bc9,Punjab Kings,8,10,0,1,0,0,0,0,0,1,0,0,10,0,8,18,b17e2f24,00ea847a,f088b960,6a26221c,32198ae0,ffe699c0,c05edf8e,df064e1a,8cf9814c,244048f6,45a43fe2,3355b542,bb351c23,1c17e270,70d205c9,4a8a2e3b,fe93fd9d,87e562a9,23eeb873,1abb78f8,03806cf8
