match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1304068,2022-04-12,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,34,18,5,1,0,0,0,0,0,0,0,1,51,0,6,57,3355b542,c8f5f961,ba607b88,b681e71e,f9e6e7ef,c03f1114,a97c8ec2,0a67aec0,2f49c897,03806cf8,45a43fe2,1c17e270,bb351c23,a4e37e47,fe93fd9d,4a8a2e3b,70d205c9,87e562a9,ffe699c0,f24c6701,765a4731
1304073,2022-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,6,5,1,0,0,0,0,0,0,1,0,0,7,0,8,15,3355b542,c8f5f961,ba607b88,b681e71e,f9e6e7ef,c03f1114,a97c8ec2,2f49c897,f986ca1a,03806cf8,8b3e9c7c,dcce6f09,3d8feaf8,919a3be2,650d5e49,ad427b5c,1abb78f8,2e171977,8d2c70ad,0a8fce53,a2f46292
1304077,2022-04-19,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,10,10,0,1,0,0,0,0,0,1,0,0,12,0,8,20,c8f5f961,3355b542,ba607b88,b681e71e,f9e6e7ef,c03f1114,f986ca1a,a97c8ec2,03806cf8,2f49c897,372455c4,b17e2f24,93b4fc78,5b8c830e,73ad96ed,872b03f7,d9273ee7,0f721006,327b58d3,df064e1a,eef2536f
1304082,2022-04-23,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,15,22,1,0,0,0,0,0,0,0,0,0,14,0,0,14,3355b542,c8f5f961,ba607b88,b681e71e,f9e6e7ef,c03f1114,f986ca1a,a97c8ec2,03806cf8,2f49c897,f29185a1,d027ba9f,77255a9e,6a26221c,3241e3fd,26989d80,4125d931,2e81a32d,81c36ee9,ce794613,81c08fa3
1304085,2022-04-26,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,2,7,0,0,0,0,0,0,0,1,0,1,2,0,14,16,ba607b88,3355b542,c740ea83,b681e71e,f9e6e7ef,c03f1114,a97c8ec2,f986ca1a,2f49c897,03806cf8,99b75528,2c25d4f5,495d42a5,a4cc73aa,eade4650,04a418e8,48a1d7b7,a818c1be,85e0cf10,57ee1fde,2e78f685
1304095,2022-05-04,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,9385de2e,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,ba607b88,3355b542,b681e71e,da934ee8,c740ea83,c03f1114,a97c8ec2,f9e6e7ef,f986ca1a,2f49c897,03806cf8
1359498,2023-04-17,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,19,14,0,2,0,0,0,0,0,1,0,0,25,0,8,33,ba607b88,3355b542,da934ee8,b681e71e,f9e6e7ef,c03f1114,3a60e0b5,a97c8ec2,f986ca1a,2f49c897,45a43fe2,df5a6881,29e95537,a4e37e47,70d205c9,bb351c23,fe93fd9d,4a8a2e3b,46a9bea1,f24c6701,64839cb3
1359501,2023-04-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54e52590,ba607b88,3355b542,b681e71e,c03f1114,da934ee8,f9e6e7ef,a97c8ec2,f986ca1a,3a60e0b5,2ed569a0,1ac746c8,9418198b,a90e53ec,50c6bc2b,28c78fb3,e94915e6,800d2d97,7dcb9bc9,c05edf8e,9eb1455b
1359506,2023-04-23,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,0,2,0,0,0,0,0,0,0,1,0,1,-2,0,14,12,f986ca1a,ba607b88,3355b542,f9e6e7ef,b681e71e,da934ee8,c03f1114,a97c8ec2,7f048519,54e52590,6c19c6e5,99b75528,2c25d4f5,a4cc73aa,48a1d7b7,bcf325d2,495d42a5,cc777ffa,0f721006,a818c1be,ce820073
1359510,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,9385de2e,Royal Challengers Bangalore,10,9,1,0,0,0,0,0,0,0,0,0,11,0,0,11,f986ca1a,ba607b88,3355b542,f9e6e7ef,b681e71e,da934ee8,c03f1114,a97c8ec2,7f048519,54e52590,9440ef41,d1c36f5c,bd54eef5,a24be938,fb2d1dda,bbd41817,0a509d6b,aa8d28ae,9d430b40,7c3b3b78,cc1e8c68
