match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082591,2017-04-05,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,0,2,0,0,18,0,36,0,0,0,0,0,-2,-4,0,-6,db584dad,c3a96caf,12b610c2,99d63244,4329fbb5,dc9dd038,bd17b45f,245c97cb,57ee1fde,18e6906e,dcce6f09,0a476045,32198ae0,1c914163,73ad96ed,2e11c706,890946a0,c18496e1,2e81a32d,96fd40ae,5f547c8b
1082602,2017-04-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,0,0,0,0,24,0,21,0,0,1,0,0,0,4,8,12,db584dad,ba607b88,c4487b84,99d63244,f62772e5,c3a96caf,bd17b45f,245c97cb,57ee1fde,76388dc8,b5da6c24,99b75528,740742ef,51a3c5ef,fb2d1dda,a757b0d8,5b8c830e,dbe50b21,8b5b6769,462411b3,13c35c9e
1082607,2017-04-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,6,7,0,0,24,2,29,1,0,0,0,0,6,58,0,64,ba607b88,c3a96caf,c4487b84,99d63244,4329fbb5,bd17b45f,f62772e5,350bb1b1,76388dc8,57ee1fde,29e95537,77255a9e,30a45b23,4a8a2e3b,e087956b,2a2e6343,26e5cabf,1abb78f8,1e66c162,2ed569a0,acee4cc4
1082610,2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,0,0,0,0,24,1,53,0,0,0,0,0,0,19,0,19,db584dad,ba607b88,12b610c2,99d63244,4329fbb5,c3a96caf,bd17b45f,f62772e5,350bb1b1,57ee1fde,35205dfc,b8a55852,1dc12ab9,b8d490fd,c03f1114,fe93fd9d,752f7486,7c7d63a2,871e9faf,d2a989fc,1da489ff
1082617,2017-04-23,Eden Gardens,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,5,4,1,0,21,1,27,1,1,0,0,0,6,45,0,51,db584dad,ba607b88,c3a96caf,c4487b84,99d63244,bd17b45f,f62772e5,76388dc8,245c97cb,57ee1fde,9d430b40,bb345e0b,1c17e270,93b4fc78,3c6ffae8,271f83cd,94d7f855,4c5d73db,56ab442f,cc1e8c68,8d2c70ad
1082621,2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,9,16,0,0,19,0,20,0,0,0,0,0,5,2,0,7,db584dad,ba607b88,c4487b84,12b610c2,99d63244,c3a96caf,f62772e5,76388dc8,18e6906e,57ee1fde,752f7486,b8a55852,1dc12ab9,b8d490fd,fe93fd9d,c03f1114,808f425a,7c7d63a2,871e9faf,b822e99c,f18ba07f
1082624,2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,8,5,1,0,24,0,31,0,0,0,0,0,9,0,0,9,12b610c2,ba607b88,c4487b84,99d63244,dc9dd038,bd17b45f,f62772e5,350bb1b1,76388dc8,57ee1fde,29e95537,77255a9e,30a45b23,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,2f9d0389,1e66c162,23eeb873,acee4cc4
1082628,2017-05-01,Wankhede Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,0,0,0,0,12,0,22,0,0,0,0,0,0,-2,0,-2,ba607b88,c3a96caf,12b610c2,c4487b84,99d63244,4329fbb5,f62772e5,350bb1b1,18e6906e,57ee1fde,b5da6c24,99b75528,fb2d1dda,740742ef,a757b0d8,5b8c830e,119678fd,dbe50b21,51a3c5ef,a12e1d51,462411b3
1082633,2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,4,6,0,0,12,1,13,0,0,0,0,0,4,27,0,31,c3a96caf,db584dad,ba607b88,c4487b84,99d63244,4329fbb5,f62772e5,76388dc8,18e6906e,57ee1fde,e798611a,2be41edb,508a1ea7,c03e2850,fe11caa6,b681e71e,2e171977,759ac88f,0a3d54b9,ce820073,ce794613
1082636,2017-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,957532de,Royal Challengers Bangalore,0,0,0,0,6,0,26,0,0,0,0,0,0,0,0,0,db584dad,c3a96caf,ba607b88,c4487b84,12b610c2,99d63244,f62772e5,76388dc8,18e6906e,57ee1fde,45eda7c8,9d430b40,94d7f855,bb345e0b,93b4fc78,3c6ffae8,acc1aeda,4c5d73db,cc1e8c68,98ae73b1,db31895a
