match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335984,2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,0,0,0,0,24,2,14,2,0,0,0,0,0,72,0,72,bb345e0b,8ba8195d,0a476045,26e5cabf,c03f1114,33a364a6,c42aaf71,d7c6af50,50758325,ee7d0c82,40caa465,3c6ffae8,4329fbb5,d84378a4,53fe6ee4,fe93fd9d,de8d3876,0264c10e,bb18be76,3d7e087f,f0f628c7
335988,2008-04-22,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,0,0,0,0,24,2,36,0,0,0,0,0,0,50,0,50,bb345e0b,8ba8195d,0a476045,64c34cd0,c03f1114,26e5cabf,33a364a6,e03b66ec,93a17209,ee7d0c82,2b6e6dec,fe763256,de8cce37,bd77eb62,740742ef,0dc00542,0604ef16,b9be6507,bcce309e,c3d1402f,6c6591ab
335995,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,ab89348d,Delhi Daredevils,18,12,2,0,18,0,31,0,0,0,0,0,22,-2,0,20,bb345e0b,8ba8195d,0a476045,64c34cd0,26e5cabf,c03f1114,33a364a6,93a17209,e03b66ec,ee7d0c82,a1f1829d,fdedb37c,6b71e6cf,d18f9182,1c914163,a76d10ba,5fa06777,dd09ff8e,98ae73b1,6b8eb6e5,034b4b7d
336015,2008-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,39,16,2,4,24,3,24,1,0,0,0,0,59,89,0,148,bb345e0b,8ba8195d,0a476045,c4487b84,c03f1114,5bdcdb72,6b19d823,93a17209,ee7d0c82,9fc0ef64,3c6ffae8,72861603,d84378a4,4329fbb5,fe93fd9d,3edb58fc,bb18be76,a2870fb7,de8d3876,3d7e087f,f0f628c7
336017,2008-05-13,Eden Gardens,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,10,12,0,0,24,2,25,0,0,1,0,0,10,52,8,70,bb345e0b,8ba8195d,c4487b84,26e5cabf,0a476045,5bdcdb72,6b19d823,93a17209,9fc0ef64,ee7d0c82,4d6d6280,e249fdaa,725529bc,fd835ab3,75de770f,b1451597,fe11caa6,85aae393,5bb1a1c4,66b30f71,10a91f35
336020,2008-05-15,Feroz Shah Kotla,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,19,11,0,2,24,2,39,1,0,0,0,0,29,58,0,87,bb345e0b,8ba8195d,0a476045,5bdcdb72,26e5cabf,c03f1114,6b19d823,33a364a6,ee7d0c82,e03b66ec,2b6e6dec,0dc00542,e1d1b294,740742ef,57efa3be,fe763256,b720a5d6,c3d1402f,6c6591ab,acd4f5dc,4b4d1957
336022,2008-05-17,Feroz Shah Kotla,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,0,1,0,0,6,0,12,0,0,1,0,0,-2,0,8,6,bb345e0b,8ba8195d,0a476045,5bdcdb72,64c34cd0,9fc0ef64,c03f1114,6b19d823,33a364a6,ee7d0c82,508a1ea7,2498e163,1c914163,b63ab531,d18f9182,5fa06777,5d096f3d,98ae73b1,622cc511,6b8eb6e5,034b4b7d
336026,2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,13,8,1,1,24,4,13,0,0,0,0,2,16,114,12,142,bb345e0b,8ba8195d,c4487b84,5bdcdb72,0a476045,c03f1114,33a364a6,93a17209,9fc0ef64,ee7d0c82,86dc8f2e,5451a2c1,541f85c9,0184dc35,7eae4418,d0513f63,af7dadf7,e938e1bc,91a4a398,0c2730df,8fd1a8f5
336032,2008-05-24,Feroz Shah Kotla,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,20,13,4,0,24,1,27,1,0,0,0,0,28,35,0,63,bb345e0b,8ba8195d,0a476045,26e5cabf,5bdcdb72,c03f1114,50758325,93a17209,6b19d823,ee7d0c82,f233bbb4,d2c2b2d5,35205dfc,1c17e270,a45a5e8d,88fccd6c,facb9086,0aadc906,2503e881,d2a989fc,96fd40ae
336038,2008-05-30,Wankhede Stadium,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,6,6,1,0,24,3,34,0,0,1,0,0,7,79,8,94,bb345e0b,8ba8195d,0a476045,26e5cabf,5bdcdb72,c03f1114,6b19d823,93a17209,e03b66ec,ee7d0c82,72861603,ae091d39,64d43928,4329fbb5,d84378a4,3c6ffae8,fe93fd9d,bb18be76,de8d3876,f0f628c7,3d7e087f
392226,2009-05-15,OUTsurance Oval,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,3,8,0,0,28,2,31,0,0,0,0,0,3,52,0,55,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c42aaf71,c03f1114,d7c6af50,33a364a6,9fc0ef64,96fd40ae,3fca55af,fdedb37c,b63ab531,1c914163,6b71e6cf,5fa06777,dd09ff8e,98ae73b1,5d096f3d,3dba85c2,6b8eb6e5
392230,2009-05-17,OUTsurance Oval,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,0,0,0,0,24,2,27,0,0,0,0,0,0,52,0,52,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,6b19d823,c42aaf71,260fd380,96fd40ae,c404f58a,23ac69e6,72861603,890946a0,7c503806,fe93fd9d,3c6ffae8,c69a7b5c,bb18be76,5b040b81,3d7e087f,f0f628c7
392232,2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,ab89348d,Delhi Daredevils,18,13,0,0,12,0,9,0,0,0,0,0,20,6,0,26,bb345e0b,8ba8195d,c42aaf71,c4487b84,c03f1114,16043342,662c47a6,d7c6af50,260fd380,96fd40ae,1c17e270,86dc8f2e,0184dc35,b61a3e1a,f3cb53a1,ba607b88,05c2ca46,e938e1bc,af7dadf7,0c2730df,93b4fc78
419108,2010-03-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,ab89348d,Delhi Daredevils,1,1,0,0,24,3,37,0,0,1,0,0,1,79,8,88,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c03f1114,c42aaf71,6b19d823,9fc0ef64,93a17209,c404f58a,7ca5e05d,5afd4539,6b71e6cf,1c914163,d18f9182,5fa06777,d84378a4,98ae73b1,5d096f3d,6b8eb6e5,4353bba5
