match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082592,2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,3,28,3,0,0,0,0,0,103,0,103,29e95537,00ea847a,30a45b23,e087956b,4a8a2e3b,26e5cabf,33a364a6,23eeb873,14f96089,66b30f71,b5da6c24,99b75528,740742ef,fb2d1dda,70d205c9,5b8c830e,a757b0d8,dbe50b21,13c35c9e,51a3c5ef,462411b3
1082594,2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,2,29,1,0,0,0,0,0,58,0,58,29e95537,00ea847a,30a45b23,e087956b,4a8a2e3b,26e5cabf,2a2e6343,33a364a6,2ed569a0,66b30f71,e798611a,c03e2850,fe11caa6,2e171977,b681e71e,d67d5f00,d9273ee7,983f2f61,759ac88f,ce820073,ce794613
1082599,2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,2,0,0,24,1,25,1,0,0,0,0,-2,35,0,33,29e95537,00ea847a,3355b542,77255a9e,e087956b,4a8a2e3b,33a364a6,23eeb873,14f96089,66b30f71,855a210c,c16d4035,a4cc73aa,919a3be2,8abdf100,fb66ce1f,944533a5,ded9240e,6b19d823,91a4a398,9d80c5e1
1082603,2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,1,53,1,0,0,0,0,0,27,0,27,29e95537,77255a9e,30a45b23,e087956b,26e5cabf,4a8a2e3b,24d94623,1abb78f8,2f9d0389,2ed569a0,35205dfc,b8a55852,1dc12ab9,c03f1114,b8d490fd,752f7486,fe93fd9d,e938e1bc,871e9faf,7c7d63a2,c8179c68
1082607,2017-04-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,1,27,0,0,0,1,0,0,27,12,39,29e95537,77255a9e,30a45b23,4a8a2e3b,e087956b,2a2e6343,26e5cabf,1abb78f8,1e66c162,2ed569a0,ba607b88,c3a96caf,c4487b84,99d63244,4329fbb5,bd17b45f,f62772e5,350bb1b1,76388dc8,957532de,57ee1fde
1082615,2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,19,1,23,0,0,0,0,0,0,25,0,25,29e95537,77255a9e,30a45b23,4a8a2e3b,e087956b,26e5cabf,2a2e6343,f19ccfad,1abb78f8,1e66c162,dcce6f09,0a476045,d027ba9f,32198ae0,73ad96ed,890946a0,c18496e1,2e81a32d,5f547c8b,2f49c897,dcf81436
1082618,2017-04-24,Wankhede Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,1,32,0,0,0,0,0,0,25,0,25,29e95537,77255a9e,30a45b23,4a8a2e3b,e087956b,26e5cabf,2a2e6343,f19ccfad,1abb78f8,1e66c162,b5da6c24,99b75528,fb2d1dda,740742ef,119678fd,a757b0d8,dbe50b21,8b5b6769,51a3c5ef,f5180fe6,462411b3
1082620,2017-04-26,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,0,48,0,0,0,0,0,0,-4,0,-4,29e95537,77255a9e,30a45b23,4a8a2e3b,26e5cabf,2a2e6343,3355b542,f19ccfad,1abb78f8,1e66c162,9d430b40,bb345e0b,1c17e270,14b14cd8,93b4fc78,3c6ffae8,94d7f855,4c5d73db,98ae73b1,8d2c70ad,cc1e8c68
1082624,2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,3,18,1,0,0,0,0,0,93,0,93,29e95537,77255a9e,30a45b23,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,2f9d0389,1e66c162,23eeb873,12b610c2,ba607b88,c4487b84,99d63244,dc9dd038,bd17b45f,f62772e5,350bb1b1,76388dc8,957532de,57ee1fde
1082629,2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,acee4cc4,Rising Pune Supergiant,0,0,0,0,24,4,27,1,0,0,0,0,0,118,0,118,29e95537,77255a9e,30a45b23,26e5cabf,e087956b,4a8a2e3b,2a2e6343,f19ccfad,1e66c162,1abb78f8,752f7486,b8a55852,1dc12ab9,b8d490fd,35205dfc,c03f1114,fe93fd9d,808f425a,9fc0ef64,871e9faf,f18ba07f
