match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1216543,2020-10-14,Dubai International Cricket Stadium,Indian Premier League,T20,20,ad427b5c,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,8b3e9c7c,0a476045,29e95537,85ec8e33,d9273ee7,69d03465,2e171977,495d42a5,46a9bea1,e62dd25d,acdc62f5
1237181,2020-11-10,Dubai International Cricket Stadium,Indian Premier League,T20,20,ad427b5c,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,d9273ee7,0a476045,29e95537,85ec8e33,919a3be2,48a1d7b7,2e171977,e62dd25d,ed5a5510,495d42a5,acdc62f5
1254064,2021-04-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,20,25,3,0,0,0,0,0,0,2,0,0,23,0,16,39,8b3e9c7c,0a476045,29e95537,919a3be2,d9273ee7,e86754b2,4c5d73db,495d42a5,e62dd25d,eef2536f,99b75528,c03e2850,a4cc73aa,a4e37e47,d67d5f00,04a418e8,39a2dfa8,fb66ce1f,1e66c162,2cdce1be,0a8fce53
1254068,2021-04-18,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,12,6,2,0,6,0,11,0,0,0,0,0,14,0,0,14,8b3e9c7c,0a476045,30a45b23,919a3be2,d9273ee7,d3611425,4c5d73db,495d42a5,e62dd25d,eef2536f,b17e2f24,00ea847a,db584dad,73ad96ed,3241e3fd,7dcb9bc9,249abedf,1ee08e9a,8cf9814c,64775749,244048f6
1254070,2021-04-20,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,22,26,1,0,24,1,17,1,0,0,0,0,23,39,0,62,8b3e9c7c,0a476045,30a45b23,919a3be2,48a1d7b7,d9273ee7,495d42a5,e62dd25d,eef2536f,6b19d823,740742ef,372455c4,271f83cd,752f7486,dbe50b21,5b8c830e,a757b0d8,81049310,2ed569a0,462411b3,a818c1be
1254082,2021-04-29,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,0,0,0,0,18,2,13,1,0,1,0,0,0,64,8,72,8b3e9c7c,0a476045,919a3be2,d9273ee7,48a1d7b7,30a45b23,2e171977,e62dd25d,eef2536f,5bb1a1c4,fb2d1dda,b4b99816,77255a9e,d2a6c0e6,9d430b40,bbd41817,c03f1114,ded9240e,c38d3503,5b7ab5a9,85e0cf10
1254086,2021-05-02,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,0,0,0,0,18,0,25,0,0,1,0,0,0,0,8,8,8b3e9c7c,0a476045,30a45b23,919a3be2,48a1d7b7,d9273ee7,2e171977,e62dd25d,5bb1a1c4,eef2536f,9418198b,00ea847a,db584dad,ad9c32a2,73ad96ed,7dcb9bc9,ffe699c0,c05edf8e,64775749,df064e1a,8cf9814c
1254092,2021-09-28,Sharjah Cricket Stadium,Indian Premier League,T20,20,ad427b5c,Delhi Capitals,0,3,0,0,18,1,35,1,0,1,0,0,-2,29,8,35,30a45b23,0a476045,85ec8e33,919a3be2,48a1d7b7,2e171977,495d42a5,e62dd25d,eef2536f,acdc62f5,b4b99816,a24be938,77255a9e,fb2d1dda,d2a6c0e6,c03f1114,9d430b40,13c35c9e,2f9d0389,cdc6bdba,5b7ab5a9
1254097,2021-09-25,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,14,15,1,0,0,0,0,0,0,0,0,0,15,0,0,15,8b3e9c7c,0a476045,85ec8e33,919a3be2,48a1d7b7,2e171977,495d42a5,e62dd25d,acdc62f5,eef2536f,50c6bc2b,6c19c6e5,a4cc73aa,d67d5f00,da934ee8,04a418e8,39a2dfa8,a03bba42,5d2eea49,2cdce1be,0a8fce53
1304048,2022-03-27,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,48,42,4,2,12,0,15,0,0,1,0,0,60,0,8,68,8b3e9c7c,4663bd23,c3a96caf,919a3be2,650d5e49,1abb78f8,2e171977,8d2c70ad,a2f46292,b4f5c2d9,740742ef,752f7486,1399b39c,b0482a1d,a757b0d8,f1f99156,caf69bf7,e2db2409,245c97cb,462411b3,871e9faf
1304056,2022-04-02,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,ad427b5c,Delhi Capitals,25,22,2,1,0,0,0,0,0,0,0,0,29,0,0,29,8b3e9c7c,4663bd23,c3a96caf,919a3be2,650d5e49,2e171977,1abb78f8,8d2c70ad,a2f46292,0a8fce53,afa7e784,b4b99816,0994d0ae,dbe50b21,d67d5f00,39a2dfa8,0890552f,5f547c8b,0a3d54b9,2f9d0389,8cf9814c
