match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
419107,2010-03-13,Brabourne Stadium,Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,0,0,0,24,2,47,0,0,0,0,0,0,46,0,46,72861603,ae091d39,890946a0,2815fe50,3c6ffae8,2728e7e9,3edb58fc,fdcb08c2,bb18be76,6ef60d3a,f233bbb4,d2c2b2d5,855a210c,709b0bac,70d205c9,626c5379,8b5b6769,c654af19,91a4a398,a12e1d51,ef5da05c
419111,2010-03-15,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,0,0,0,24,0,28,0,0,0,0,0,0,0,0,0,ae091d39,72861603,890946a0,3c6ffae8,2815fe50,2728e7e9,3edb58fc,fdcb08c2,bb18be76,f0f628c7,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c03f1114,c42aaf71,ab89348d,6b19d823,fb693839,9fc0ef64,c404f58a
419118,2010-03-20,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,11df3dc8,890946a0,c15e2193,2815fe50,3c6ffae8,864c199e,2728e7e9,bb18be76,f0f628c7,3d7e087f,26e5cabf,b57f8a9a,d4f9dbd4,725529bc,7bf96684,896d78ad,fe11caa6,abfeb126,66b30f71,4f629497,5bb1a1c4
419124,2010-03-24,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,0,0,0,19,3,22,1,1,1,0,0,0,101,8,109,11df3dc8,890946a0,c15e2193,3c6ffae8,864c199e,2728e7e9,2815fe50,bb18be76,f0f628c7,3d7e087f,7ca5e05d,6b71e6cf,5afd4539,1c914163,d18f9182,5fa06777,d84378a4,98ae73b1,dec8e038,6b8eb6e5,2049f3a0
419126,2010-03-26,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,0,0,0,24,4,25,1,0,0,0,0,0,118,0,118,11df3dc8,890946a0,3c6ffae8,c15e2193,864c199e,2815fe50,2728e7e9,bb18be76,287686fd,3d7e087f,2b6e6dec,de8cce37,e1d1b294,bd77eb62,740742ef,aaa1b522,fe763256,bcce309e,5d9a1a73,c3d1402f,6c6591ab
419129,2010-03-28,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,addfb70e,Rajasthan Royals,1,1,0,0,24,2,22,0,0,0,0,0,1,54,0,55,11df3dc8,890946a0,c15e2193,3c6ffae8,864c199e,2815fe50,2728e7e9,287686fd,bb18be76,3d7e087f,4b57e452,d8699ab7,1dc12ab9,4a8a2e3b,3576e47e,c3d35165,7daedf2f,b2ae53f5,9f961c14,4ba44e19,c8179c68
419134,2010-03-31,Feroz Shah Kotla,Indian Premier League,T20,20,addfb70e,Rajasthan Royals,11,12,0,1,25,1,55,0,0,0,0,0,13,19,0,32,11df3dc8,890946a0,c15e2193,2815fe50,864c199e,3c6ffae8,2728e7e9,bb18be76,287686fd,3d7e087f,dcce6f09,8ba8195d,bb345e0b,a386e91b,99d63244,c03f1114,16043342,6b19d823,ab89348d,fb693839,cc1e8c68
419137,2010-04-03,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,0,0,0,24,0,45,0,0,1,0,0,0,-4,8,4,11df3dc8,890946a0,3c6ffae8,4329fbb5,c15e2193,2815fe50,c69a7b5c,287686fd,dddca1d6,bb18be76,4b57e452,d8699ab7,1dc12ab9,c3d35165,4a8a2e3b,3576e47e,95a2ea61,4ba44e19,c8179c68,45c2196c,c24a2c5d
501204,2011-04-12,Sawai Mansingh Stadium,Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,0,0,0,25,2,41,0,0,1,0,0,0,50,8,58,3a02626a,0184dc35,7c503806,8291f939,29e95537,b61a3e1a,c69a7b5c,bb18be76,5b040b81,3d7e087f,dcce6f09,8ba8195d,b8d490fd,0c94f480,890946a0,fe763256,5fa06777,05c2ca46,5bb5a915,9d80c5e1,66b30f71
501214,2011-04-17,Eden Gardens,Indian Premier League,T20,20,addfb70e,Rajasthan Royals,0,1,0,0,25,1,31,0,0,0,0,0,-2,25,0,23,4329fbb5,3a02626a,c15e2193,c69a7b5c,8291f939,b61a3e1a,29e95537,bb18be76,5b040b81,3d7e087f,86dc8f2e,5afd4539,bb345e0b,26e5cabf,3c6ffae8,d2a6c0e6,7dc35884,85aae393,33a364a6,dd09ff8e,b2b50355
