match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335982,2008-04-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0184dc35,619aa81f,ba607b88,86dc8f2e,d0513f63,f3cb53a1,b69e69ed,e938e1bc,91a4a398,670709ec,725529bc,b8a55852,7d415ea5,fd835ab3,9ab63e7b,b1451597,fe11caa6,fa463154,66b30f71,abfeb126,5bb1a1c4
335985,2008-04-20,Wankhede Stadium,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,3,6,0,0,18,2,19,0,0,0,1,0,3,52,12,67,881a9bdd,0184dc35,b61a3e1a,86dc8f2e,ba607b88,f3cb53a1,e938e1bc,91a4a398,670709ec,41eb4a4f,0fa5042b,f233bbb4,7d3937ed,1c17e270,0aadc906,a45a5e8d,88fccd6c,8b5b6769,0d232ffd,96fd40ae,d2a989fc
335996,2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,2,3,0,0,24,0,34,0,0,0,0,0,2,0,0,2,5451a2c1,619aa81f,b61a3e1a,86dc8f2e,f3cb53a1,ba607b88,0184dc35,e938e1bc,91a4a398,8fd1a8f5,b5da6c24,d8699ab7,48fd7349,1dc12ab9,4a8a2e3b,3eac9d95,3576e47e,c3d35165,9f961c14,6ad3a659,ae78bc32
336002,2008-05-25,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,27,7,2,3,18,0,39,0,0,1,0,0,35,-6,8,37,86dc8f2e,619aa81f,7eae4418,0184dc35,d0513f63,ba607b88,541f85c9,41eb4a4f,0c2730df,8fd1a8f5,2b6e6dec,e1d1b294,740742ef,1be70c88,fe763256,b720a5d6,b9be6507,0604ef16,bcce309e,c3d1402f,acd4f5dc
336012,2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,5,4,1,0,18,0,20,0,0,1,0,0,6,2,8,16,f3cb53a1,541f85c9,7eae4418,0184dc35,d0513f63,ba607b88,e938e1bc,41eb4a4f,0c2730df,8fd1a8f5,f233bbb4,d2c2b2d5,1c17e270,35205dfc,a45a5e8d,88fccd6c,93b4fc78,4e04666c,d2a989fc,342d8ade,96fd40ae
336026,2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,3,3,0,0,20,1,22,0,0,0,0,0,3,27,0,30,86dc8f2e,5451a2c1,541f85c9,0184dc35,7eae4418,d0513f63,e938e1bc,91a4a398,0c2730df,8fd1a8f5,bb345e0b,8ba8195d,c4487b84,5bdcdb72,0a476045,c03f1114,ab89348d,33a364a6,93a17209,9fc0ef64,ee7d0c82
336029,2008-05-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,6,7,1,0,6,0,4,0,0,1,0,0,7,0,8,15,86dc8f2e,541f85c9,ba607b88,0184dc35,7eae4418,f3cb53a1,e938e1bc,41eb4a4f,0c2730df,8fd1a8f5,b5da6c24,eea6b7f1,4a8a2e3b,1dc12ab9,3576e47e,c3d35165,756389bd,ae78bc32,b2b50355,20a941bb,4ba44e19
392182,2009-04-18,Newlands,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,9,9,1,0,0,0,0,0,0,0,0,0,10,0,0,10,91ffa6c6,1c17e270,b61a3e1a,39f01cdb,0184dc35,ba607b88,e938e1bc,41eb4a4f,8fd1a8f5,0c2730df,72861603,ae091d39,a2870fb7,0a4ebc61,3c6ffae8,3edb58fc,fe93fd9d,bb18be76,de8d3876,f0f628c7,6ef60d3a
392194,2009-04-26,St George's Park,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,8,5,0,1,6,1,8,0,0,0,0,0,10,25,0,35,86dc8f2e,1c17e270,39f01cdb,b61a3e1a,ba607b88,f3cb53a1,41eb4a4f,e32d22f6,0c2730df,d92e42f5,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c03f1114,c42aaf71,6b19d823,d7c6af50,c404f58a,9fc0ef64,96fd40ae
392221,2009-05-12,SuperSport Park,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,0,0,0,0,18,1,32,1,0,0,0,0,0,31,0,31,91ffa6c6,86dc8f2e,1c17e270,b61a3e1a,0184dc35,f3cb53a1,ba607b88,d92e42f5,41eb4a4f,0c2730df,b8a55852,725529bc,7023d182,fd835ab3,896d78ad,fe11caa6,297b26da,fa463154,abfeb126,5bb1a1c4,ea0cdc12
392224,2009-05-14,Kingsmead,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,0,2,0,0,6,0,2,0,0,0,0,1,-2,0,6,4,1c17e270,86dc8f2e,0184dc35,b61a3e1a,ba607b88,f3cb53a1,05c2ca46,e938e1bc,41eb4a4f,0c2730df,4b57e452,d8699ab7,1dc12ab9,4a8a2e3b,3eac9d95,3576e47e,c3d35165,c8179c68,b2b50355,4ba44e19,c24a2c5d
392232,2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,1c17e270,86dc8f2e,0184dc35,b61a3e1a,f3cb53a1,ba607b88,05c2ca46,e938e1bc,0c2730df,93b4fc78,bb345e0b,8ba8195d,c42aaf71,c4487b84,c03f1114,16043342,662c47a6,ab89348d,d7c6af50,260fd380,96fd40ae
392236,2009-05-21,SuperSport Park,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,0,0,0,0,24,2,18,0,0,0,0,0,0,56,0,56,86dc8f2e,93b4fc78,05c2ca46,0184dc35,b61a3e1a,ba607b88,1c17e270,f3cb53a1,e938e1bc,0c2730df,2b6e6dec,e1d1b294,aaa1b522,bd77eb62,740742ef,fe763256,bff458c6,12eddf28,d7b3a420,c3d1402f,6c6591ab
419164,2010-04-24,Dr DY Patil Sports Academy,Indian Premier League,T20,20,af7dadf7,Royal Challengers Bangalore,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,86dc8f2e,0184dc35,39f01cdb,1c17e270,ba607b88,d0513f63,e938e1bc,0c2730df,6ec424a9,8fd1a8f5,2b6e6dec,6afb26d6,7bb62642,740742ef,bd77eb62,35205dfc,fe763256,12eddf28,5d9a1a73,2a72fd4f,6c6591ab
501233,2011-04-30,Nehru Stadium,Indian Premier League,T20,20,af7dadf7,Kochi Tuskers Kerala,13,9,0,1,13,0,22,0,0,0,0,0,15,-2,0,13,b8a55852,b970a03f,b5da6c24,d18f9182,b57f8a9a,fe93fd9d,41eb4a4f,5d096f3d,6b8eb6e5,c3d1402f,dcce6f09,8ba8195d,890946a0,fe763256,662c47a6,d2d4bb0a,5fa06777,05c2ca46,5bb5a915,fa463154,cc1e8c68
