match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335982,2008-04-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,0,0,0,0,7,1,12,0,0,0,0,0,0,25,0,25,725529bc,b8a55852,7d415ea5,fd835ab3,9ab63e7b,fe11caa6,fa463154,66b30f71,abfeb126,5bb1a1c4,0184dc35,619aa81f,ba607b88,86dc8f2e,d0513f63,f3cb53a1,af7dadf7,b69e69ed,e938e1bc,91a4a398,670709ec
335986,2008-04-20,Eden Gardens,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,4,6,0,0,0,0,0,0,0,1,0,0,4,0,8,12,fe11caa6,b8a55852,7d415ea5,725529bc,fd835ab3,9ab63e7b,fa463154,66b30f71,abfeb126,5bb1a1c4,2b6e6dec,fe763256,de8cce37,bd77eb62,740742ef,57efa3be,b9be6507,0604ef16,bcce309e,c3d1402f,6c6591ab
335993,2008-04-26,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,42,35,4,1,12,0,19,0,0,0,0,0,52,0,0,52,725529bc,b8a55852,7d415ea5,fe11caa6,fd835ab3,9ab63e7b,fa463154,abfeb126,5bb1a1c4,66b30f71,b5da6c24,d8699ab7,4a8a2e3b,48fd7349,3576e47e,1dc12ab9,3eac9d95,9f961c14,6ad3a659,ae78bc32,4ba44e19
335997,2008-04-29,Eden Gardens,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,40,24,4,2,6,0,11,0,0,0,0,0,56,0,0,56,b8a55852,725529bc,7d415ea5,7050a1e7,fd835ab3,9ab63e7b,fa463154,abfeb126,5bb1a1c4,66b30f71,29e95537,f233bbb4,93b4fc78,1c17e270,87e562a9,88fccd6c,a45a5e8d,96fd40ae,d2a989fc,342d8ade,0aadc906
336000,2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,2,2,0,0,7,1,16,1,0,0,0,0,2,33,0,35,4d6d6280,725529bc,fa463154,b57f8a9a,fd835ab3,7050a1e7,fe11caa6,16dfcc19,5bb1a1c4,66b30f71,72861603,ae091d39,d84378a4,3c6ffae8,4329fbb5,fe93fd9d,bb18be76,64d43928,de8d3876,3d7e087f,f0f628c7
336003,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,7,10,0,0,0,0,0,0,0,0,0,0,7,0,0,7,9ab63e7b,725529bc,7050a1e7,b57f8a9a,fd835ab3,fe11caa6,fa463154,16dfcc19,5bb1a1c4,66b30f71,508a1ea7,2498e163,6b71e6cf,1c914163,d18f9182,a1f1829d,5fa06777,98ae73b1,6b8eb6e5,034b4b7d,890de8cb
336010,2008-05-08,Eden Gardens,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,11,9,2,0,6,0,15,0,0,0,0,0,13,0,0,13,e249fdaa,b57f8a9a,725529bc,fd835ab3,75de770f,fe11caa6,abfeb126,16dfcc19,5bb1a1c4,66b30f71,f663ef00,881a9bdd,f3cb53a1,0184dc35,d0513f63,e938e1bc,41eb4a4f,ba607b88,91a4a398,0c2730df,8fd1a8f5
336014,2008-05-11,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,14,3,2,1,13,1,16,1,0,1,0,0,18,33,8,59,4d6d6280,e249fdaa,725529bc,fd835ab3,75de770f,fe11caa6,16dfcc19,5bb1a1c4,66b30f71,abfeb126,2b6e6dec,e1d1b294,b720a5d6,740742ef,57efa3be,fe763256,0604ef16,bcce309e,c3d1402f,acd4f5dc,6c6591ab
336017,2008-05-13,Eden Gardens,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,10,8,1,0,5,3,6,1,0,0,0,1,11,87,6,104,4d6d6280,e249fdaa,725529bc,fd835ab3,75de770f,fe11caa6,85aae393,5bb1a1c4,66b30f71,10a91f35,bb345e0b,8ba8195d,c4487b84,26e5cabf,0a476045,5bdcdb72,6b19d823,ab89348d,93a17209,9fc0ef64,ee7d0c82
336021,2008-05-16,Wankhede Stadium,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,0,4,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,4d6d6280,e249fdaa,725529bc,fd835ab3,9ab63e7b,fe11caa6,fa463154,10a91f35,5bb1a1c4,66b30f71,f233bbb4,d2c2b2d5,1c17e270,7d3937ed,87e562a9,a45a5e8d,88fccd6c,c9d33ef5,4e04666c,5f4e9e8f,96fd40ae
336025,2008-05-18,Eden Gardens,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,13,12,2,0,0,0,0,0,0,0,0,0,15,0,0,15,4d6d6280,9ab63e7b,725529bc,7050a1e7,fd835ab3,fe11caa6,fa463154,5bb1a1c4,66b30f71,10a91f35,b5da6c24,eea6b7f1,756389bd,1dc12ab9,3576e47e,4a8a2e3b,c3d35165,ae78bc32,b2b50355,4ba44e19,20a941bb
336027,2008-05-20,Eden Gardens,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,15,10,1,1,6,0,8,0,0,0,0,0,20,0,0,20,4d6d6280,9ab63e7b,725529bc,fd835ab3,7050a1e7,fe11caa6,fa463154,16dfcc19,5bb1a1c4,66b30f71,72861603,ae091d39,64d43928,d84378a4,4329fbb5,3c6ffae8,fe93fd9d,bb18be76,de8d3876,3d7e087f,f0f628c7
336035,2008-05-25,Eden Gardens,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,5,4,1,0,12,0,23,0,0,0,0,0,6,-4,0,2,4d6d6280,725529bc,7050a1e7,fd835ab3,fe11caa6,e249fdaa,16dfcc19,5bb1a1c4,ea0cdc12,66b30f71,508a1ea7,2498e163,6b71e6cf,1c914163,d18f9182,5fa06777,98ae73b1,a76d10ba,5d096f3d,034b4b7d,6b8eb6e5
392184,2009-04-19,Newlands,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,8,6,0,1,0,0,0,0,0,0,0,1,10,0,6,16,b8a55852,db584dad,725529bc,b57f8a9a,e249fdaa,32198ae0,fa463154,abfeb126,5bb1a1c4,66b30f71,2b6e6dec,e1d1b294,de8cce37,740742ef,57efa3be,fe763256,2a72fd4f,6c6591ab,c3d1402f,b720a5d6,a7c226e1
392186,2009-04-21,Kingsmead,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,0,0,0,0,12,1,22,0,0,0,0,0,0,23,0,23,b8a55852,db584dad,b57f8a9a,725529bc,297b26da,e249fdaa,32198ae0,5bb1a1c4,abfeb126,66b30f71,7ca5e05d,a1f1829d,5fa06777,6b71e6cf,1c914163,d18f9182,40caa465,98ae73b1,5f26df4f,034b4b7d,4353bba5
392190,2009-04-23,Newlands,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,13,13,1,0,0,0,0,0,0,0,0,0,14,0,0,14,db584dad,b8a55852,b57f8a9a,725529bc,0604ef16,297b26da,fa463154,5bb1a1c4,ea0cdc12,69be866a,72861603,25eeb281,23ac69e6,3c6ffae8,fe93fd9d,3edb58fc,c69a7b5c,bb18be76,de8d3876,f0f628c7,6ef60d3a
392197,2009-04-27,St George's Park,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,6,10,1,0,24,3,26,1,0,0,0,1,5,89,6,100,b8a55852,db584dad,b57f8a9a,725529bc,297b26da,7023d182,5bb1a1c4,ea0cdc12,66b30f71,69be866a,f233bbb4,d2c2b2d5,8b5b6769,2e8994e7,a45a5e8d,87e562a9,0a476045,709b0bac,0aadc906,91a4a398,a12e1d51
392199,2009-04-29,Kingsmead,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,b8a55852,db584dad,b57f8a9a,725529bc,710dd98c,fe11caa6,fa463154,abfeb126,5bb1a1c4,66b30f71,86dc8f2e,541f85c9,39f01cdb,ba607b88,f3cb53a1,05c2ca46,93b4fc78,e938e1bc,e32d22f6,0c2730df,d92e42f5
392203,2009-05-01,Buffalo Park,Indian Premier League,T20,20,b1451597,Kolkata Knight Riders,6,7,0,0,18,0,25,0,0,0,0,0,6,0,0,6,db584dad,725529bc,b57f8a9a,710dd98c,b8a55852,fe11caa6,fa463154,abfeb126,5bb1a1c4,66b30f71,f233bbb4,d2c2b2d5,8b5b6769,a45a5e8d,2e8994e7,611926bc,29e95537,91a4a398,709b0bac,0aadc906,a12e1d51
