match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1216497,2020-10-24,Sheikh Zayed Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,0,0,0,0,12,0,11,0,0,1,0,0,0,4,8,12,b4b99816,fb2d1dda,77255a9e,c03f1114,9d430b40,d2a6c0e6,ded9240e,2f9d0389,85e0cf10,5b7ab5a9,29e95537,0a476045,85ec8e33,919a3be2,48a1d7b7,d9273ee7,2e171977,e62dd25d,495d42a5,46a9bea1,acdc62f5
1216501,2020-10-07,Sheikh Zayed Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,0,3,0,0,18,1,21,0,0,0,0,0,-2,25,0,23,77255a9e,b4b99816,fb2d1dda,9d430b40,d2a6c0e6,bbd41817,c03f1114,ded9240e,c38d3503,5b7ab5a9,4329fbb5,3355b542,70d205c9,4a8a2e3b,e94915e6,99d63244,fe93fd9d,87e562a9,1abb78f8,23eeb873,119678fd
1216504,2020-09-30,Dubai International Cricket Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,8,5,1,0,12,2,13,0,0,2,0,0,9,52,16,77,b4b99816,9d430b40,fb2d1dda,bbd41817,c03f1114,d2a6c0e6,ded9240e,c38d3503,8d2c70ad,5b7ab5a9,99b75528,30a45b23,a4cc73aa,1c17e270,04a418e8,39a2dfa8,e86754b2,7a8bd078,5574750c,1e66c162,db31895a
1216515,2020-10-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,3,3,0,0,18,1,35,0,0,0,0,0,3,21,0,24,b4b99816,9d430b40,fb2d1dda,bbd41817,c03f1114,d2a6c0e6,ded9240e,77255a9e,c38d3503,5b7ab5a9,8b3e9c7c,0a476045,85ec8e33,919a3be2,d9273ee7,48a1d7b7,495d42a5,e62dd25d,acdc62f5,6b19d823,f986ca1a
1216520,2020-10-26,Sharjah Cricket Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b4b99816,fb2d1dda,77255a9e,c03f1114,d2a6c0e6,9d430b40,ded9240e,2f9d0389,5b7ab5a9,85e0cf10,b17e2f24,c3a96caf,db584dad,3241e3fd,b681e71e,73ad96ed,ffe699c0,e2db2409,df064e1a,8cf9814c,244048f6
1216523,2020-10-10,Sheikh Zayed Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,0,0,0,0,18,0,40,0,0,0,0,0,0,-6,0,-6,77255a9e,b4b99816,fb2d1dda,d2a6c0e6,c03f1114,bbd41817,ded9240e,9d430b40,85e0cf10,5b7ab5a9,b17e2f24,00ea847a,3241e3fd,9418198b,b681e71e,c3a96caf,ffe699c0,df064e1a,8cf9814c,244048f6,7d92277a
1216530,2020-11-01,Dubai International Cricket Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,1,1,0,0,24,1,25,0,0,1,0,0,1,27,8,36,b4b99816,fb2d1dda,77255a9e,9d430b40,d2a6c0e6,c03f1114,bbd41817,ded9240e,c38d3503,5b7ab5a9,1c17e270,e087956b,30a45b23,a4cc73aa,99b75528,04a418e8,39a2dfa8,7a8bd078,5574750c,5d2eea49,0a3d54b9
1216536,2020-10-29,Dubai International Cricket Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,0,0,0,0,18,0,34,0,0,0,0,0,0,-4,0,-4,b4b99816,fb2d1dda,9d430b40,0a509d6b,d2a6c0e6,c03f1114,77255a9e,ded9240e,2f9d0389,5b7ab5a9,4329fbb5,45a43fe2,70d205c9,4a8a2e3b,e94915e6,fe93fd9d,bd54eef5,e4a0deae,23eeb873,119678fd,f834dcfc
1216540,2020-10-12,Sharjah Cricket Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,4,7,0,0,24,0,36,0,0,0,0,0,4,0,0,4,25f7b7d6,b4b99816,fb2d1dda,d2a6c0e6,c03f1114,bbd41817,77255a9e,ded9240e,5b7ab5a9,85e0cf10,b8d490fd,2c25d4f5,ba607b88,c4487b84,fb66ce1f,f19ccfad,a4e37e47,ac5ae4af,21d4e29b,57ee1fde,2f49c897
1216545,2020-09-26,Sheikh Zayed Stadium,Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,b4b99816,9d430b40,fb2d1dda,c03f1114,d2a6c0e6,bbd41817,ded9240e,c38d3503,8d2c70ad,5b7ab5a9,dcce6f09,abb83e27,93b4fc78,fe11caa6,62af8546,f29185a1,bb965e9a,5f547c8b,2e81a32d,ce794613,a2f46292
1254072,2021-04-21,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,b4f5c2d9,Kolkata Knight Riders,0,2,0,0,12,0,25,0,0,0,0,0,-2,-6,0,-8,fb2d1dda,b4b99816,77255a9e,d2a6c0e6,9d430b40,c03f1114,bbd41817,ded9240e,5b7ab5a9,85e0cf10,45a43fe2,3355b542,bb351c23,4a8a2e3b,fe93fd9d,1dc12ab9,70d205c9,e94915e6,1abb78f8,23eeb873,f834dcfc
