match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335984,2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,14,13,2,0,12,0,16,0,0,0,0,0,16,0,0,16,40caa465,3c6ffae8,4329fbb5,d84378a4,53fe6ee4,fe93fd9d,de8d3876,0264c10e,3d7e087f,f0f628c7,bb345e0b,8ba8195d,0a476045,26e5cabf,c03f1114,33a364a6,c42aaf71,d7c6af50,ab89348d,50758325,ee7d0c82
335987,2008-04-21,Sawai Mansingh Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,24,3,19,2,0,0,0,0,0,101,0,101,d84378a4,ff077124,3c6ffae8,4329fbb5,53fe6ee4,fe93fd9d,e32d22f6,0264c10e,3d7e087f,f0f628c7,a1f1829d,2498e163,6b71e6cf,d18f9182,1c914163,5fa06777,3fca55af,dd09ff8e,98ae73b1,3dba85c2,6b8eb6e5
335990,2008-04-24,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,22,9,2,2,24,2,47,0,0,0,0,0,28,46,0,74,ff077124,72861603,3c6ffae8,4329fbb5,d84378a4,fe93fd9d,0264c10e,e32d22f6,3d7e087f,f0f628c7,2b6e6dec,de8cce37,0dc00542,bd77eb62,740742ef,b9be6507,0604ef16,bcce309e,c3d1402f,6c6591ab,94bc776b
335992,2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,24,2,24,0,1,0,0,0,0,64,0,64,72861603,de8d3876,3c6ffae8,4329fbb5,d84378a4,fe93fd9d,0264c10e,64d43928,3d7e087f,f0f628c7,881a9bdd,0184dc35,b61a3e1a,86dc8f2e,ba607b88,f3cb53a1,e938e1bc,670709ec,91a4a398,41eb4a4f,0c2730df
336000,2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,7,8,0,0,12,1,20,0,0,0,0,0,7,25,0,32,72861603,ae091d39,d84378a4,3c6ffae8,4329fbb5,fe93fd9d,64d43928,de8d3876,3d7e087f,f0f628c7,4d6d6280,725529bc,fa463154,b57f8a9a,fd835ab3,b1451597,7050a1e7,fe11caa6,16dfcc19,5bb1a1c4,66b30f71
336005,2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,18,1,29,0,0,1,0,0,0,25,8,33,72861603,ae091d39,3c6ffae8,4329fbb5,de8d3876,d84378a4,fe93fd9d,64d43928,3d7e087f,f0f628c7,b5da6c24,eea6b7f1,756389bd,1dc12ab9,3576e47e,4a8a2e3b,c3d35165,9f961c14,ae78bc32,4ba44e19,20a941bb
336008,2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,7,8,1,0,12,1,19,1,0,0,0,0,8,33,0,41,72861603,ae091d39,3c6ffae8,4329fbb5,d84378a4,fe93fd9d,64d43928,de8d3876,3d7e087f,f0f628c7,4e04666c,f233bbb4,1c17e270,87e562a9,a45a5e8d,7d3937ed,88fccd6c,709b0bac,5f4e9e8f,96fd40ae,d2a989fc
336011,2008-05-09,Sawai Mansingh Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,24,2,20,1,0,1,0,1,0,62,14,76,72861603,3c6ffae8,d84378a4,4329fbb5,a2870fb7,fe93fd9d,de8d3876,64d43928,3d7e087f,f0f628c7,2b6e6dec,e1d1b294,57efa3be,740742ef,0dc00542,0604ef16,b720a5d6,fe763256,c3d1402f,6c6591ab,acd4f5dc
336015,2008-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,11,12,1,0,24,0,47,0,0,1,0,0,12,-4,8,16,3c6ffae8,72861603,d84378a4,4329fbb5,fe93fd9d,3edb58fc,a2870fb7,de8d3876,3d7e087f,f0f628c7,bb345e0b,8ba8195d,0a476045,c4487b84,c03f1114,5bdcdb72,6b19d823,ab89348d,93a17209,ee7d0c82,9fc0ef64
336023,2008-05-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,24,3,23,0,0,0,0,0,0,83,0,83,72861603,ae091d39,4329fbb5,3c6ffae8,d84378a4,fe93fd9d,64d43928,de8d3876,3d7e087f,f0f628c7,f663ef00,ba607b88,7eae4418,86dc8f2e,d0513f63,0184dc35,f48cf4da,e938e1bc,91a4a398,0c2730df,888e32bf
336027,2008-05-20,Eden Gardens,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,72861603,ae091d39,64d43928,d84378a4,4329fbb5,3c6ffae8,fe93fd9d,de8d3876,3d7e087f,f0f628c7,4d6d6280,9ab63e7b,725529bc,fd835ab3,7050a1e7,b1451597,fe11caa6,fa463154,16dfcc19,5bb1a1c4,66b30f71
336033,2008-05-24,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,24,2,36,0,0,0,1,0,0,50,12,62,72861603,ae091d39,ff077124,3c6ffae8,d84378a4,40caa465,0264c10e,64d43928,e32d22f6,f0f628c7,b5da6c24,eea6b7f1,1dc12ab9,c3d35165,4a8a2e3b,3576e47e,ae78bc32,6165bca6,b2b50355,4ba44e19,20a941bb
336036,2008-05-26,Sawai Mansingh Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,24,1,31,0,0,0,1,0,0,25,12,37,ff077124,ae091d39,3c6ffae8,4329fbb5,d84378a4,fe93fd9d,a2870fb7,64d43928,3d7e087f,e32d22f6,f233bbb4,d2c2b2d5,a45a5e8d,1c17e270,35205dfc,88fccd6c,93b4fc78,4e04666c,5f4e9e8f,342d8ade,96fd40ae
336038,2008-05-30,Wankhede Stadium,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,1,0,0,24,2,21,0,0,0,0,0,-2,54,0,52,72861603,ae091d39,64d43928,4329fbb5,d84378a4,3c6ffae8,fe93fd9d,de8d3876,f0f628c7,3d7e087f,bb345e0b,8ba8195d,0a476045,26e5cabf,5bdcdb72,c03f1114,ab89348d,6b19d823,93a17209,e03b66ec,ee7d0c82
336040,2008-06-01,Dr DY Patil Sports Academy,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,9,9,1,0,24,0,35,0,0,0,0,0,10,0,0,10,a2870fb7,ae091d39,ff077124,4329fbb5,3c6ffae8,d84378a4,fe93fd9d,64d43928,3d7e087f,f0f628c7,b5da6c24,756389bd,1dc12ab9,c3d35165,4a8a2e3b,cfad138c,3576e47e,ae78bc32,b2b50355,4ba44e19,20a941bb
392182,2009-04-18,Newlands,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,3,9,0,0,24,2,19,2,0,1,0,0,3,72,8,83,72861603,ae091d39,a2870fb7,0a4ebc61,3c6ffae8,3edb58fc,fe93fd9d,de8d3876,f0f628c7,6ef60d3a,91ffa6c6,1c17e270,b61a3e1a,39f01cdb,0184dc35,ba607b88,af7dadf7,e938e1bc,41eb4a4f,8fd1a8f5,0c2730df
392190,2009-04-23,Newlands,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,2,2,0,0,24,2,25,0,0,0,0,0,2,52,0,54,72861603,25eeb281,23ac69e6,3c6ffae8,fe93fd9d,3edb58fc,c69a7b5c,de8d3876,f0f628c7,6ef60d3a,db584dad,b8a55852,b1451597,b57f8a9a,725529bc,0604ef16,297b26da,fa463154,5bb1a1c4,ea0cdc12,69be866a
392195,2009-04-26,Newlands,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,34,35,3,0,24,0,37,0,0,0,0,0,41,0,0,41,ae091d39,72861603,23ac69e6,3c6ffae8,3edb58fc,fe93fd9d,c69a7b5c,de8d3876,f0f628c7,6ef60d3a,7ca5e05d,a1f1829d,6b71e6cf,1c914163,d18f9182,5fa06777,98ae73b1,3dba85c2,5d096f3d,034b4b7d,4353bba5
392198,2009-04-28,SuperSport Park,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,2,0,0,24,2,32,1,0,1,0,0,-2,58,8,64,23ac69e6,72861603,ae091d39,25eeb281,fe93fd9d,3c6ffae8,3edb58fc,de8d3876,f0f628c7,6ef60d3a,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,d7c6af50,c42aaf71,6b19d823,9fc0ef64,96fd40ae,c404f58a
392202,2009-04-30,SuperSport Park,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,3,9,0,0,24,1,25,0,0,0,1,0,3,27,12,42,23ac69e6,72861603,ae091d39,fe93fd9d,3c6ffae8,3edb58fc,de8d3876,f0f628c7,3d7e087f,6ef60d3a,b5da6c24,d8699ab7,1dc12ab9,3576e47e,3eac9d95,4a8a2e3b,c3d35165,c24a2c5d,c8179c68,b2b50355,4ba44e19
392205,2009-05-02,St George's Park,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,21,17,0,2,18,0,30,0,0,2,0,0,25,0,16,41,72861603,ae091d39,d872f52a,890946a0,fe93fd9d,c69a7b5c,3c6ffae8,63bff7f9,3d7e087f,f0f628c7,e1d1b294,2b6e6dec,bff458c6,740742ef,aaa1b522,35205dfc,fe763256,8a668774,6c6591ab,c3d1402f,a7c226e1
392210,2009-05-05,Kingsmead,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,18,2,38,1,0,1,0,0,0,52,8,60,890946a0,72861603,3c6ffae8,fe93fd9d,d872f52a,c69a7b5c,a2870fb7,63bff7f9,3d7e087f,5b040b81,3fca55af,6b71e6cf,a1f1829d,fdedb37c,d18f9182,1c914163,5fa06777,98ae73b1,5d096f3d,6b8eb6e5,4353bba5
392213,2009-05-07,SuperSport Park,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,72861603,890946a0,d872f52a,3c6ffae8,fe93fd9d,c69a7b5c,a2870fb7,5bb5a915,f0f628c7,5b040b81,86dc8f2e,619aa81f,1c17e270,0184dc35,ba607b88,f3cb53a1,05c2ca46,d7a57f75,e938e1bc,41eb4a4f,0c2730df
392217,2009-05-09,De Beers Diamond Oval,Indian Premier League,T20,20,bb18be76,Rajasthan Royals,21,11,2,1,24,1,27,0,0,0,1,0,31,27,12,70,72861603,890946a0,ae091d39,fe93fd9d,3c6ffae8,d872f52a,c69a7b5c,63bff7f9,5b040b81,3d7e087f,4b57e452,d8699ab7,1dc12ab9,3576e47e,3eac9d95,4a8a2e3b,c3d35165,c24a2c5d,c8179c68,b2b50355,4ba44e19
