match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
419111,2010-03-15,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,c15e2193,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,ae091d39,72861603,890946a0,3c6ffae8,2815fe50,2728e7e9,3edb58fc,fdcb08c2,bb18be76,addfb70e,f0f628c7
419118,2010-03-20,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,c15e2193,Rajasthan Royals,31,24,6,0,0,0,0,0,0,0,0,0,41,0,0,41,11df3dc8,890946a0,2815fe50,3c6ffae8,864c199e,2728e7e9,bb18be76,f0f628c7,3d7e087f,addfb70e,26e5cabf,b57f8a9a,d4f9dbd4,725529bc,7bf96684,896d78ad,fe11caa6,abfeb126,66b30f71,4f629497,5bb1a1c4
419124,2010-03-24,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,c15e2193,Rajasthan Royals,45,40,5,1,0,0,0,0,0,2,0,0,56,0,16,72,11df3dc8,890946a0,3c6ffae8,864c199e,2728e7e9,2815fe50,bb18be76,f0f628c7,3d7e087f,addfb70e,7ca5e05d,6b71e6cf,5afd4539,1c914163,d18f9182,5fa06777,d84378a4,98ae73b1,dec8e038,6b8eb6e5,2049f3a0
419126,2010-03-26,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,c15e2193,Rajasthan Royals,8,12,1,0,0,0,0,0,0,0,0,0,7,0,0,7,11df3dc8,890946a0,3c6ffae8,864c199e,2815fe50,2728e7e9,bb18be76,287686fd,3d7e087f,addfb70e,2b6e6dec,de8cce37,e1d1b294,bd77eb62,740742ef,aaa1b522,fe763256,bcce309e,5d9a1a73,c3d1402f,6c6591ab
419129,2010-03-28,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,c15e2193,Rajasthan Royals,17,18,1,0,0,0,0,0,0,1,0,0,18,0,8,26,11df3dc8,890946a0,3c6ffae8,864c199e,2815fe50,2728e7e9,287686fd,bb18be76,addfb70e,3d7e087f,4b57e452,d8699ab7,1dc12ab9,4a8a2e3b,3576e47e,c3d35165,7daedf2f,b2ae53f5,9f961c14,4ba44e19,c8179c68
419134,2010-03-31,Feroz Shah Kotla,Indian Premier League,T20,20,c15e2193,Rajasthan Royals,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,11df3dc8,890946a0,2815fe50,864c199e,3c6ffae8,2728e7e9,bb18be76,287686fd,addfb70e,3d7e087f,dcce6f09,8ba8195d,bb345e0b,a386e91b,99d63244,c03f1114,16043342,6b19d823,ab89348d,fb693839,cc1e8c68
419137,2010-04-03,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,c15e2193,Rajasthan Royals,4,6,0,0,0,0,0,0,0,1,0,0,4,0,8,12,11df3dc8,890946a0,3c6ffae8,4329fbb5,2815fe50,c69a7b5c,287686fd,dddca1d6,bb18be76,addfb70e,4b57e452,d8699ab7,1dc12ab9,c3d35165,4a8a2e3b,3576e47e,95a2ea61,4ba44e19,c8179c68,45c2196c,c24a2c5d
419141,2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha",Indian Premier League,T20,20,c15e2193,Rajasthan Royals,36,29,4,0,0,0,0,0,0,1,0,0,44,0,8,52,11df3dc8,890946a0,4329fbb5,3c6ffae8,2815fe50,c69a7b5c,bb18be76,5bb5a915,dbc50253,3d7e087f,de8cce37,2b6e6dec,740742ef,bd77eb62,7bb62642,35205dfc,bff458c6,12eddf28,c3d1402f,2a72fd4f,6c6591ab
419143,2010-04-07,Sawai Mansingh Stadium,Indian Premier League,T20,20,c15e2193,Rajasthan Royals,0,0,0,0,6,1,6,0,0,1,0,1,0,25,14,39,11df3dc8,890946a0,3c6ffae8,4329fbb5,2815fe50,864c199e,c69a7b5c,bb18be76,3d7e087f,dbc50253,5afd4539,d18f9182,6b71e6cf,1c914163,5fa06777,7ca5e05d,98ae73b1,c18496e1,dec8e038,6b8eb6e5,5d096f3d
419150,2010-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,c15e2193,Rajasthan Royals,10,16,1,0,0,0,0,0,0,0,0,0,9,0,0,9,11df3dc8,890946a0,4329fbb5,2815fe50,864c199e,3c6ffae8,c69a7b5c,dbc50253,bb18be76,3d7e087f,f233bbb4,d2c2b2d5,70d205c9,709b0bac,2e8994e7,a757b0d8,626c5379,d2a989fc,8b5b6769,a12e1d51,91a4a398
419158,2010-04-17,Eden Gardens,Indian Premier League,T20,20,c15e2193,Rajasthan Royals,13,13,1,0,6,0,14,0,0,0,0,0,14,0,0,14,4329fbb5,890946a0,3c6ffae8,b8d490fd,864c199e,c69a7b5c,2728e7e9,bb18be76,3d7e087f,6ef60d3a,725529bc,b8a55852,db584dad,d4f9dbd4,26e5cabf,896d78ad,b1451597,1e66c162,abfeb126,66b30f71,4f629497
501209,2011-04-15,Sawai Mansingh Stadium,Indian Premier League,T20,20,c15e2193,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,3a02626a,0184dc35,8291f939,4329fbb5,b61a3e1a,7c503806,c69a7b5c,bb18be76,5b040b81,3d7e087f,6ec424a9
501214,2011-04-17,Eden Gardens,Indian Premier League,T20,20,c15e2193,Rajasthan Royals,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4329fbb5,3a02626a,c69a7b5c,8291f939,b61a3e1a,29e95537,bb18be76,5b040b81,addfb70e,3d7e087f,86dc8f2e,5afd4539,bb345e0b,26e5cabf,3c6ffae8,d2a6c0e6,7dc35884,85aae393,33a364a6,dd09ff8e,b2b50355
