match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335984,2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,bb345e0b,8ba8195d,0a476045,26e5cabf,c03f1114,33a364a6,d7c6af50,ab89348d,50758325,ee7d0c82,40caa465,3c6ffae8,4329fbb5,d84378a4,53fe6ee4,fe93fd9d,de8d3876,0264c10e,bb18be76,3d7e087f,f0f628c7
392194,2009-04-26,St George's Park,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,23,13,3,0,0,0,0,0,0,0,0,0,32,0,0,32,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c03f1114,6b19d823,d7c6af50,c404f58a,9fc0ef64,96fd40ae,86dc8f2e,1c17e270,39f01cdb,b61a3e1a,ba607b88,f3cb53a1,af7dadf7,41eb4a4f,e32d22f6,0c2730df,d92e42f5
392198,2009-04-28,SuperSport Park,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,23,16,2,1,0,0,0,0,0,0,0,0,29,0,0,29,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,d7c6af50,6b19d823,9fc0ef64,96fd40ae,c404f58a,23ac69e6,72861603,ae091d39,25eeb281,fe93fd9d,bb18be76,3c6ffae8,3edb58fc,de8d3876,f0f628c7,6ef60d3a
392201,2009-04-30,SuperSport Park,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,3,2,0,0,0,0,0,0,0,1,0,0,3,0,8,11,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,d7c6af50,6b19d823,9fc0ef64,96fd40ae,c404f58a,2b6e6dec,e1d1b294,bff458c6,740742ef,aaa1b522,35205dfc,fe763256,8a668774,c3d1402f,6c6591ab,a7c226e1
392206,2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,0,4,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,bb345e0b,dcce6f09,c4487b84,5bdcdb72,c03f1114,33a364a6,9fc0ef64,6b19d823,96fd40ae,c404f58a,4b57e452,d8699ab7,1dc12ab9,3576e47e,c3d35165,4a8a2e3b,3eac9d95,c8179c68,b2b50355,4ba44e19,c24a2c5d
392211,2009-05-05,Kingsmead,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bb345e0b,dcce6f09,5bdcdb72,c4487b84,c03f1114,33a364a6,6b19d823,9fc0ef64,96fd40ae,c404f58a,710dd98c,b8a55852,b57f8a9a,32198ae0,fe11caa6,725529bc,297b26da,fa463154,abfeb126,5bb1a1c4,66b30f71
392215,2009-05-08,Buffalo Park,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bb345e0b,dcce6f09,5bdcdb72,c4487b84,c03f1114,33a364a6,6b19d823,9fc0ef64,96fd40ae,c404f58a,0fa5042b,2e8994e7,0aadc906,d2c2b2d5,a45a5e8d,87e562a9,8b5b6769,29e95537,5f4e9e8f,d2a989fc,a12e1d51
392219,2009-05-10,New Wanderers Stadium,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,bb345e0b,dcce6f09,c4487b84,5bdcdb72,c03f1114,33a364a6,6b19d823,9fc0ef64,96fd40ae,c404f58a,b8a55852,725529bc,b57f8a9a,710dd98c,297b26da,fe11caa6,32198ae0,fa463154,abfeb126,5bb1a1c4,caa89a48
392226,2009-05-15,OUTsurance Oval,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,26,28,2,0,0,0,0,0,0,0,0,0,28,0,0,28,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c03f1114,ab89348d,d7c6af50,33a364a6,9fc0ef64,96fd40ae,3fca55af,fdedb37c,b63ab531,1c914163,6b71e6cf,5fa06777,dd09ff8e,98ae73b1,5d096f3d,3dba85c2,6b8eb6e5
392230,2009-05-17,OUTsurance Oval,Indian Premier League,T20,20,c42aaf71,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,6b19d823,ab89348d,260fd380,96fd40ae,c404f58a,23ac69e6,72861603,890946a0,7c503806,fe93fd9d,3c6ffae8,c69a7b5c,bb18be76,5b040b81,3d7e087f,f0f628c7
