match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
419107,2010-03-13,Brabourne Stadium,Indian Premier League,T20,20,c654af19,Mumbai Indians,11,5,2,0,24,0,43,0,0,0,0,0,13,-2,0,11,f233bbb4,d2c2b2d5,855a210c,709b0bac,70d205c9,626c5379,8b5b6769,91a4a398,a12e1d51,ef5da05c,72861603,ae091d39,890946a0,2815fe50,3c6ffae8,2728e7e9,3edb58fc,fdcb08c2,bb18be76,6ef60d3a,addfb70e
419122,2010-03-22,Brabourne Stadium,Indian Premier League,T20,20,c654af19,Mumbai Indians,0,0,0,0,24,0,39,0,0,0,0,0,0,0,0,0,0a476045,d2c2b2d5,709b0bac,a757b0d8,626c5379,855a210c,87e562a9,8b5b6769,91a4a398,a12e1d51,db584dad,725529bc,7bf96684,896d78ad,d4f9dbd4,c3a96caf,fe11caa6,abfeb126,28c78fb3,4f629497,5bb1a1c4
419125,2010-03-25,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,c654af19,Mumbai Indians,1,1,0,0,24,1,24,1,0,0,0,0,1,35,0,36,0a476045,d2c2b2d5,709b0bac,626c5379,a757b0d8,87e562a9,855a210c,8b5b6769,91a4a398,a12e1d51,b5da6c24,d8699ab7,1dc12ab9,3576e47e,4a8a2e3b,c3d35165,0f12f9df,9f961c14,b2b50355,4ba44e19,c8179c68
419130,2010-03-28,Dr DY Patil Sports Academy,Indian Premier League,T20,20,c654af19,Mumbai Indians,13,16,1,0,18,0,28,0,0,2,0,0,14,0,16,30,0a476045,d2c2b2d5,87e562a9,709b0bac,70d205c9,626c5379,a757b0d8,8b5b6769,91a4a398,a12e1d51,2b6e6dec,6afb26d6,e1d1b294,bd77eb62,740742ef,aaa1b522,fe763256,d7b3a420,78eb4223,c3d1402f,6c6591ab
419132,2010-03-30,Brabourne Stadium,Indian Premier League,T20,20,c654af19,Mumbai Indians,0,0,0,0,19,1,29,0,0,0,0,1,0,25,6,31,0a476045,d2c2b2d5,a757b0d8,709b0bac,70d205c9,87e562a9,626c5379,8b5b6769,91a4a398,a12e1d51,7ca5e05d,508a1ea7,5afd4539,d18f9182,1c914163,5fa06777,dd09ff8e,a1f1829d,98ae73b1,5f26df4f,2049f3a0
419138,2010-04-03,Brabourne Stadium,Indian Premier League,T20,20,c654af19,Mumbai Indians,0,0,0,0,24,2,29,1,0,0,0,0,0,58,0,58,0a476045,d2c2b2d5,709b0bac,87e562a9,70d205c9,a757b0d8,626c5379,8b5b6769,91a4a398,a12e1d51,e1d1b294,2b6e6dec,de8cce37,bd77eb62,740742ef,6afb26d6,aaa1b522,12eddf28,5d9a1a73,d7b3a420,6c6591ab
419142,2010-04-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,c654af19,Mumbai Indians,1,3,0,0,18,0,26,0,0,0,0,0,1,0,0,1,0a476045,d2c2b2d5,709b0bac,70d205c9,87e562a9,a757b0d8,626c5379,8b5b6769,2af1b6d2,a12e1d51,4b57e452,d8699ab7,1dc12ab9,4a8a2e3b,48fd7349,3576e47e,495d42a5,c8179c68,45c2196c,c24a2c5d,b2ae53f5
419146,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,c654af19,Mumbai Indians,0,1,0,0,12,0,13,0,0,0,0,0,-2,2,0,0,0a476045,d2c2b2d5,70d205c9,709b0bac,2e8994e7,626c5379,a757b0d8,8b5b6769,91a4a398,a12e1d51,d3a3e82d,d18f9182,6b71e6cf,1c914163,5fa06777,a3ecf01f,a1f1829d,98ae73b1,5d096f3d,dd09ff8e,8b9704ae
419157,2010-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,c654af19,Mumbai Indians,40,43,4,0,24,1,22,1,0,0,0,0,48,37,0,85,d2c2b2d5,70d205c9,a757b0d8,2e8994e7,a45a5e8d,709b0bac,855a210c,8b5b6769,91a4a398,342d8ade,93b4fc78,86dc8f2e,39f01cdb,0184dc35,1c17e270,b61a3e1a,ba607b88,8fd1a8f5,41eb4a4f,e32d22f6,0c2730df
419161,2010-04-19,Eden Gardens,Indian Premier League,T20,20,c654af19,Mumbai Indians,0,2,0,0,18,0,28,0,0,0,0,0,-2,0,0,-2,855a210c,0a476045,709b0bac,2e8994e7,626c5379,87e562a9,70d205c9,bd17b45f,ef5da05c,342d8ade,725529bc,b8a55852,fd835ab3,26e5cabf,896d78ad,d4f9dbd4,fe11caa6,1e66c162,abfeb126,66b30f71,4f629497
