match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1175358,2019-03-24,Wankhede Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,47,32,7,1,0,0,0,0,0,0,0,0,62,0,0,62,8b3e9c7c,0a476045,85ec8e33,919a3be2,75224f22,2e171977,39a2dfa8,e62dd25d,a818c1be,5bb1a1c4,740742ef,372455c4,271f83cd,1c914163,a757b0d8,dbe50b21,5b8c830e,2e11c706,51a3c5ef,b8527c3d,462411b3
1175360,2019-03-26,Arun Jaitley Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8b3e9c7c,0a476045,85ec8e33,919a3be2,75224f22,2e171977,39a2dfa8,e62dd25d,5bb1a1c4,6b19d823,4329fbb5,70d205c9,1dc12ab9,99d63244,4a8a2e3b,87e562a9,fe93fd9d,23eeb873,1abb78f8,8b5b6769,acee4cc4
1175365,2019-03-30,Arun Jaitley Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,10,7,1,0,0,0,0,0,0,0,0,0,11,0,0,11,8b3e9c7c,0a476045,85ec8e33,919a3be2,94253925,f986ca1a,fb66ce1f,6b19d823,b410bd3d,e62dd25d,aedc3b7c,45eda7c8,1c17e270,fb2d1dda,c03f1114,b4b99816,bbd41817,98ae73b1,8d2c70ad,85e0cf10,2f9d0389
1175368,2019-04-01,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,38,29,4,1,0,0,0,0,0,0,0,0,50,0,0,50,8b3e9c7c,0a476045,85ec8e33,919a3be2,fb66ce1f,94253925,f986ca1a,e62dd25d,eef2536f,b410bd3d,b17e2f24,e94915e6,00ea847a,f088b960,d67d5f00,c3a96caf,a316d663,495d42a5,e2db2409,8cf9814c,7d92277a
1175371,2019-04-04,Arun Jaitley Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,5,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,8b3e9c7c,0a476045,85ec8e33,919a3be2,39a2dfa8,fb66ce1f,2e171977,e62dd25d,5bb1a1c4,b410bd3d,dcce6f09,abb83e27,0994d0ae,93b4fc78,73ad96ed,3c6ffae8,62af8546,5f547c8b,2e81a32d,ce820073,dcf81436
1178395,2019-04-07,M.Chinnaswamy Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,22,22,2,1,0,0,0,0,0,1,0,0,26,0,8,34,8b3e9c7c,0a476045,85ec8e33,919a3be2,fb66ce1f,2e171977,39a2dfa8,e62dd25d,5bb1a1c4,b410bd3d,b5da6c24,ba607b88,c4487b84,d9273ee7,bb351c23,f10e94c4,f62772e5,13c35c9e,2f49c897,57ee1fde,21d4e29b
1178401,2019-04-12,Eden Gardens,Indian Premier League,T20,20,c995d726,Delhi Capitals,14,6,1,1,0,0,0,0,0,0,0,0,17,0,0,17,8b3e9c7c,0a476045,85ec8e33,919a3be2,fb66ce1f,2e171977,75224f22,39a2dfa8,e62dd25d,5bb1a1c4,bdadf7da,b4b99816,1c17e270,fb2d1dda,bbd41817,c03f1114,e342e5fb,98ae73b1,8d2c70ad,2f9d0389,85e0cf10
1178412,2019-04-20,Arun Jaitley Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,19,10,4,0,0,0,0,0,0,0,0,0,29,0,0,29,8b3e9c7c,0a476045,85ec8e33,919a3be2,2e171977,d014d5ac,6b19d823,e62dd25d,5bb1a1c4,b410bd3d,b17e2f24,db584dad,00ea847a,d67d5f00,c3a96caf,e94915e6,495d42a5,c05edf8e,a316d663,e2db2409,8cf9814c
1178415,2019-04-22,Sawai Mansingh Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8b3e9c7c,0a476045,85ec8e33,919a3be2,d014d5ac,2e171977,fb66ce1f,6b19d823,e62dd25d,5bb1a1c4,29e95537,a4cc73aa,30a45b23,e087956b,ff1e12a0,bd17b45f,04a418e8,5574750c,7a8bd078,1e66c162,d2a989fc
1178421,2019-04-28,Arun Jaitley Stadium,Indian Premier League,T20,20,c995d726,Delhi Capitals,11,7,1,1,0,0,0,0,0,0,0,0,14,0,0,14,8b3e9c7c,0a476045,85ec8e33,919a3be2,d014d5ac,2e171977,b410bd3d,6b19d823,e62dd25d,5bb1a1c4,b5da6c24,ba607b88,c4487b84,a4e37e47,235c2bb6,6eb146d2,d9273ee7,f19ccfad,cc1e8c68,57ee1fde,21d4e29b
