match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1216505,2020-11-02,Sheikh Zayed Stadium,Indian Premier League,T20,20,caf69bf7,Delhi Capitals,0,0,0,0,24,0,40,0,0,0,0,0,0,0,0,0,8b3e9c7c,0a476045,29e95537,85ec8e33,919a3be2,d9273ee7,2e171977,495d42a5,e62dd25d,acdc62f5,39086549,2c25d4f5,ba607b88,c4487b84,fb66ce1f,a4e37e47,f19ccfad,ac5ae4af,f9e6e7ef,2f49c897,57ee1fde
1216546,2020-10-20,Dubai International Cricket Stadium,Indian Premier League,T20,20,caf69bf7,Delhi Capitals,0,0,0,0,25,0,30,0,0,1,0,0,0,0,8,8,8b3e9c7c,0a476045,85ec8e33,919a3be2,d9273ee7,48a1d7b7,2e171977,495d42a5,e62dd25d,46a9bea1,b17e2f24,00ea847a,db584dad,3241e3fd,b681e71e,73ad96ed,9219eff0,e2db2409,df064e1a,8cf9814c,244048f6
1237177,2020-11-05,Dubai International Cricket Stadium,Indian Premier League,T20,20,caf69bf7,Delhi Capitals,0,2,0,0,24,0,44,0,0,2,0,0,-2,-2,16,12,8b3e9c7c,0a476045,29e95537,85ec8e33,d9273ee7,919a3be2,2e171977,e62dd25d,acdc62f5,495d42a5,372455c4,740742ef,271f83cd,752f7486,a757b0d8,5b8c830e,dbe50b21,56ab442f,a818c1be,2ed569a0,462411b3
1254079,2021-04-27,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,caf69bf7,Royal Challengers Bangalore,3,2,0,0,12,0,15,0,0,0,0,0,3,0,0,3,ba607b88,2c25d4f5,c740ea83,b681e71e,c4487b84,f19ccfad,68c56d09,f986ca1a,2f49c897,57ee1fde,8b3e9c7c,0a476045,30a45b23,919a3be2,d9273ee7,48a1d7b7,2e171977,e62dd25d,eef2536f,6b19d823,5bb1a1c4
1254083,2021-04-30,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,caf69bf7,Royal Challengers Bangalore,3,4,0,0,24,1,24,0,0,0,0,0,3,27,0,30,ba607b88,2c25d4f5,c740ea83,b681e71e,c4487b84,f9e6e7ef,68c56d09,f986ca1a,2f49c897,57ee1fde,b17e2f24,9418198b,db584dad,3241e3fd,73ad96ed,7dcb9bc9,c05edf8e,64775749,df064e1a,8cf9814c,ffe699c0
1304048,2022-03-27,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,caf69bf7,Mumbai Indians,7,3,0,1,24,0,57,0,0,1,0,0,9,-6,8,11,740742ef,752f7486,1399b39c,b0482a1d,a757b0d8,f1f99156,e2db2409,245c97cb,462411b3,871e9faf,8b3e9c7c,4663bd23,c3a96caf,919a3be2,ad427b5c,650d5e49,1abb78f8,2e171977,8d2c70ad,a2f46292,b4f5c2d9
1304055,2022-04-02,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,caf69bf7,Mumbai Indians,0,1,0,0,24,0,32,0,0,0,0,0,-2,0,0,-2,752f7486,740742ef,1399b39c,b0482a1d,a757b0d8,f1f99156,e2db2409,462411b3,245c97cb,871e9faf,99b75528,6c19c6e5,2c25d4f5,a4cc73aa,48a1d7b7,04a418e8,495d42a5,21d4e29b,a818c1be,57ee1fde,85e0cf10
1304060,2022-04-06,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,caf69bf7,Mumbai Indians,0,0,0,0,19,1,50,0,0,2,0,0,0,19,16,35,740742ef,752f7486,844e79d1,271f83cd,b0482a1d,a757b0d8,e2db2409,245c97cb,462411b3,871e9faf,29e95537,a24be938,85ec8e33,c16d4035,fb2d1dda,bbd41817,ded9240e,9d430b40,b8527c3d,cc1e8c68,5b7ab5a9
1304079,2022-04-21,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,caf69bf7,Mumbai Indians,5,3,1,0,24,4,30,0,0,0,0,0,6,108,0,114,740742ef,752f7486,844e79d1,271f83cd,b0482a1d,0c9652b0,a757b0d8,1e66c162,64775749,462411b3,45a43fe2,1c17e270,e4a0deae,70d205c9,a4e37e47,fe93fd9d,4a8a2e3b,11614d87,87e562a9,765a4731,f24c6701
1304083,2022-04-24,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,caf69bf7,Mumbai Indians,3,8,0,0,24,1,40,0,0,0,0,0,3,25,0,28,752f7486,740742ef,844e79d1,271f83cd,b0482a1d,a757b0d8,1e66c162,0c9652b0,462411b3,64775749,372455c4,b17e2f24,93b4fc78,d9273ee7,5b8c830e,73ad96ed,872b03f7,0f721006,327b58d3,df064e1a,c33d8116
