match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082593,2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,d1c36f5c,Gujarat Lions,14,13,3,0,0,0,0,0,0,0,0,0,17,0,0,17,b8a55852,1dc12ab9,b8d490fd,c03f1114,35205dfc,ae78bc32,e938e1bc,c8179c68,d2a989fc,1da489ff,bb345e0b,45eda7c8,1c17e270,93b4fc78,3c6ffae8,271f83cd,4c5d73db,98ae73b1,8d2c70ad,9d430b40,a818c1be
1082596,2017-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,d1c36f5c,Gujarat Lions,31,21,5,0,0,0,0,0,0,0,0,0,42,0,0,42,b8a55852,1dc12ab9,b8d490fd,c03f1114,35205dfc,d2a989fc,e938e1bc,871e9faf,c28e9f12,1da489ff,dcce6f09,0a476045,32198ae0,1c914163,73ad96ed,2e11c706,890946a0,c18496e1,2e81a32d,96fd40ae,5f547c8b
1082606,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,d1c36f5c,Gujarat Lions,14,7,1,1,0,0,0,0,0,1,0,0,17,0,8,25,35205dfc,b8a55852,1dc12ab9,752f7486,c03f1114,fe93fd9d,e938e1bc,871e9faf,7c7d63a2,f0f628c7,b5da6c24,99b75528,fb2d1dda,740742ef,a757b0d8,dbe50b21,5b8c830e,8b5b6769,51a3c5ef,a12e1d51,462411b3
1136569,2018-04-14,Wankhede Stadium,Indian Premier League,T20,20,d1c36f5c,Delhi Daredevils,91,54,6,6,0,0,0,0,0,2,0,0,121,0,16,137,bb345e0b,919a3be2,b681e71e,85ec8e33,0994d0ae,2a2e6343,39a2dfa8,9d80c5e1,8cf9814c,a818c1be,271f83cd,0ebfb1ad,752f7486,740742ef,a757b0d8,5b8c830e,dbe50b21,5b16a806,a9fd84fb,462411b3,0a8fce53
1136573,2018-04-16,Eden Gardens,Indian Premier League,T20,20,d1c36f5c,Delhi Daredevils,1,4,0,0,0,0,0,0,0,1,0,0,1,0,8,9,bb345e0b,85ec8e33,919a3be2,b681e71e,39a2dfa8,0994d0ae,fb66ce1f,8cf9814c,9d80c5e1,a818c1be,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,bbd41817,b4b99816,e86754b2,98ae73b1,c38d3503,8d2c70ad
1136579,2018-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,d1c36f5c,Delhi Daredevils,5,17,0,0,0,0,0,0,0,1,0,0,-1,0,8,7,bb345e0b,85ec8e33,919a3be2,b681e71e,39a2dfa8,fb66ce1f,0994d0ae,9d80c5e1,f986ca1a,a818c1be,372455c4,c03e2850,ba607b88,c4487b84,8abdf100,c3a96caf,f19ccfad,4c5d73db,cc1e8c68,2f49c897,57ee1fde
1136602,2018-05-10,Arun Jaitley Stadium,Indian Premier League,T20,20,d1c36f5c,Delhi Daredevils,11,13,2,0,0,0,0,0,0,0,0,0,13,0,0,13,8b3e9c7c,85ec8e33,919a3be2,f986ca1a,b681e71e,0994d0ae,9a963804,9d80c5e1,6b19d823,a818c1be,92aeac25,0a476045,d027ba9f,93b4fc78,7dc35884,3c6ffae8,541f85c9,5f547c8b,2e81a32d,dcf81436,ce820073
1136605,2018-05-12,Arun Jaitley Stadium,Indian Premier League,T20,20,d1c36f5c,Delhi Daredevils,12,10,1,1,0,0,0,0,0,0,0,0,15,0,0,15,8b3e9c7c,85ec8e33,919a3be2,0994d0ae,f29185a1,f986ca1a,6b19d823,b410bd3d,1cb14aa4,a818c1be,b5da6c24,bb351c23,ba607b88,c4487b84,c3a96caf,f088b960,94d7f855,13c35c9e,cc1e8c68,2f49c897,57ee1fde
1254088,2021-10-08,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,d1c36f5c,Sunrisers Hyderabad,34,22,6,0,0,0,0,0,0,2,0,0,48,0,16,64,f29185a1,93b4fc78,62af8546,8e514b4c,bb965e9a,0f721006,5f547c8b,fe11caa6,dcf81436,81c08fa3,740742ef,752f7486,dbe50b21,a757b0d8,271f83cd,9219eff0,5b8c830e,56ab442f,98ae73b1,462411b3,a818c1be
1254091,2021-09-30,Sharjah Cricket Stadium,Indian Premier League,T20,20,d1c36f5c,Sunrisers Hyderabad,2,7,0,0,0,0,0,0,0,0,0,0,2,0,0,2,fe11caa6,d027ba9f,bb965e9a,f29185a1,8e514b4c,0f721006,5f547c8b,2e81a32d,ce820073,dcf81436,45a43fe2,3355b542,bb351c23,1dc12ab9,70d205c9,4a8a2e3b,fe93fd9d,87e562a9,1abb78f8,23eeb873,03806cf8
1254095,2021-10-06,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,d1c36f5c,Sunrisers Hyderabad,44,39,5,0,0,0,0,0,0,0,0,0,53,0,0,53,f29185a1,d027ba9f,bb965e9a,8e514b4c,fe11caa6,0f721006,5f547c8b,2e81a32d,dcf81436,81c08fa3,ba607b88,2c25d4f5,2a2e6343,44a89551,b681e71e,c4487b84,f9e6e7ef,be869ccf,f986ca1a,2f49c897,57ee1fde
1254100,2021-09-27,Dubai International Cricket Stadium,Indian Premier League,T20,20,d1c36f5c,Sunrisers Hyderabad,60,44,8,1,0,0,0,0,0,1,0,0,80,0,8,88,fe11caa6,d027ba9f,bb965e9a,f29185a1,0f721006,8e514b4c,5f547c8b,2e81a32d,ce820073,dcf81436,0ebfb1ad,6c19c6e5,a4cc73aa,50c6bc2b,da934ee8,04a418e8,39a2dfa8,fb66ce1f,1e66c162,2cdce1be,0a8fce53
1254109,2021-10-03,Dubai International Cricket Stadium,Indian Premier League,T20,20,d1c36f5c,Sunrisers Hyderabad,10,13,2,0,0,0,0,0,0,0,0,0,12,0,0,12,fe11caa6,d027ba9f,bb965e9a,f29185a1,8e514b4c,0f721006,5f547c8b,2e81a32d,dcf81436,81c08fa3,b4b99816,a24be938,77255a9e,fb2d1dda,c03f1114,d2a6c0e6,7dc35884,9d430b40,13c35c9e,5b7ab5a9,c38d3503
1359502,2023-04-20,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,d1c36f5c,Kolkata Knight Riders,43,43,5,1,0,0,0,0,0,0,0,0,54,0,0,54,0404d43c,a24be938,fb2d1dda,c3a96caf,0a509d6b,9d430b40,bbd41817,e4cdf230,cc1e8c68,5b7ab5a9,5bb1a1c4,dcce6f09,8b3e9c7c,3d8feaf8,3d284ca3,93b4fc78,2e171977,378daa89,ad427b5c,2cffab74,8d2c70ad
1359507,2023-04-23,"Eden Gardens, Kolkata",Indian Premier League,T20,20,d1c36f5c,Kolkata Knight Riders,61,27,5,5,0,0,0,0,0,1,0,0,90,0,8,98,9440ef41,bd54eef5,9d430b40,a24be938,fb2d1dda,0a509d6b,bbd41817,aa8d28ae,cc1e8c68,5b7ab5a9,b483905d,45a43fe2,df5a6881,29e95537,a4e37e47,fe93fd9d,4a8a2e3b,bb351c23,70d205c9,64839cb3,46a9bea1
