match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
336012,2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,40,47,4,1,0,0,0,0,0,1,0,0,50,0,8,58,f233bbb4,1c17e270,35205dfc,a45a5e8d,88fccd6c,93b4fc78,4e04666c,d2a989fc,342d8ade,96fd40ae,f3cb53a1,541f85c9,7eae4418,0184dc35,d0513f63,ba607b88,af7dadf7,e938e1bc,41eb4a4f,0c2730df,8fd1a8f5
336018,2008-05-14,Wankhede Stadium,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,12,19,1,1,0,0,0,0,0,0,0,0,13,0,0,13,f233bbb4,1c17e270,7d3937ed,87e562a9,a45a5e8d,88fccd6c,4e04666c,5f4e9e8f,96fd40ae,d2a989fc,756389bd,eea6b7f1,1dc12ab9,3576e47e,cfad138c,4a8a2e3b,c3d35165,9f961c14,ae78bc32,b2b50355,4ba44e19
336021,2008-05-16,Wankhede Stadium,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,0,3,0,0,0,0,0,0,0,4,0,0,-2,0,36,34,f233bbb4,1c17e270,7d3937ed,87e562a9,a45a5e8d,88fccd6c,c9d33ef5,4e04666c,5f4e9e8f,96fd40ae,4d6d6280,e249fdaa,725529bc,fd835ab3,9ab63e7b,fe11caa6,b1451597,fa463154,10a91f35,5bb1a1c4,66b30f71
336024,2008-05-18,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,23,19,4,0,0,0,0,0,0,0,0,0,27,0,0,27,f233bbb4,7d3937ed,a45a5e8d,1c17e270,87e562a9,0aadc906,4e04666c,5f4e9e8f,96fd40ae,342d8ade,2b6e6dec,0dc00542,740742ef,1be70c88,fe763256,b720a5d6,e0351c86,0ed0cdbf,c3d1402f,6c6591ab,acd4f5dc
336028,2008-05-21,Wankhede Stadium,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,65,47,12,0,0,0,0,0,0,0,0,0,87,0,0,87,f233bbb4,35205dfc,a45a5e8d,1c17e270,88fccd6c,0aadc906,facb9086,342d8ade,96fd40ae,38f2c66c,508a1ea7,2498e163,b63ab531,1c914163,d18f9182,5fa06777,a76d10ba,98ae73b1,622cc511,6b8eb6e5,034b4b7d
336032,2008-05-24,Feroz Shah Kotla,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,18,19,3,0,0,0,0,0,0,0,0,0,21,0,0,21,f233bbb4,35205dfc,1c17e270,a45a5e8d,88fccd6c,facb9086,0aadc906,2503e881,d2a989fc,96fd40ae,bb345e0b,8ba8195d,0a476045,26e5cabf,5bdcdb72,c03f1114,ab89348d,50758325,93a17209,6b19d823,ee7d0c82
336036,2008-05-26,Sawai Mansingh Stadium,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,30,35,2,0,0,0,0,0,0,1,0,0,36,0,8,44,f233bbb4,a45a5e8d,1c17e270,35205dfc,88fccd6c,93b4fc78,4e04666c,5f4e9e8f,342d8ade,96fd40ae,ff077124,ae091d39,3c6ffae8,4329fbb5,d84378a4,fe93fd9d,a2870fb7,bb18be76,64d43928,3d7e087f,e32d22f6
392181,2009-04-18,Newlands,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,59,49,7,0,0,0,0,0,0,1,0,0,74,0,8,82,f233bbb4,0a476045,2e8994e7,87e562a9,a45a5e8d,8b5b6769,91a4a398,0aadc906,a12e1d51,5f4e9e8f,b5da6c24,d8699ab7,1dc12ab9,ddc0828d,4a8a2e3b,3eac9d95,3576e47e,9f961c14,b2ae53f5,ae78bc32,495d42a5
392192,2009-04-25,Kingsmead,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,36,28,3,2,0,0,0,0,0,0,0,0,47,0,0,47,f233bbb4,2e8994e7,0a476045,87e562a9,a45a5e8d,8b5b6769,91a4a398,0aadc906,a12e1d51,d2a989fc,2b6e6dec,e1d1b294,35205dfc,740742ef,de8cce37,fe763256,b720a5d6,c3d1402f,a7c226e1,6c6591ab,2a72fd4f
392197,2009-04-27,St George's Park,Indian Premier League,T20,20,d2c2b2d5,Mumbai Indians,68,48,6,4,12,0,11,0,0,2,0,0,92,4,16,112,f233bbb4,8b5b6769,2e8994e7,a45a5e8d,87e562a9,0a476045,709b0bac,0aadc906,91a4a398,a12e1d51,b8a55852,db584dad,b57f8a9a,725529bc,297b26da,7023d182,b1451597,5bb1a1c4,ea0cdc12,66b30f71,69be866a
