match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335984,2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,0,0,0,0,24,1,35,1,0,0,0,0,0,33,0,33,bb345e0b,8ba8195d,0a476045,26e5cabf,c03f1114,33a364a6,c42aaf71,ab89348d,50758325,ee7d0c82,40caa465,3c6ffae8,4329fbb5,d84378a4,53fe6ee4,fe93fd9d,de8d3876,0264c10e,bb18be76,3d7e087f,f0f628c7
335998,2008-04-30,Feroz Shah Kotla,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,0,0,0,0,24,1,19,1,0,0,0,0,0,39,0,39,bb345e0b,8ba8195d,0a476045,64c34cd0,c03f1114,26e5cabf,33a364a6,e03b66ec,93a17209,ee7d0c82,e938e1bc,619aa81f,b61a3e1a,86dc8f2e,0184dc35,f3cb53a1,ba607b88,91a4a398,8fd1a8f5,41eb4a4f,670709ec
392183,2009-04-19,Newlands,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,0,0,0,0,18,5,15,1,0,1,0,1,0,153,14,167,bb345e0b,8ba8195d,5bdcdb72,c4487b84,26e5cabf,c03f1114,c404f58a,93a17209,260fd380,9fc0ef64,7ca5e05d,a1f1829d,1c914163,6b71e6cf,d18f9182,5fa06777,98ae73b1,40caa465,5f26df4f,034b4b7d,4353bba5
392189,2009-04-23,Kingsmead,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,0,0,0,0,24,3,31,0,0,0,0,1,0,79,6,85,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,26e5cabf,c404f58a,260fd380,9fc0ef64,96fd40ae,b5da6c24,d8699ab7,1dc12ab9,4a8a2e3b,ddc0828d,c3d35165,3576e47e,ae78bc32,9f961c14,b2b50355,4ba44e19
392194,2009-04-26,St George's Park,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,0,0,0,0,24,1,35,1,0,0,0,0,0,33,0,33,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c03f1114,c42aaf71,6b19d823,c404f58a,9fc0ef64,96fd40ae,86dc8f2e,1c17e270,39f01cdb,b61a3e1a,ba607b88,f3cb53a1,af7dadf7,41eb4a4f,e32d22f6,0c2730df,d92e42f5
392198,2009-04-28,SuperSport Park,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,29,28,3,0,12,0,32,0,0,1,0,0,32,-6,8,34,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,c42aaf71,6b19d823,9fc0ef64,96fd40ae,c404f58a,23ac69e6,72861603,ae091d39,25eeb281,fe93fd9d,bb18be76,3c6ffae8,3edb58fc,de8d3876,f0f628c7,6ef60d3a
392201,2009-04-30,SuperSport Park,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,0,0,0,0,18,1,26,1,0,1,0,1,0,33,14,47,bb345e0b,8ba8195d,c4487b84,5bdcdb72,c03f1114,c42aaf71,6b19d823,9fc0ef64,96fd40ae,c404f58a,2b6e6dec,e1d1b294,bff458c6,740742ef,aaa1b522,35205dfc,fe763256,8a668774,c3d1402f,6c6591ab,a7c226e1
392226,2009-05-15,OUTsurance Oval,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,1,2,0,0,19,0,15,0,0,0,0,0,1,6,0,7,bb345e0b,8ba8195d,5bdcdb72,c4487b84,c42aaf71,c03f1114,ab89348d,33a364a6,9fc0ef64,96fd40ae,3fca55af,fdedb37c,b63ab531,1c914163,6b71e6cf,5fa06777,dd09ff8e,98ae73b1,5d096f3d,3dba85c2,6b8eb6e5
392232,2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,4,2,0,0,24,0,32,0,0,1,0,0,4,0,8,12,bb345e0b,8ba8195d,c42aaf71,c4487b84,c03f1114,16043342,662c47a6,ab89348d,260fd380,96fd40ae,1c17e270,86dc8f2e,0184dc35,b61a3e1a,f3cb53a1,ba607b88,05c2ca46,e938e1bc,af7dadf7,0c2730df,93b4fc78
419140,2010-04-04,Feroz Shah Kotla,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,19,17,2,0,24,1,40,1,0,0,0,0,21,33,0,54,dcce6f09,8ba8195d,bb345e0b,a386e91b,c03f1114,99d63244,33a364a6,6b19d823,ab89348d,9fc0ef64,86dc8f2e,d0513f63,39f01cdb,1c17e270,b61a3e1a,ba607b88,0184dc35,41eb4a4f,66cf56a5,0c2730df,d92e42f5
419144,2010-04-07,Eden Gardens,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,12,7,2,0,24,2,31,1,0,0,0,1,14,58,6,78,dcce6f09,8ba8195d,bb345e0b,a386e91b,c03f1114,99d63244,ab89348d,33a364a6,6b19d823,9fc0ef64,725529bc,db584dad,b8a55852,26e5cabf,896d78ad,d4f9dbd4,fe11caa6,fa463154,85aae393,66b30f71,ea0cdc12
419149,2010-04-11,Feroz Shah Kotla,Indian Premier League,T20,20,d7c6af50,Delhi Daredevils,2,4,0,0,22,0,27,0,0,0,0,0,2,0,0,2,dcce6f09,8ba8195d,bb345e0b,a386e91b,c03f1114,c42aaf71,33a364a6,ab89348d,6b19d823,96fd40ae,d18f9182,5fa06777,6b71e6cf,1c914163,d3a3e82d,dec8e038,a1f1829d,a3ecf01f,98ae73b1,5d096f3d,8b9704ae
501200,2011-04-09,Nehru Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,1,17,0,0,0,1,0,0,31,12,43,00ea847a,5bdcdb72,ba607b88,c4487b84,709b0bac,3ae3f034,d4f9dbd4,91a4a398,c404f58a,66cf56a5,b8a55852,de8cce37,d18f9182,b57f8a9a,fe93fd9d,b2570b38,b5da6c24,4ba44e19,41eb4a4f,c3d1402f,6b8eb6e5
501205,2011-04-12,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,0,18,0,0,0,0,0,0,6,0,6,00ea847a,5bdcdb72,ba607b88,c4487b84,3ae3f034,709b0bac,d4f9dbd4,91a4a398,c404f58a,66cf56a5,a84468fe,d2c2b2d5,70d205c9,740742ef,a757b0d8,cf73ad76,626c5379,8b5b6769,ef5da05c,f0f628c7,a12e1d51
501208,2011-04-14,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,3,6,0,0,24,0,29,0,0,1,0,0,3,0,8,11,00ea847a,5bdcdb72,91a4a398,ba607b88,c4487b84,709b0bac,d4f9dbd4,6821ac10,ce4cc4d5,957532de,3fca55af,0a476045,6b71e6cf,5451a2c1,2e8994e7,2a2e6343,b720a5d6,6b19d823,8fd1a8f5,5bb1a1c4,ae78bc32
501211,2011-04-16,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,2,2,0,0,24,0,26,0,0,0,0,0,2,2,0,4,00ea847a,5bdcdb72,3ae3f034,ba607b88,c4487b84,709b0bac,d4f9dbd4,6821ac10,ce4cc4d5,91a4a398,48fd7349,4b57e452,1dc12ab9,4a8a2e3b,c3d35165,3576e47e,95a2ea61,495d42a5,c8179c68,13c35c9e,f5f18a18
501222,2011-04-22,Eden Gardens,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,1,28,0,0,0,0,0,0,25,0,25,5bdcdb72,db584dad,ba607b88,c4487b84,709b0bac,d4f9dbd4,91a4a398,3ae3f034,957532de,c64c2443,86dc8f2e,b0c772ee,bb345e0b,3c6ffae8,d2a6c0e6,26e5cabf,7dc35884,33a364a6,85aae393,1e66c162,b2b50355
501227,2011-04-26,Feroz Shah Kotla,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,18,21,1,1,24,2,26,1,0,0,0,0,21,60,0,81,db584dad,5bdcdb72,ba607b88,c4487b84,709b0bac,d4f9dbd4,66cf56a5,c64c2443,91a4a398,957532de,dcce6f09,8ba8195d,2498e163,afa7e784,fe763256,890946a0,5fa06777,662c47a6,5bb5a915,66b30f71,cc1e8c68
501232,2011-04-29,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,1,23,0,0,1,0,0,0,29,8,37,db584dad,5bdcdb72,ba607b88,c4487b84,709b0bac,d84378a4,66cf56a5,91a4a398,957532de,c64c2443,91ffa6c6,5748e866,93b4fc78,1c914163,1c17e270,c42aaf71,28c78fb3,5d9a1a73,4180d897,b552a935,6ef60d3a
501244,2011-05-06,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,1,14,0,0,0,0,0,0,31,0,31,db584dad,5bdcdb72,ba607b88,c4487b84,709b0bac,3ae3f034,d84378a4,66cf56a5,91a4a398,957532de,2b6e6dec,25eeb281,a45a5e8d,508a1ea7,c03f1114,30e37810,c654af19,98ae73b1,12eddf28,e938e1bc,8b9704ae
501247,2011-05-08,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,2,24,0,0,1,0,0,0,52,8,60,db584dad,5bdcdb72,ba607b88,c4487b84,d4f9dbd4,d84378a4,709b0bac,91a4a398,957532de,66cf56a5,b970a03f,b8a55852,b5da6c24,d18f9182,b57f8a9a,fe93fd9d,b2570b38,41eb4a4f,5d096f3d,c3d1402f,0c432afb
501266,2011-05-22,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,2,15,1,0,0,0,0,0,64,0,64,c4487b84,db584dad,ba607b88,709b0bac,00ea847a,d84378a4,b63ab531,957532de,66cf56a5,91a4a398,48fd7349,4b57e452,1dc12ab9,3576e47e,fe11caa6,4a8a2e3b,87e562a9,c3d35165,495d42a5,c8179c68,45c2196c
501268,2011-05-24,Wankhede Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,22,0,42,0,0,0,0,0,0,-4,0,-4,00ea847a,db584dad,ba607b88,c4487b84,b63ab531,709b0bac,d84378a4,957532de,66cf56a5,91a4a398,48fd7349,4b57e452,1dc12ab9,3576e47e,4a8a2e3b,c3d35165,87e562a9,fe11caa6,495d42a5,45c2196c,c8179c68
501270,2011-05-27,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,3,19,1,0,0,0,0,0,93,0,93,00ea847a,db584dad,ba607b88,c4487b84,b63ab531,709b0bac,957532de,66cf56a5,91a4a398,c64c2443,1efb8a28,d2c2b2d5,8b5b6769,740742ef,cf73ad76,70d205c9,a757b0d8,626c5379,a12e1d51,2af1b6d2,f0f628c7
501271,2011-05-28,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,1,0,0,24,0,34,0,0,1,0,0,-2,0,8,6,00ea847a,db584dad,ba607b88,c4487b84,b63ab531,709b0bac,66cf56a5,91a4a398,c64c2443,957532de,48fd7349,4b57e452,4a8a2e3b,1dc12ab9,c3d35165,3576e47e,87e562a9,fe11caa6,495d42a5,45c2196c,c8179c68
548310,2012-04-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,3,5,0,0,24,1,29,0,0,0,0,0,3,25,0,28,16043342,d4f9dbd4,ba607b88,c4487b84,709b0bac,00ea847a,41eb4a4f,f986ca1a,91a4a398,4ba44e19,b8d490fd,8ba8195d,890946a0,fe763256,b681e71e,662c47a6,5fa06777,2e9fdf9b,5bb5a915,cc1e8c68,9d80c5e1
548315,2012-04-10,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,20,13,3,1,18,1,22,0,0,1,0,0,29,25,8,62,d4f9dbd4,db584dad,ba607b88,c4487b84,709b0bac,00ea847a,41eb4a4f,f986ca1a,91a4a398,4ba44e19,86dc8f2e,bb345e0b,5afd4539,3c6ffae8,26e5cabf,4ec07775,7dc35884,b1451597,dd09ff8e,33a364a6,b2b50355
548318,2012-04-12,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,1,1,0,0,24,0,30,0,0,0,0,0,1,0,0,1,00ea847a,db584dad,ba607b88,c4487b84,709b0bac,7d3720ba,d4f9dbd4,41eb4a4f,91a4a398,4ba44e19,4b57e452,3355b542,1dc12ab9,4a8a2e3b,87e562a9,c3d35165,fe93fd9d,3576e47e,495d42a5,c8179c68,45c2196c
548324,2012-04-15,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,1,2,0,0,24,1,21,0,0,0,1,0,1,29,12,42,00ea847a,db584dad,ba607b88,c4487b84,709b0bac,d84378a4,41eb4a4f,91a4a398,957532de,4ba44e19,0184dc35,29e95537,7bf96684,b57f8a9a,8291f939,7c503806,f708a0bc,541f85c9,5b040b81,3d7e087f,e32d22f6
548327,2012-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,1,34,0,0,0,0,0,0,25,0,25,5bdcdb72,db584dad,00ea847a,ba607b88,709b0bac,c4487b84,41eb4a4f,91a4a398,f986ca1a,d92e42f5,1c17e270,91ffa6c6,725529bc,f846de6a,30a45b23,896d78ad,c42aaf71,2e81a32d,5d9a1a73,66b30f71,96fd40ae
548331,2012-04-20,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,2,3,0,0,24,0,25,0,0,0,0,0,2,2,0,4,00ea847a,db584dad,ba607b88,709b0bac,c4487b84,16043342,7daedf2f,41eb4a4f,f986ca1a,91a4a398,addbde6c,25eeb281,508a1ea7,fd835ab3,d67d5f00,c3a96caf,9a158001,98ae73b1,1a0c3177,e938e1bc,2a72fd4f
548336,2012-04-23,Sawai Mansingh Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,0,22,0,0,1,0,0,0,4,8,12,ba607b88,5bdcdb72,00ea847a,db584dad,c4487b84,709b0bac,41eb4a4f,91a4a398,f986ca1a,d92e42f5,0184dc35,29e95537,7bf96684,541f85c9,b57f8a9a,bd17b45f,557153ca,f708a0bc,e32d22f6,3d7e087f,99b202b3
548344,2012-04-28,Eden Gardens,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,4,4,0,0,24,1,29,1,0,0,0,0,4,33,0,37,5bdcdb72,db584dad,ba607b88,c4487b84,709b0bac,00ea847a,41eb4a4f,91a4a398,f986ca1a,d92e42f5,b8a55852,bb345e0b,86dc8f2e,3c6ffae8,26e5cabf,b1451597,33a364a6,7050a1e7,9d430b40,dd09ff8e,85aae393
548350,2012-05-02,M Chinnaswamy Stadium,Indian Premier League,T20,20,d7c6af50,Royal Challengers Bangalore,0,0,0,0,24,1,29,0,0,1,0,0,0,25,8,33,00ea847a,db584dad,ba607b88,c4487b84,16043342,3ae3f034,709b0bac,41eb4a4f,91a4a398,d92e42f5,c3a96caf,508a1ea7,addbde6c,fd835ab3,9a158001,a45a5e8d,2728e7e9,98ae73b1,12eddf28,e938e1bc,1a0c3177
