match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1136588,2018-04-29,Sawai Mansingh Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,11,12,0,0,6,0,8,0,0,0,0,0,11,0,0,11,29e95537,77255a9e,a4cc73aa,e087956b,99b75528,90de905a,5574750c,d2a989fc,641ac5ff,1e66c162,92aeac25,0a476045,d027ba9f,93b4fc78,7dc35884,3c6ffae8,fe11caa6,5f547c8b,871e9faf,ce820073,dcf81436
1136600,2018-05-08,Sawai Mansingh Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,9,9,1,0,12,0,19,0,0,0,0,0,10,0,0,10,29e95537,99b75528,90de905a,a4cc73aa,e087956b,bd17b45f,5574750c,1e66c162,641ac5ff,69be866a,b17e2f24,db584dad,495d42a5,944533a5,f10e94c4,26e5cabf,2e171977,d9273ee7,7c7d63a2,759ac88f,7d92277a
1178424,2019-04-30,M.Chinnaswamy Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,a4cc73aa,50c6bc2b,29e95537,30a45b23,04a418e8,bd17b45f,7a8bd078,1e66c162,0a3d54b9,c6097d68,ba607b88,c4487b84,d9273ee7,235c2bb6,6eb146d2,b5da6c24,f62772e5,cc1e8c68,21d4e29b,fa2f1dde,57ee1fde
1178428,2019-05-04,Arun Jaitley Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,8,3,2,0,0,0,0,0,0,0,0,0,10,0,0,10,29e95537,50c6bc2b,a4cc73aa,7a8bd078,04a418e8,bd17b45f,90de905a,641ac5ff,0a3d54b9,c6097d68,8b3e9c7c,0a476045,85ec8e33,919a3be2,c995d726,d014d5ac,2e171977,75224f22,6b19d823,a818c1be,5bb1a1c4
1216500,2020-10-09,Sharjah Cricket Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6c19c6e5,99b75528,30a45b23,a4cc73aa,39a2dfa8,7c7d63a2,5574750c,7a8bd078,5d2eea49,0a3d54b9,8b3e9c7c,0a476045,85ec8e33,919a3be2,d9273ee7,48a1d7b7,f986ca1a,2e171977,e62dd25d,495d42a5,acdc62f5
1216511,2020-10-06,Sheikh Zayed Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,11,13,1,0,0,0,0,0,0,0,0,0,12,0,0,12,6c19c6e5,99b75528,30a45b23,a4cc73aa,e86754b2,39a2dfa8,5574750c,7a8bd078,db31895a,5d2eea49,372455c4,740742ef,271f83cd,752f7486,5b8c830e,dbe50b21,a757b0d8,f752db61,2ed569a0,a818c1be,462411b3
1216514,2020-10-03,Sheikh Zayed Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,47,39,1,3,0,0,0,0,0,0,0,0,58,0,0,58,99b75528,30a45b23,a4cc73aa,1c17e270,04a418e8,39a2dfa8,5574750c,e86754b2,7a8bd078,1e66c162,2c25d4f5,b8d490fd,ba607b88,c4487b84,a4e37e47,6eb146d2,f19ccfad,ac5ae4af,21d4e29b,57ee1fde,14f96089
1254093,2021-10-05,Sharjah Cricket Stadium,Indian Premier League,T20,20,da934ee8,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,0ebfb1ad,6c19c6e5,a4cc73aa,a4e37e47,9a46c4e5,d67d5f00,39a2dfa8,7a8bd078,2cdce1be,030f3089,0a8fce53
1254097,2021-09-25,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,da934ee8,Rajasthan Royals,19,24,0,1,6,0,5,0,0,0,0,0,21,0,0,21,50c6bc2b,6c19c6e5,a4cc73aa,d67d5f00,04a418e8,39a2dfa8,a03bba42,5d2eea49,2cdce1be,0a8fce53,8b3e9c7c,0a476045,85ec8e33,919a3be2,48a1d7b7,ad427b5c,2e171977,495d42a5,e62dd25d,acdc62f5,eef2536f
1254100,2021-09-27,Dubai International Cricket Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,29,29,1,1,18,1,22,0,0,0,1,0,32,25,12,69,0ebfb1ad,6c19c6e5,a4cc73aa,50c6bc2b,04a418e8,39a2dfa8,fb66ce1f,1e66c162,2cdce1be,0a8fce53,d1c36f5c,fe11caa6,d027ba9f,bb965e9a,f29185a1,0f721006,8e514b4c,5f547c8b,2e81a32d,ce820073,dcf81436
1254103,2021-09-29,Dubai International Cricket Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,3,5,0,0,12,0,13,0,0,0,0,0,3,2,0,5,0ebfb1ad,6c19c6e5,a4cc73aa,50c6bc2b,39a2dfa8,04a418e8,fb66ce1f,2cdce1be,5d2eea49,0a8fce53,ba607b88,2c25d4f5,44a89551,b681e71e,c4487b84,2a2e6343,f9e6e7ef,be869ccf,f986ca1a,2f49c897,57ee1fde
1254111,2021-09-21,Dubai International Cricket Stadium,Indian Premier League,T20,20,da934ee8,Rajasthan Royals,43,18,2,4,6,0,7,0,0,0,0,0,63,0,0,63,0ebfb1ad,6c19c6e5,a4cc73aa,50c6bc2b,04a418e8,39a2dfa8,fb66ce1f,2cdce1be,5d2eea49,0a8fce53,b17e2f24,00ea847a,6a26221c,3241e3fd,73ad96ed,b52ffbbd,fdf7491e,249d60c9,c05edf8e,244048f6,8cf9814c
1304089,2022-04-30,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,16,9,2,1,0,0,0,0,0,1,0,0,20,0,8,28,ba607b88,3355b542,c740ea83,b681e71e,c03f1114,f9e6e7ef,a97c8ec2,f986ca1a,03806cf8,2f49c897,fe11caa6,b4b99816,d5130a30,dbe50b21,d67d5f00,39a2dfa8,5f547c8b,9fc0ef64,b0946605,2f9d0389,8cf9814c
1304095,2022-05-04,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,42,29,3,2,0,0,0,0,0,0,0,0,55,0,0,55,ba607b88,3355b542,b681e71e,c740ea83,c03f1114,a97c8ec2,f9e6e7ef,f986ca1a,2f49c897,03806cf8,45a43fe2,df5a6881,1c17e270,70d205c9,bb351c23,fe93fd9d,4a8a2e3b,11614d87,30df8c66,f24c6701,765a4731
1304100,2022-05-08,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,0,0,0,0,6,0,7,0,0,1,0,0,0,0,8,8,ba607b88,3355b542,c740ea83,b681e71e,c03f1114,f9e6e7ef,a97c8ec2,f986ca1a,03806cf8,2f49c897,f29185a1,d027ba9f,77255a9e,6a26221c,3241e3fd,4125d931,26989d80,5d2eea49,2e81a32d,81c08fa3,e9c7f0d0
1304106,2022-05-13,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,6,3,0,1,0,0,0,0,0,0,0,0,8,0,0,8,ba607b88,3355b542,c740ea83,b681e71e,c03f1114,f9e6e7ef,f986ca1a,a97c8ec2,2f49c897,03806cf8,abb83e27,0a476045,6c882e9a,50c6bc2b,00ea847a,800d2d97,c05edf8e,26a85969,2ed569a0,e62dd25d,244048f6
1304113,2022-05-19,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,ba607b88,3355b542,b681e71e,c03f1114,c740ea83,f9e6e7ef,f986ca1a,a97c8ec2,03806cf8,dcf81436,fe11caa6,b4b99816,afa7e784,dbe50b21,d67d5f00,39a2dfa8,5f547c8b,c7a995d3,2f9d0389,7210d461,8cf9814c
1312198,2022-05-25,"Eden Gardens, Kolkata",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,14,9,2,0,0,0,0,0,0,0,0,0,16,0,0,16,ba607b88,3355b542,c740ea83,b681e71e,c03f1114,f9e6e7ef,f986ca1a,a97c8ec2,03806cf8,2f49c897,372455c4,b17e2f24,c03e2850,73ad96ed,d9273ee7,0ebfb1ad,5b8c830e,327b58d3,c33d8116,eef2536f,df064e1a
1312199,2022-05-27,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,8,10,0,0,0,0,0,0,0,0,0,0,8,0,0,8,ba607b88,3355b542,c740ea83,b681e71e,c03f1114,f9e6e7ef,a97c8ec2,f986ca1a,03806cf8,2f49c897,6c19c6e5,99b75528,a4cc73aa,2c25d4f5,48a1d7b7,04a418e8,495d42a5,a818c1be,57ee1fde,85e0cf10,529eb9e0
1359489,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c8f5f961,ba607b88,3355b542,b681e71e,c03f1114,f9e6e7ef,7f048519,3a60e0b5,f986ca1a,2f49c897,6b19d823,73c18486,b17e2f24,73ad96ed,5b8c830e,d9273ee7,3241e3fd,872b03f7,1e66c162,8d92a2c3,df064e1a
1359494,2023-04-15,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,da934ee8,Royal Challengers Bangalore,26,18,0,2,0,0,0,0,0,0,0,0,32,0,0,32,ba607b88,3355b542,b681e71e,f986ca1a,f9e6e7ef,c03f1114,c8f5f961,a97c8ec2,3a60e0b5,2f49c897,dcce6f09,8b3e9c7c,3d8feaf8,dd7e9b3b,93b4fc78,ad3b6e95,2e171977,378daa89,ad427b5c,acdc62f5,8d2c70ad
