match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082591,2017-04-05,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,dc9dd038,Royal Challengers Bangalore,1,3,0,0,0,0,0,0,0,2,0,0,1,0,16,17,db584dad,c3a96caf,12b610c2,99d63244,4329fbb5,bd17b45f,957532de,245c97cb,57ee1fde,18e6906e,dcce6f09,0a476045,32198ae0,1c914163,73ad96ed,2e11c706,890946a0,c18496e1,2e81a32d,96fd40ae,5f547c8b
1082624,2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,dc9dd038,Royal Challengers Bangalore,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,12b610c2,ba607b88,c4487b84,99d63244,bd17b45f,f62772e5,350bb1b1,76388dc8,957532de,57ee1fde,29e95537,77255a9e,30a45b23,26e5cabf,4a8a2e3b,2a2e6343,f19ccfad,2f9d0389,1e66c162,23eeb873,acee4cc4
1082646,2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,dc9dd038,Royal Challengers Bangalore,12,10,2,0,0,0,0,0,0,0,0,0,14,0,0,14,db584dad,0494fa6e,ba607b88,12b610c2,99d63244,4329fbb5,f62772e5,f986ca1a,eef2536f,57ee1fde,a4cc73aa,944533a5,85ec8e33,919a3be2,f846de6a,8abdf100,ded9240e,6b19d823,8cf9814c,9d80c5e1,91a4a398
1254087,2021-09-20,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,dc9dd038,Royal Challengers Bangalore,7,17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,ba607b88,2c25d4f5,44a89551,b681e71e,c4487b84,a97c8ec2,68c56d09,f986ca1a,2f49c897,57ee1fde,b4b99816,a24be938,bbd41817,fb2d1dda,77255a9e,d2a6c0e6,c03f1114,2f9d0389,9d430b40,5b7ab5a9,85e0cf10
598032,2013-04-27,Sawai Mansingh Stadium,Indian Premier League,T20,20,dc9dd038,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0184dc35,29e95537,4329fbb5,bd17b45f,b57f8a9a,063b3673,808f425a,557153ca,99b202b3,3d7e087f,2461eef2,0a476045,6b71e6cf,94253925,119678fd,0f12f9df,c03c6200,6b19d823,1c2a64cd,8fd1a8f5,5bb1a1c4
598047,2013-05-05,Sawai Mansingh Stadium,Indian Premier League,T20,20,dc9dd038,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0184dc35,29e95537,4329fbb5,b57f8a9a,bd17b45f,a4cc73aa,808f425a,557153ca,99b202b3,3d7e087f,1c17e270,b8d490fd,1c914163,3d8feaf8,896d78ad,de8d3876,91b9300b,2e81a32d,3a60e0b5,27e71d47,5d9a1a73
598049,2013-05-07,Sawai Mansingh Stadium,Indian Premier League,T20,20,dc9dd038,Rajasthan Royals,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,0184dc35,29e95537,4329fbb5,a4cc73aa,bd17b45f,b57f8a9a,808f425a,3d7e087f,6aed7e79,addfb70e,d18f9182,8ba8195d,30a2649b,dcce6f09,27af6414,99d63244,fa463154,5bb5a915,cc1e8c68,f62772e5,dcf81436
598065,2013-05-17,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,dc9dd038,Rajasthan Royals,3,7,0,0,0,0,0,0,0,1,0,1,3,0,14,17,0184dc35,29e95537,4329fbb5,a4cc73aa,bd17b45f,b57f8a9a,808f425a,557153ca,6aed7e79,3d7e087f,b5da6c24,0a476045,94253925,d0513f63,53f27a35,c03c6200,0f12f9df,8fd1a8f5,119678fd,6b19d823,5bb1a1c4
980953,2016-04-30,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,dc9dd038,Royal Challengers Bangalore,27,16,3,1,0,0,0,0,0,0,0,0,36,0,0,36,ba607b88,b17e2f24,c4487b84,4329fbb5,99d63244,9170ff49,0a3d54b9,f986ca1a,dfc4d8b5,a03bba42,dcce6f09,0a476045,d027ba9f,32198ae0,890946a0,73ad96ed,1c2a64cd,d8b2f218,2e81a32d,96fd40ae,0a8fce53
980959,2016-05-02,M Chinnaswamy Stadium,Indian Premier League,T20,20,dc9dd038,Royal Challengers Bangalore,16,9,2,1,0,0,0,0,0,1,0,0,20,0,8,28,b17e2f24,db584dad,ba607b88,c4487b84,4329fbb5,bd17b45f,0a3d54b9,957532de,57ee1fde,a03bba42,1c17e270,bb345e0b,45eda7c8,93b4fc78,3c6ffae8,bbd41817,271f83cd,98ae73b1,cc1e8c68,9d430b40,5bb5a915
