match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1304047,2022-03-26,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,3,8,0,0,0,0,0,0,0,0,0,0,3,0,0,3,45a43fe2,1c17e270,70d205c9,fe93fd9d,a4e37e47,4a8a2e3b,87e562a9,e4a0deae,350bb1b1,46a9bea1,29e95537,a24be938,fb2d1dda,85ec8e33,c16d4035,acc1aeda,bbd41817,9d430b40,cc1e8c68,c38d3503,5b7ab5a9
1304092,2022-05-01,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,85,56,8,4,0,0,0,0,0,0,0,0,113,0,0,113,45a43fe2,4a8a2e3b,fe93fd9d,1c17e270,70d205c9,30df8c66,e4a0deae,11614d87,765a4731,f24c6701,f29185a1,d027ba9f,77255a9e,6a26221c,3241e3fd,26989d80,f19ccfad,81c36ee9,2e81a32d,ce794613,81c08fa3
1304095,2022-05-04,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,56,37,6,2,0,0,0,0,0,0,0,1,78,0,6,84,45a43fe2,1c17e270,70d205c9,bb351c23,fe93fd9d,4a8a2e3b,11614d87,30df8c66,f24c6701,765a4731,ba607b88,3355b542,b681e71e,da934ee8,c740ea83,c03f1114,a97c8ec2,f9e6e7ef,f986ca1a,2f49c897,03806cf8
1304101,2022-05-08,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,87,51,8,5,0,0,0,0,0,1,0,0,119,0,8,127,45a43fe2,a4e37e47,70d205c9,4a8a2e3b,bb351c23,1c17e270,87e562a9,30df8c66,f24c6701,765a4731,dcce6f09,44a89551,3d8feaf8,919a3be2,650d5e49,60500956,2e171977,1abb78f8,8d2c70ad,acdc62f5,a2f46292
1304105,2022-05-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,45a43fe2,bb351c23,1c17e270,70d205c9,4a8a2e3b,a4e37e47,87e562a9,30df8c66,f24c6701,765a4731,752f7486,740742ef,caf69bf7,b0482a1d,85b3fab2,0c9652b0,f1f99156,be24ead0,462411b3,64775749,f6d8a7ab
1304108,2022-05-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,5,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,45a43fe2,bb351c23,bd54eef5,a4e37e47,4a8a2e3b,e4a0deae,c695b423,30df8c66,64839cb3,765a4731,fe11caa6,b4b99816,afa7e784,dbe50b21,d67d5f00,39a2dfa8,5f547c8b,c7a995d3,b0946605,7210d461,8cf9814c
1304114,2022-05-20,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,16,14,1,1,0,0,0,0,0,1,0,0,19,0,8,27,45a43fe2,bb351c23,bd54eef5,70d205c9,4a8a2e3b,e4a0deae,30df8c66,765a4731,c695b423,64839cb3,6c19c6e5,99b75528,a4cc73aa,2c25d4f5,495d42a5,48a1d7b7,04a418e8,a818c1be,57ee1fde,85e0cf10,529eb9e0
1359475,2023-03-31,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46a9bea1,45a43fe2,bb351c23,e087956b,70d205c9,a4e37e47,fe93fd9d,4a8a2e3b,e4a0deae,23eeb873,d027ba9f,fe11caa6,b4b99816,d5130a30,dbe50b21,0994d0ae,39a2dfa8,5f547c8b,8cf9814c,9061a703,7210d461
1359480,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,47,30,5,2,0,0,0,0,0,1,0,0,64,0,8,72,46a9bea1,45a43fe2,a4e37e47,bb351c23,e087956b,70d205c9,fe93fd9d,4a8a2e3b,e4a0deae,23eeb873,eef2536f,b17e2f24,73c18486,73ad96ed,5b8c830e,d9273ee7,3241e3fd,872b03f7,90de905a,8d92a2c3,4b31f3a3
1359486,2023-04-08,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,df5a6881,Chennai Super Kings,0,4,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,23eeb873,45a43fe2,29e95537,a4e37e47,70d205c9,fe93fd9d,4a8a2e3b,11614d87,e4a0deae,8361e524,f6d8a7ab,740742ef,752f7486,eaa76d3c,271f83cd,b0482a1d,12314277,f1f99156,85b3fab2,0c9652b0,98ae73b1
