match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1254073,2021-04-22,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,dfc4d8b5,Royal Challengers Bangalore,0,0,0,0,18,1,29,0,0,1,0,0,0,25,8,33,ba607b88,2c25d4f5,b681e71e,c4487b84,f19ccfad,68c56d09,f9e6e7ef,f986ca1a,2f49c897,57ee1fde,99b75528,c03e2850,a4cc73aa,d67d5f00,a4e37e47,04a418e8,39a2dfa8,fb66ce1f,7a8bd078,2cdce1be,0a8fce53
598035,2013-04-28,Shaheed Veer Narayan Singh International Stadium,Indian Premier League,T20,20,dfc4d8b5,Pune Warriors,0,0,0,0,24,0,39,0,0,0,0,0,0,0,0,0,1c17e270,b8d490fd,1c914163,cca50cd6,30a45b23,c42aaf71,a45a5e8d,2e81a32d,66b30f71,5d9a1a73,d18f9182,8ba8195d,0c94f480,dcce6f09,27af6414,99d63244,5fa06777,9d80c5e1,5bb5a915,96fd40ae,cc1e8c68
598038,2013-04-30,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,dfc4d8b5,Pune Warriors,26,20,2,1,24,1,36,1,0,0,0,0,30,33,0,63,1c17e270,b8d490fd,aaa1b522,1c914163,30a45b23,cca50cd6,a45a5e8d,2e81a32d,5d9a1a73,66b30f71,48fd7349,fe11caa6,1dc12ab9,3576e47e,4a8a2e3b,fe93fd9d,87e562a9,c3d35165,fb66ce1f,495d42a5,759ac88f
598055,2013-05-11,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,dfc4d8b5,Pune Warriors,8,16,0,0,23,1,28,0,0,0,0,0,4,25,0,29,1c17e270,b8d490fd,93b4fc78,1c914163,896d78ad,a45a5e8d,9170ff49,2e81a32d,66b30f71,ea0cdc12,35205dfc,d2c2b2d5,c03f1114,740742ef,70d205c9,b681e71e,8b5b6769,f5180fe6,a12e1d51,6c6591ab,2af1b6d2
729285,2014-04-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,dfc4d8b5,Rajasthan Royals,0,0,0,0,24,2,27,0,0,3,0,0,0,52,28,80,a45a5e8d,29e95537,a4cc73aa,4329fbb5,bd17b45f,b57f8a9a,33a364a6,808f425a,d2a989fc,6aed7e79,b8d490fd,0a476045,dcce6f09,b17e2f24,c03c6200,fe763256,119678fd,8fd1a8f5,6b19d823,2e81a32d,5bb1a1c4
729291,2014-04-20,Sharjah Cricket Stadium,Indian Premier League,T20,20,dfc4d8b5,Rajasthan Royals,0,0,0,0,18,1,25,0,0,0,0,0,0,25,0,25,a45a5e8d,29e95537,a4cc73aa,4329fbb5,bd17b45f,30a45b23,808f425a,33a364a6,d2a989fc,6aed7e79,d4f9dbd4,8ba8195d,fe11caa6,b681e71e,d67d5f00,5056011d,f5180fe6,abfeb126,2e171977,1a0c3177,b2b50355
729305,2014-04-26,Sheikh Zayed Stadium,Indian Premier League,T20,20,dfc4d8b5,Rajasthan Royals,0,0,0,0,24,2,18,1,0,0,0,0,0,64,0,64,29e95537,944533a5,a4cc73aa,a45a5e8d,4329fbb5,bd17b45f,30a45b23,33a364a6,6aed7e79,13c35c9e,b5da6c24,4e04666c,ba607b88,1c914163,c4487b84,90edaaa9,c3d35165,3fb19989,d68e7f48,66b30f71,57ee1fde
729315,2014-04-29,Sheikh Zayed Stadium,Indian Premier League,T20,20,dfc4d8b5,Rajasthan Royals,0,0,0,0,24,2,28,0,0,0,0,0,0,50,0,50,29e95537,944533a5,a4cc73aa,4329fbb5,bd17b45f,30a45b23,808f425a,33a364a6,6aed7e79,85aae393,bb345e0b,5afd4539,86dc8f2e,93b4fc78,271f83cd,7dc35884,1c17e270,41eb4a4f,98ae73b1,9d430b40,5bb5a915
733975,2014-05-03,Feroz Shah Kotla,Indian Premier League,T20,20,dfc4d8b5,Rajasthan Royals,0,0,0,0,24,1,39,0,0,0,0,0,0,25,0,25,29e95537,944533a5,a4cc73aa,33a364a6,4329fbb5,bd17b45f,30a45b23,808f425a,d2a989fc,6aed7e79,372455c4,4b57e452,39f01cdb,c03f1114,2e8994e7,99d63244,3a60e0b5,9d80c5e1,8cf9814c,1e66c162,5d9a1a73
733989,2014-05-08,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,dfc4d8b5,Rajasthan Royals,1,2,0,0,24,0,29,0,0,0,0,0,1,0,0,1,29e95537,944533a5,a4cc73aa,4329fbb5,bd17b45f,30a45b23,33a364a6,808f425a,d2a989fc,6aed7e79,0a476045,b8d490fd,b17e2f24,890946a0,dcce6f09,32198ae0,5fa06777,119678fd,8fd1a8f5,6b19d823,2e81a32d
733999,2014-05-11,M Chinnaswamy Stadium,Indian Premier League,T20,20,dfc4d8b5,Rajasthan Royals,0,0,0,0,24,2,43,1,0,0,0,0,0,56,0,56,29e95537,944533a5,4329fbb5,bd17b45f,a4cc73aa,30a45b23,808f425a,33a364a6,6aed7e79,39a2dfa8,ba607b88,db584dad,6dbcf855,c4487b84,1c914163,c3d35165,b5da6c24,3fb19989,0a3d54b9,57ee1fde,66b30f71
980927,2016-04-20,Wankhede Stadium,Indian Premier League,T20,20,dfc4d8b5,Royal Challengers Bangalore,1,1,0,0,18,1,26,0,0,1,0,0,1,25,8,34,ba607b88,b17e2f24,c4487b84,4329fbb5,12b610c2,f088b960,bd17b45f,f986ca1a,85aae393,0a3d54b9,740742ef,b5da6c24,70d205c9,99b75528,a757b0d8,dbe50b21,5b8c830e,8b5b6769,462411b3,51a3c5ef,13c35c9e
980931,2016-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,dfc4d8b5,Royal Challengers Bangalore,0,0,0,0,18,4,13,0,0,0,0,0,0,114,0,114,ba607b88,b17e2f24,c4487b84,4329fbb5,f088b960,c3a96caf,bd17b45f,f986ca1a,a03bba42,85aae393,29e95537,3355b542,39f01cdb,30a45b23,4a8a2e3b,0f12f9df,33a364a6,495d42a5,24d94623,e2db2409,5bb1a1c4
980937,2016-04-24,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,dfc4d8b5,Royal Challengers Bangalore,0,0,0,0,24,1,54,0,0,0,0,0,0,19,0,19,ba607b88,4329fbb5,c4487b84,b17e2f24,f088b960,99d63244,bd17b45f,85aae393,57ee1fde,a03bba42,35205dfc,b8a55852,1dc12ab9,c03f1114,fe93fd9d,87e562a9,b8d490fd,e938e1bc,d2a989fc,c8179c68,6aed7e79
980953,2016-04-30,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,dfc4d8b5,Royal Challengers Bangalore,0,0,0,0,24,2,45,0,0,0,0,1,0,46,6,52,ba607b88,b17e2f24,c4487b84,4329fbb5,dc9dd038,99d63244,9170ff49,0a3d54b9,f986ca1a,a03bba42,dcce6f09,0a476045,d027ba9f,32198ae0,890946a0,73ad96ed,1c2a64cd,d8b2f218,2e81a32d,96fd40ae,0a8fce53
