match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335999,2008-05-01,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,7,10,0,0,0,0,0,0,0,0,0,0,7,0,0,7,2b6e6dec,de8cce37,740742ef,0dc00542,fe763256,0604ef16,e0351c86,94bc776b,c3d1402f,6c6591ab,508a1ea7,36d33dd0,6b71e6cf,1c914163,d18f9182,a1f1829d,5fa06777,98ae73b1,6b8eb6e5,034b4b7d,890de8cb
336002,2008-05-25,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,47,36,6,2,0,0,0,0,0,0,0,0,63,0,0,63,2b6e6dec,740742ef,1be70c88,fe763256,b720a5d6,b9be6507,0604ef16,bcce309e,c3d1402f,acd4f5dc,86dc8f2e,619aa81f,7eae4418,0184dc35,d0513f63,ba607b88,af7dadf7,541f85c9,41eb4a4f,0c2730df,8fd1a8f5
336007,2008-05-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,e1d1b294,Deccan Chargers,10,10,1,1,0,0,0,0,0,1,0,0,13,0,8,21,2b6e6dec,57efa3be,740742ef,0dc00542,fe763256,0604ef16,b9be6507,c3d1402f,acd4f5dc,6c6591ab,b5da6c24,eea6b7f1,95a2ea61,1dc12ab9,3576e47e,4a8a2e3b,c3d35165,9f961c14,ae78bc32,20a941bb,4ba44e19
336011,2008-05-09,Sawai Mansingh Stadium,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,19,20,2,0,0,0,0,0,0,1,0,0,21,0,8,29,2b6e6dec,57efa3be,740742ef,0dc00542,0604ef16,b720a5d6,fe763256,c3d1402f,6c6591ab,acd4f5dc,72861603,3c6ffae8,d84378a4,4329fbb5,a2870fb7,fe93fd9d,bb18be76,de8d3876,64d43928,3d7e087f,f0f628c7
336014,2008-05-11,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,5,8,1,0,0,0,0,0,0,0,0,1,6,0,6,12,2b6e6dec,b720a5d6,740742ef,57efa3be,fe763256,0604ef16,bcce309e,c3d1402f,acd4f5dc,6c6591ab,4d6d6280,e249fdaa,725529bc,fd835ab3,75de770f,b1451597,fe11caa6,16dfcc19,5bb1a1c4,66b30f71,abfeb126
336020,2008-05-15,Feroz Shah Kotla,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,22,23,1,2,0,0,0,0,0,0,0,0,27,0,0,27,2b6e6dec,0dc00542,740742ef,57efa3be,fe763256,b720a5d6,c3d1402f,6c6591ab,acd4f5dc,4b4d1957,bb345e0b,8ba8195d,0a476045,ab89348d,5bdcdb72,26e5cabf,c03f1114,6b19d823,33a364a6,ee7d0c82,e03b66ec
336031,2008-05-23,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,e1d1b294,Deccan Chargers,44,35,3,3,0,0,0,0,0,1,0,0,57,0,8,65,2b6e6dec,740742ef,fe763256,1be70c88,57efa3be,b720a5d6,0604ef16,c3d1402f,6c6591ab,acd4f5dc,508a1ea7,6b71e6cf,1c914163,b63ab531,d18f9182,98ae73b1,a76d10ba,5d096f3d,890de8cb,034b4b7d,6b8eb6e5
336034,2008-05-03,M Chinnaswamy Stadium,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,5,7,1,0,0,0,0,0,0,1,0,0,6,0,8,14,2b6e6dec,de8cce37,740742ef,0dc00542,57efa3be,b9be6507,0604ef16,c3d1402f,acd4f5dc,6c6591ab,5451a2c1,619aa81f,ba607b88,86dc8f2e,7eae4418,0184dc35,f3cb53a1,e938e1bc,91a4a398,8fd1a8f5,0c2730df
336037,2008-05-27,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,8,10,2,0,0,0,0,0,0,1,0,0,10,0,8,18,2b6e6dec,57efa3be,fe763256,b720a5d6,0dc00542,b9be6507,c3d1402f,6c6591ab,4b4d1957,acd4f5dc,b5da6c24,eea6b7f1,1dc12ab9,4a8a2e3b,c3d35165,3576e47e,6165bca6,20a941bb,4ba44e19,ae78bc32,b2b50355
392184,2009-04-19,Newlands,Indian Premier League,T20,20,e1d1b294,Deccan Chargers,43,27,5,1,0,0,0,0,0,1,0,0,58,0,8,66,2b6e6dec,de8cce37,740742ef,57efa3be,fe763256,2a72fd4f,6c6591ab,c3d1402f,b720a5d6,a7c226e1,b8a55852,db584dad,725529bc,b57f8a9a,e249fdaa,b1451597,32198ae0,fa463154,abfeb126,5bb1a1c4,66b30f71
