match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1175367,2019-03-31,MA Chidambaram Stadium,Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,0,0,0,13,0,26,0,0,0,0,0,0,-4,0,-4,70d205c9,4329fbb5,1dc12ab9,99d63244,4a8a2e3b,87e562a9,fe93fd9d,23eeb873,1abb78f8,acee4cc4,29e95537,99b75528,a4cc73aa,77255a9e,30a45b23,e087956b,90de905a,5574750c,7a8bd078,1e66c162,d2a989fc
1178400,2019-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,10,4,0,1,24,1,25,0,0,0,0,0,12,27,0,39,4329fbb5,3355b542,1dc12ab9,70d205c9,99d63244,4a8a2e3b,fe93fd9d,23eeb873,1abb78f8,acee4cc4,29e95537,99b75528,a4cc73aa,30a45b23,77255a9e,e087956b,04a418e8,5574750c,7a8bd078,1e66c162,d2a989fc
1178404,2019-04-14,Eden Gardens,Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,0,0,0,24,1,30,0,0,0,0,0,0,25,0,25,4329fbb5,3355b542,1dc12ab9,70d205c9,99d63244,4a8a2e3b,fe93fd9d,acee4cc4,1abb78f8,23eeb873,45eda7c8,9d430b40,fb2d1dda,1c17e270,c03f1114,bbd41817,b4b99816,98ae73b1,8d2c70ad,85e0cf10,e412cb64
1178419,2019-04-26,MA Chidambaram Stadium,Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,22,21,0,2,24,2,13,0,0,1,0,0,26,56,8,90,4b57e452,4329fbb5,1dc12ab9,70d205c9,99d63244,faa7365d,87e562a9,23eeb873,8b5b6769,acee4cc4,740742ef,372455c4,0ebfb1ad,5b8c830e,dbe50b21,a757b0d8,271f83cd,e4cdf230,2ed569a0,462411b3,a12e1d51
1216536,2020-10-29,Dubai International Cricket Stadium,Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,0,0,0,18,1,30,0,0,0,0,0,0,25,0,25,4329fbb5,45a43fe2,70d205c9,4a8a2e3b,e94915e6,fe93fd9d,bd54eef5,23eeb873,119678fd,f834dcfc,b4b99816,fb2d1dda,9d430b40,0a509d6b,d2a6c0e6,c03f1114,77255a9e,b4f5c2d9,ded9240e,2f9d0389,5b7ab5a9
1216544,2020-10-25,Dubai International Cricket Stadium,Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,0,0,0,24,1,23,0,0,1,0,0,0,29,8,37,45a43fe2,3355b542,70d205c9,4a8a2e3b,bd54eef5,fe93fd9d,e94915e6,23eeb873,acee4cc4,fb24e76c,2c25d4f5,b8d490fd,ba607b88,c4487b84,bb351c23,fb66ce1f,6eb146d2,f19ccfad,21d4e29b,57ee1fde,2f49c897
1254114,2021-10-10,Dubai International Cricket Stadium,Indian Premier League,T20,20,e4a0deae,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,8b3e9c7c,0a476045,85ec8e33,2e171977,919a3be2,48a1d7b7,e86754b2,495d42a5,e62dd25d,eef2536f,acdc62f5
1304047,2022-03-26,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,0,0,0,24,1,31,0,0,0,0,0,0,25,0,25,45a43fe2,df5a6881,1c17e270,70d205c9,fe93fd9d,a4e37e47,4a8a2e3b,87e562a9,350bb1b1,46a9bea1,29e95537,a24be938,fb2d1dda,85ec8e33,c16d4035,acc1aeda,bbd41817,9d430b40,cc1e8c68,c38d3503,5b7ab5a9
1304079,2022-04-21,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,11,11,2,0,18,1,16,0,0,1,0,0,13,29,8,50,45a43fe2,1c17e270,70d205c9,a4e37e47,fe93fd9d,4a8a2e3b,11614d87,87e562a9,765a4731,f24c6701,740742ef,752f7486,844e79d1,271f83cd,b0482a1d,0c9652b0,a757b0d8,caf69bf7,1e66c162,64775749,462411b3
1304084,2022-04-25,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,9,16,1,0,12,0,9,0,0,0,0,1,6,6,6,18,45a43fe2,1c17e270,a4e37e47,70d205c9,fe93fd9d,4a8a2e3b,11614d87,87e562a9,765a4731,f24c6701,00ea847a,0a476045,6c882e9a,50c6bc2b,abb83e27,800d2d97,26a85969,e62dd25d,2ed569a0,244048f6,ce820073
1304092,2022-05-01,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,0,0,0,18,1,36,0,0,0,0,0,0,21,0,21,45a43fe2,df5a6881,4a8a2e3b,fe93fd9d,1c17e270,70d205c9,30df8c66,11614d87,765a4731,f24c6701,f29185a1,d027ba9f,77255a9e,6a26221c,3241e3fd,26989d80,f19ccfad,81c36ee9,2e81a32d,ce794613,81c08fa3
1304108,2022-05-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,1,1,0,0,24,0,28,0,0,0,0,0,1,0,0,1,45a43fe2,df5a6881,bb351c23,bd54eef5,a4e37e47,4a8a2e3b,c695b423,30df8c66,64839cb3,765a4731,fe11caa6,b4b99816,afa7e784,dbe50b21,d67d5f00,39a2dfa8,5f547c8b,c7a995d3,b0946605,7210d461,8cf9814c
1304114,2022-05-20,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,1,2,0,0,18,1,15,0,0,0,0,0,1,29,0,30,45a43fe2,df5a6881,bb351c23,bd54eef5,70d205c9,4a8a2e3b,30df8c66,765a4731,c695b423,64839cb3,6c19c6e5,99b75528,a4cc73aa,2c25d4f5,495d42a5,48a1d7b7,04a418e8,a818c1be,57ee1fde,85e0cf10,529eb9e0
1359475,2023-03-31,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,1,3,0,0,24,0,32,0,0,1,0,0,1,0,8,9,46a9bea1,df5a6881,45a43fe2,bb351c23,e087956b,70d205c9,a4e37e47,fe93fd9d,4a8a2e3b,23eeb873,d027ba9f,fe11caa6,b4b99816,d5130a30,dbe50b21,0994d0ae,39a2dfa8,5f547c8b,8cf9814c,9061a703,7210d461
1359480,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,1,1,0,0,24,1,22,0,0,0,0,0,1,29,0,30,46a9bea1,45a43fe2,df5a6881,a4e37e47,bb351c23,e087956b,70d205c9,fe93fd9d,4a8a2e3b,23eeb873,eef2536f,b17e2f24,73c18486,73ad96ed,5b8c830e,d9273ee7,3241e3fd,872b03f7,90de905a,8d92a2c3,4b31f3a3
1359486,2023-04-08,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,0,0,0,24,2,28,1,0,0,0,0,0,58,0,58,23eeb873,df5a6881,45a43fe2,29e95537,a4e37e47,70d205c9,fe93fd9d,4a8a2e3b,11614d87,8361e524,f6d8a7ab,740742ef,752f7486,eaa76d3c,271f83cd,b0482a1d,12314277,f1f99156,85b3fab2,0c9652b0,98ae73b1
1426291,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,11,11,1,0,18,1,10,0,0,1,0,0,12,31,8,51,30df8c66,29e95537,45a43fe2,eade4650,a4e37e47,bb351c23,fe93fd9d,1abb78f8,4a8a2e3b,46a9bea1,244048f6,9418198b,abb83e27,cad00a4d,26989d80,e94915e6,800d2d97,84d9c311,c05edf8e,f986ca1a,2ed569a0
1426297,2024-05-10,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,0,2,0,0,12,0,31,0,0,0,0,0,-2,-6,0,-8,46a9bea1,29e95537,ba5e1069,45a43fe2,eade4650,bb351c23,a4e37e47,fe93fd9d,4a8a2e3b,1abb78f8,cdc6bdba,d5130a30,b4b99816,d67d5f00,7dcb9bc9,afa7e784,39a2dfa8,5f547c8b,efc04be7,cc1e8c68,759ac88f
1426306,2024-05-18,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,e4a0deae,Chennai Super Kings,3,5,0,0,24,2,23,0,0,0,0,1,3,54,6,63,f24c6701,45a43fe2,ba5e1069,eade4650,29e95537,a4e37e47,fe93fd9d,4a8a2e3b,1abb78f8,46a9bea1,983f2f61,ba607b88,3355b542,c740ea83,eaa76d3c,c03f1114,b681e71e,da934ee8,7210d461,119678fd,2f49c897
