match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082594,2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,28,27,2,1,0,0,0,0,0,0,0,0,32,0,0,32,c03e2850,fe11caa6,2e171977,b681e71e,d67d5f00,d9273ee7,983f2f61,759ac88f,ce820073,ce794613,29e95537,00ea847a,30a45b23,e087956b,4a8a2e3b,26e5cabf,2a2e6343,33a364a6,2ed569a0,acee4cc4,66b30f71
1082598,2017-04-10,Holkar Cricket Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,58,39,4,3,0,0,0,0,0,0,0,0,78,0,0,78,c03e2850,2e171977,b681e71e,fe11caa6,d67d5f00,d9273ee7,759ac88f,ce820073,0a3d54b9,ce794613,4329fbb5,0494fa6e,c4487b84,99d63244,c3a96caf,bd17b45f,f62772e5,85aae393,245c97cb,6834d1f2,57ee1fde
1082601,2017-04-13,Eden Gardens,Indian Premier League,T20,20,e798611a,Kings XI Punjab,25,28,4,0,0,0,0,0,0,0,0,0,29,0,0,29,c03e2850,d9273ee7,b681e71e,d67d5f00,fe11caa6,2e171977,759ac88f,0a3d54b9,ce820073,5bb1a1c4,9d430b40,bb345e0b,1c17e270,93b4fc78,3c6ffae8,271f83cd,4c5d73db,94d7f855,98ae73b1,cc1e8c68,a818c1be
1082605,2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,e798611a,Kings XI Punjab,19,12,4,0,0,0,0,0,0,0,0,0,27,0,0,27,c03e2850,fe11caa6,d2a6c0e6,d67d5f00,b681e71e,2e171977,759ac88f,edb3d4f8,ce820073,0a3d54b9,a4cc73aa,c16d4035,944533a5,85ec8e33,919a3be2,8abdf100,fb66ce1f,ded9240e,6b19d823,91a4a398,9d80c5e1
1082609,2017-04-17,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,c03e2850,b681e71e,d2a6c0e6,d67d5f00,fe11caa6,2e171977,759ac88f,edb3d4f8,5bb1a1c4,ce820073,dcce6f09,0a476045,32198ae0,1c914163,890946a0,73ad96ed,62af8546,5f547c8b,2e81a32d,d8b2f218,dcf81436
1082612,2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,104,63,8,6,0,0,0,0,0,0,0,0,144,0,0,144,508a1ea7,fe11caa6,b681e71e,d9273ee7,2e171977,6eb146d2,983f2f61,759ac88f,ce820073,5bb1a1c4,b5da6c24,99b75528,fb2d1dda,dbe50b21,740742ef,a757b0d8,5b8c830e,8b5b6769,51a3c5ef,a12e1d51,462411b3
1082616,2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,65,40,9,2,0,0,0,0,0,0,0,0,90,0,0,90,c03e2850,508a1ea7,b681e71e,d9273ee7,2e171977,fe11caa6,759ac88f,edb3d4f8,ce794613,ce820073,b8a55852,b8d490fd,1dc12ab9,c03f1114,fe93fd9d,35205dfc,f10e94c4,7c7d63a2,871e9faf,b51f72a5,b822e99c
1082626,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,e798611a,Kings XI Punjab,16,22,1,0,0,0,0,0,0,0,0,0,17,0,0,17,2be41edb,c03e2850,508a1ea7,b681e71e,fe11caa6,2e171977,759ac88f,0a3d54b9,ce820073,ce794613,a4cc73aa,c16d4035,944533a5,85ec8e33,919a3be2,8abdf100,fb66ce1f,e62dd25d,6b19d823,8cf9814c,9d80c5e1
1082633,2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2be41edb,508a1ea7,c03e2850,fe11caa6,b681e71e,2e171977,759ac88f,0a3d54b9,ce820073,ce794613,c3a96caf,db584dad,ba607b88,c4487b84,99d63244,4329fbb5,f62772e5,957532de,76388dc8,18e6906e,57ee1fde
1082637,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,e798611a,Kings XI Punjab,104,61,8,5,0,0,0,0,0,0,0,0,144,0,0,144,2be41edb,508a1ea7,b681e71e,2e171977,fe11caa6,6eb146d2,759ac88f,ce820073,0a3d54b9,ce794613,35205dfc,752f7486,1dc12ab9,c03f1114,b8d490fd,fe93fd9d,808f425a,d2a989fc,9fc0ef64,871e9faf,f18ba07f
980971,2016-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,e798611a,Kings XI Punjab,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4b57e452,d9273ee7,fe11caa6,b681e71e,d67d5f00,2e171977,6eb146d2,759ac88f,ce820073,edb3d4f8,372455c4,a4cc73aa,944533a5,c16d4035,e342e5fb,fb66ce1f,919a3be2,6b19d823,8cf9814c,91a4a398,9d80c5e1
980977,2016-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,e798611a,Kings XI Punjab,21,20,2,0,0,0,0,0,0,0,0,0,23,0,0,23,4b57e452,fe11caa6,d67d5f00,d9273ee7,dce2019b,2e171977,759ac88f,69be866a,ce820073,edb3d4f8,ba607b88,b17e2f24,c4487b84,4329fbb5,dc9dd038,12b610c2,bd17b45f,ffe699c0,85aae393,0a3d54b9,57ee1fde
980985,2016-05-13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,0,5,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,4b57e452,fe11caa6,b681e71e,6eb146d2,d67d5f00,d9273ee7,2e171977,759ac88f,ce820073,edb3d4f8,740742ef,0c94f480,70d205c9,fb2d1dda,99b75528,a757b0d8,5b8c830e,8b5b6769,13c35c9e,51a3c5ef,462411b3
980991,2016-05-15,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,e798611a,Kings XI Punjab,96,56,14,2,0,0,0,0,0,0,0,0,128,0,0,128,4b57e452,fe11caa6,6eb146d2,d67d5f00,b681e71e,d9273ee7,2e171977,759ac88f,ce820073,69be866a,dcce6f09,0a476045,73ad96ed,1c914163,2e11c706,32198ae0,890946a0,119678fd,2e81a32d,96fd40ae,0a8fce53
980999,2016-05-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,9,6,0,1,0,0,0,0,0,0,0,0,11,0,0,11,4b57e452,fe11caa6,d67d5f00,6eb146d2,2e171977,dce2019b,a9da7784,759ac88f,edb3d4f8,ce820073,db584dad,ba607b88,c4487b84,b17e2f24,4329fbb5,dc9dd038,bd17b45f,ffe699c0,957532de,0a3d54b9,57ee1fde
981005,2016-05-21,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Indian Premier League,T20,20,e798611a,Kings XI Punjab,30,30,4,1,0,0,0,0,0,0,0,0,40,0,0,40,4b57e452,fe11caa6,6eb146d2,d67d5f00,dce2019b,2e171977,26a85969,a9da7784,759ac88f,ce820073,29e95537,331ea488,5056011d,709b0bac,4a8a2e3b,5fa06777,0f12f9df,495d42a5,14f96089,66b30f71,23eeb873
