match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1136565,2018-04-10,MA Chidambaram Stadium,Indian Premier League,T20,20,e86754b2,Kolkata Knight Riders,2,5,0,0,18,2,39,0,0,0,0,0,2,44,0,46,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,0a509d6b,bbd41817,41eb4a4f,8d2c70ad,98ae73b1,4329fbb5,70d205c9,1dc12ab9,4a8a2e3b,c16d4035,fe93fd9d,87e562a9,23eeb873,8b5b6769,1abb78f8,acee4cc4
1136573,2018-04-16,Eden Gardens,Indian Premier League,T20,20,e86754b2,Kolkata Knight Riders,2,3,0,0,12,1,21,0,0,0,0,0,2,23,0,25,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,bbd41817,b4b99816,98ae73b1,c38d3503,8d2c70ad,bb345e0b,d1c36f5c,85ec8e33,919a3be2,b681e71e,39a2dfa8,0994d0ae,fb66ce1f,8cf9814c,9d80c5e1,a818c1be
1136575,2018-04-18,Sawai Mansingh Stadium,Indian Premier League,T20,20,e86754b2,Kolkata Knight Riders,0,0,0,0,13,2,19,1,0,0,0,0,0,58,0,58,9d430b40,45eda7c8,1c17e270,fb2d1dda,c03f1114,bbd41817,b4b99816,98ae73b1,c38d3503,8d2c70ad,29e95537,1a156c88,a4cc73aa,77255a9e,e087956b,99b75528,90de905a,7a8bd078,d2a989fc,1e66c162,b2a79f17
1136578,2018-04-21,Eden Gardens,Indian Premier League,T20,20,e86754b2,Kolkata Knight Riders,1,3,0,0,1,0,6,0,0,1,0,0,1,0,8,9,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,bbd41817,b4b99816,98ae73b1,c38d3503,8d2c70ad,b17e2f24,db584dad,00ea847a,944533a5,b8d490fd,1c914163,495d42a5,7c7d63a2,d8b2f218,7d92277a,db31895a
1136601,2018-05-09,Eden Gardens,Indian Premier League,T20,20,e86754b2,Kolkata Knight Riders,18,17,3,0,19,1,33,0,0,0,0,0,21,23,0,44,9d430b40,45eda7c8,1c17e270,fb2d1dda,bbd41817,c03f1114,0a509d6b,98ae73b1,8d2c70ad,85e0cf10,271f83cd,0ebfb1ad,740742ef,752f7486,dbe50b21,2e11c706,5b8c830e,2e8994e7,51a3c5ef,a9fd84fb,462411b3
1216496,2020-09-22,Sharjah Cricket Stadium,Indian Premier League,T20,20,e86754b2,Rajasthan Royals,10,9,1,0,25,1,55,0,0,1,0,0,11,19,8,38,6c19c6e5,30a45b23,a4cc73aa,d67d5f00,1c17e270,39a2dfa8,04a418e8,5574750c,7a8bd078,1e66c162,4b57e452,4329fbb5,3355b542,e94915e6,45a43fe2,99d63244,4a8a2e3b,fe93fd9d,98ae73b1,23eeb873,f834dcfc
1216504,2020-09-30,Dubai International Cricket Stadium,Indian Premier League,T20,20,e86754b2,Rajasthan Royals,54,36,2,3,24,1,37,0,0,0,0,0,72,25,0,97,99b75528,30a45b23,a4cc73aa,1c17e270,04a418e8,39a2dfa8,7a8bd078,5574750c,1e66c162,db31895a,b4b99816,9d430b40,fb2d1dda,bbd41817,c03f1114,d2a6c0e6,ded9240e,b4f5c2d9,c38d3503,8d2c70ad,5b7ab5a9
1216511,2020-10-06,Sheikh Zayed Stadium,Indian Premier League,T20,20,e86754b2,Rajasthan Royals,15,17,1,0,18,0,34,0,0,0,0,0,16,-4,0,12,6c19c6e5,99b75528,30a45b23,a4cc73aa,da934ee8,39a2dfa8,5574750c,7a8bd078,db31895a,5d2eea49,372455c4,740742ef,271f83cd,752f7486,5b8c830e,dbe50b21,a757b0d8,f752db61,2ed569a0,a818c1be,462411b3
1216514,2020-10-03,Sheikh Zayed Stadium,Indian Premier League,T20,20,e86754b2,Rajasthan Royals,0,0,0,0,19,0,40,0,0,0,0,0,0,-6,0,-6,99b75528,30a45b23,a4cc73aa,1c17e270,da934ee8,04a418e8,39a2dfa8,5574750c,7a8bd078,1e66c162,2c25d4f5,b8d490fd,ba607b88,c4487b84,a4e37e47,6eb146d2,f19ccfad,ac5ae4af,21d4e29b,57ee1fde,14f96089
1216527,2020-09-27,Sharjah Cricket Stadium,Indian Premier League,T20,20,e86754b2,Rajasthan Royals,4,1,1,0,24,1,44,0,0,0,0,0,5,23,0,28,99b75528,30a45b23,a4cc73aa,39a2dfa8,1c17e270,5574750c,04a418e8,7a8bd078,db31895a,1e66c162,b17e2f24,00ea847a,b681e71e,3241e3fd,944533a5,9219eff0,f088b960,8cf9814c,a1d053dd,df064e1a,e2db2409
1254059,2021-04-10,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,e86754b2,Delhi Capitals,0,0,0,0,24,1,40,0,0,0,0,0,0,25,0,25,8b3e9c7c,0a476045,919a3be2,d9273ee7,48a1d7b7,29e95537,4c5d73db,495d42a5,6b19d823,eef2536f,45a43fe2,3355b542,bb351c23,1dc12ab9,70d205c9,fe93fd9d,4a8a2e3b,e94915e6,87e562a9,1abb78f8,23eeb873
1254064,2021-04-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,e86754b2,Delhi Capitals,21,16,2,0,22,0,35,0,0,0,0,0,25,0,0,25,8b3e9c7c,0a476045,29e95537,919a3be2,d9273ee7,ad427b5c,4c5d73db,495d42a5,e62dd25d,eef2536f,99b75528,c03e2850,a4cc73aa,a4e37e47,d67d5f00,04a418e8,39a2dfa8,fb66ce1f,1e66c162,2cdce1be,0a8fce53
1254114,2021-10-10,Dubai International Cricket Stadium,Indian Premier League,T20,20,e86754b2,Delhi Capitals,0,1,0,0,22,3,29,0,0,0,0,0,-2,79,0,77,8b3e9c7c,0a476045,85ec8e33,2e171977,919a3be2,48a1d7b7,495d42a5,e62dd25d,eef2536f,acdc62f5,45a43fe2,3355b542,1c17e270,1abb78f8,70d205c9,bb351c23,4a8a2e3b,fe93fd9d,87e562a9,23eeb873,03806cf8
