match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1359479,2023-04-02,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,5,4,1,0,12,1,30,0,0,0,0,0,6,19,0,25,4933f499,740742ef,752f7486,271f83cd,b0482a1d,d1a60072,f1f99156,0c9652b0,12314277,98ae73b1,ba607b88,3355b542,c03f1114,b681e71e,e38bce7a,f9e6e7ef,f986ca1a,0a67aec0,8db7f47f,2f49c897,119678fd
1359486,2023-04-08,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,12,11,1,0,18,0,20,0,0,0,0,0,13,2,0,15,f6d8a7ab,740742ef,752f7486,271f83cd,b0482a1d,12314277,f1f99156,85b3fab2,0c9652b0,98ae73b1,23eeb873,df5a6881,45a43fe2,29e95537,a4e37e47,70d205c9,fe93fd9d,4a8a2e3b,11614d87,e4a0deae,8361e524
1359490,2023-04-11,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,17,8,1,1,18,0,30,0,0,2,0,0,20,0,16,36,64775749,740742ef,752f7486,b0482a1d,271f83cd,f1f99156,d1a60072,0c9652b0,12314277,4933f499,2cffab74,dcce6f09,8b3e9c7c,93b4fc78,dd7e9b3b,650d5e49,ad427b5c,2e171977,ad3b6e95,8d2c70ad,acdc62f5
1359496,2023-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,1,1,0,0,12,1,21,0,0,0,0,0,1,23,0,24,64775749,740742ef,752f7486,271f83cd,b0482a1d,f1f99156,d1a60072,44aac2f0,0c9652b0,98ae73b1,9440ef41,0bacade8,bd54eef5,a24be938,fb2d1dda,1abb78f8,0a509d6b,bbd41817,9d430b40,cc1e8c68,2f9d0389
1359499,2023-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,64,40,6,2,24,1,32,0,0,0,0,0,86,25,0,111,64775749,740742ef,752f7486,271f83cd,b0482a1d,f1f99156,d1a60072,44aac2f0,0c9652b0,98ae73b1,ce794613,4ae1755b,00ea847a,77255a9e,6a26221c,f29185a1,235c2bb6,8e514b4c,81c36ee9,f19ccfad,2e81a32d
1359505,2023-04-22,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,67,44,6,3,24,2,41,1,0,0,0,0,91,56,0,147,4933f499,740742ef,752f7486,271f83cd,f1f99156,b0482a1d,d1a60072,5574750c,44aac2f0,0c9652b0,9eb1455b,a90e53ec,9418198b,1ac746c8,50c6bc2b,28c78fb3,e94915e6,800d2d97,7dcb9bc9,c05edf8e,244048f6
1359509,2023-04-25,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,33,26,0,3,12,0,39,0,0,0,0,0,43,-6,0,37,f6d8a7ab,740742ef,752f7486,b0482a1d,271f83cd,f1f99156,d1a60072,98ae73b1,44aac2f0,4933f499,9061a703,fe11caa6,b4b99816,dbe50b21,0994d0ae,d67d5f00,0890552f,39a2dfa8,5f547c8b,759ac88f,8cf9814c
1359516,2023-04-30,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,44,27,4,2,18,0,31,0,0,0,0,0,60,-2,0,58,740742ef,752f7486,271f83cd,b0482a1d,f1f99156,98ae73b1,5574750c,f6d8a7ab,64775749,12314277,2e78f685,6c19c6e5,99b75528,a4cc73aa,2c25d4f5,0f721006,48a1d7b7,bcf325d2,495d42a5,a818c1be,ce820073
1359520,2023-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,23,19,4,0,12,0,15,0,0,0,0,0,27,0,0,27,4bd09374,740742ef,752f7486,271f83cd,f1f99156,b0482a1d,d1a60072,98ae73b1,5574750c,f6d8a7ab,9eb1455b,9418198b,0a476045,a90e53ec,50c6bc2b,800d2d97,e94915e6,7dcb9bc9,c05edf8e,26a85969,2ed569a0
1359523,2023-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,6,4,1,0,7,0,10,0,0,0,0,0,7,0,0,7,266849c1,752f7486,740742ef,d1a60072,271f83cd,85b3fab2,f1f99156,12314277,5574750c,98ae73b1,f24c6701,45a43fe2,df5a6881,29e95537,70d205c9,a4e37e47,4a8a2e3b,bb351c23,fe93fd9d,23eeb873,64839cb3
1359528,2023-05-09,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,2,2,0,0,12,1,15,0,0,1,0,0,2,25,8,35,752f7486,740742ef,271f83cd,d1a60072,f1f99156,ffe699c0,98ae73b1,4933f499,f6d8a7ab,4bd09374,ba607b88,3355b542,c8f5f961,b681e71e,da934ee8,c03f1114,99d63244,a97c8ec2,03806cf8,2f49c897,54e52590
1359531,2023-05-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,3,3,0,0,6,0,13,0,0,1,0,0,3,0,8,11,4bd09374,752f7486,740742ef,271f83cd,d1a60072,0494fa6e,f1f99156,ffe699c0,98ae73b1,4933f499,759ac88f,fe11caa6,b4b99816,dbe50b21,0994d0ae,d67d5f00,0890552f,39a2dfa8,5f547c8b,efc04be7,b0946605
1359537,2023-05-16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,4,7,0,0,12,1,17,0,0,0,0,0,4,25,0,29,4bd09374,752f7486,740742ef,271f83cd,d1a60072,f1f99156,0494fa6e,ffe699c0,0c9652b0,98ae73b1,4b31f3a3,73ad96ed,372455c4,663b5e34,5b8c830e,d9273ee7,3241e3fd,872b03f7,c0c411cb,df064e1a,983f2f61
1359543,2023-05-21,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,eaa76d3c,Mumbai Indians,100,47,8,8,6,0,5,0,0,0,0,0,146,0,0,146,752f7486,740742ef,271f83cd,f1f99156,d1a60072,ffe699c0,98ae73b1,4933f499,f6d8a7ab,4bd09374,5d2eea49,1b7b0fa7,00ea847a,235c2bb6,9a46c4e5,6a26221c,4ae1755b,b0f2baf4,aad0c365,a457cfb5,2e81a32d
