match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082632,2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,f846de6a,Delhi Daredevils,0,0,0,0,12,0,22,0,0,0,0,0,0,-2,0,-2,a4cc73aa,944533a5,919a3be2,85ec8e33,8abdf100,ded9240e,e62dd25d,9d80c5e1,6b19d823,8cf9814c,35205dfc,b8a55852,1dc12ab9,c03f1114,b8d490fd,752f7486,fe93fd9d,808f425a,9fc0ef64,871e9faf,f18ba07f
1082635,2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,f846de6a,Delhi Daredevils,1,5,0,0,0,0,0,0,0,1,0,0,1,0,8,9,a4cc73aa,944533a5,85ec8e33,919a3be2,8abdf100,ded9240e,e62dd25d,6b19d823,8cf9814c,91a4a398,89f64c19,b5da6c24,a757b0d8,740742ef,dbe50b21,fb2d1dda,119678fd,8b5b6769,51a3c5ef,a12e1d51,462411b3
1082640,2017-05-10,Green Park,Indian Premier League,T20,20,f846de6a,Delhi Daredevils,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,a4cc73aa,944533a5,919a3be2,85ec8e33,8abdf100,e342e5fb,ded9240e,8cf9814c,6b19d823,91a4a398,35205dfc,752f7486,1dc12ab9,c03f1114,b8d490fd,fe93fd9d,808f425a,d2a989fc,9fc0ef64,871e9faf,f18ba07f
1082642,2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,f846de6a,Delhi Daredevils,27,22,1,2,6,0,12,0,0,0,0,0,32,0,0,32,a4cc73aa,944533a5,85ec8e33,919a3be2,8abdf100,ded9240e,6b19d823,8cf9814c,9d80c5e1,91a4a398,29e95537,77255a9e,30a45b23,26e5cabf,e087956b,4a8a2e3b,2a2e6343,f19ccfad,1abb78f8,1e66c162,14f96089
1082646,2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,f846de6a,Delhi Daredevils,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,a4cc73aa,944533a5,85ec8e33,919a3be2,8abdf100,ded9240e,6b19d823,8cf9814c,9d80c5e1,91a4a398,db584dad,0494fa6e,ba607b88,12b610c2,99d63244,dc9dd038,4329fbb5,f62772e5,f986ca1a,eef2536f,57ee1fde
548308,2012-04-06,Wankhede Stadium,Indian Premier League,T20,20,f846de6a,Pune Warriors,4,4,0,0,24,1,22,1,0,0,0,0,4,37,0,41,93b4fc78,725529bc,3a60e0b5,1c17e270,9b4935c8,30a45b23,2e81a32d,abfeb126,5d9a1a73,66b30f71,18c78b11,70d205c9,740742ef,cf73ad76,c03f1114,271f83cd,a757b0d8,8b5b6769,a12e1d51,6c6591ab,f0f628c7
548313,2012-04-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,f846de6a,Pune Warriors,46,39,4,2,24,2,23,0,0,0,0,0,58,54,0,112,91ffa6c6,725529bc,1c17e270,9b4935c8,30a45b23,93b4fc78,5d9a1a73,abfeb126,66b30f71,96fd40ae,2b6e6dec,25eeb281,c3a96caf,a45a5e8d,fd835ab3,98ae73b1,3edb58fc,c18496e1,808f425a,e938e1bc,2a72fd4f
548319,2012-04-12,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,f846de6a,Pune Warriors,2,13,0,0,22,0,27,0,0,0,0,0,-4,0,0,-4,91ffa6c6,725529bc,1c17e270,896d78ad,c42aaf71,30a45b23,93b4fc78,5d9a1a73,96fd40ae,66b30f71,25eeb281,2b6e6dec,508a1ea7,c3a96caf,98ae73b1,fd835ab3,3edb58fc,1a0c3177,c18496e1,2a72fd4f,e938e1bc
548322,2012-04-14,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,f846de6a,Pune Warriors,8,15,0,0,24,0,29,0,0,0,0,0,4,0,0,4,1c17e270,91ffa6c6,725529bc,30a45b23,896d78ad,c42aaf71,5d9a1a73,abfeb126,66b30f71,96fd40ae,3355b542,4b57e452,1dc12ab9,4a8a2e3b,fe93fd9d,c3d35165,87e562a9,3576e47e,469ea22b,495d42a5,93a17209
548327,2012-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,f846de6a,Pune Warriors,34,20,1,2,12,1,5,0,0,0,0,0,47,31,0,78,1c17e270,91ffa6c6,725529bc,30a45b23,896d78ad,c42aaf71,2e81a32d,5d9a1a73,66b30f71,96fd40ae,5bdcdb72,db584dad,00ea847a,ba607b88,709b0bac,c4487b84,d7c6af50,41eb4a4f,91a4a398,f986ca1a,d92e42f5
