match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1216505,2020-11-02,Sheikh Zayed Stadium,Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,1,1,0,0,24,2,27,0,0,0,0,0,1,52,0,53,39086549,2c25d4f5,ba607b88,c4487b84,fb66ce1f,a4e37e47,f19ccfad,ac5ae4af,2f49c897,57ee1fde,8b3e9c7c,0a476045,29e95537,85ec8e33,919a3be2,d9273ee7,2e171977,caf69bf7,495d42a5,e62dd25d,acdc62f5
1216522,2020-10-17,Dubai International Cricket Stadium,Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,0,0,0,0,12,0,18,0,0,1,0,0,0,0,8,8,2c25d4f5,b8d490fd,ba607b88,c4487b84,6eb146d2,fb66ce1f,f19ccfad,ac5ae4af,21d4e29b,57ee1fde,1c17e270,e087956b,a4cc73aa,30a45b23,99b75528,39a2dfa8,5574750c,04a418e8,7a8bd078,1e66c162,5d2eea49
1254058,2021-04-09,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,1,3,0,0,6,0,14,0,0,0,0,0,1,0,0,1,f19ccfad,ba607b88,c740ea83,b681e71e,c4487b84,2a2e6343,68c56d09,f986ca1a,2f49c897,57ee1fde,740742ef,45eda7c8,271f83cd,752f7486,dbe50b21,a757b0d8,5b8c830e,81c36ee9,2ed569a0,462411b3,a818c1be
1254063,2021-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,14,10,0,1,12,3,7,0,0,1,0,0,18,85,8,111,ba607b88,2c25d4f5,b681e71e,c4487b84,f19ccfad,2a2e6343,68c56d09,f986ca1a,2f49c897,57ee1fde,fe11caa6,dcce6f09,93b4fc78,abb83e27,8e514b4c,0994d0ae,0f721006,5f547c8b,2e81a32d,9d80c5e1,ce794613
1254067,2021-04-18,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ba607b88,2c25d4f5,c740ea83,b681e71e,c4487b84,68c56d09,f19ccfad,f986ca1a,2f49c897,57ee1fde,fb2d1dda,b4b99816,77255a9e,d2a6c0e6,c03f1114,7dc35884,bbd41817,ded9240e,8b5b6769,5b7ab5a9,85e0cf10
1254073,2021-04-22,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,ba607b88,2c25d4f5,b681e71e,c4487b84,f19ccfad,68c56d09,f986ca1a,2f49c897,dfc4d8b5,57ee1fde,99b75528,c03e2850,a4cc73aa,d67d5f00,a4e37e47,04a418e8,39a2dfa8,fb66ce1f,7a8bd078,2cdce1be,0a8fce53
1254083,2021-04-30,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,8,11,1,0,12,1,11,0,0,1,0,0,9,29,8,46,ba607b88,2c25d4f5,c740ea83,b681e71e,c4487b84,caf69bf7,68c56d09,f986ca1a,2f49c897,57ee1fde,b17e2f24,9418198b,db584dad,3241e3fd,73ad96ed,7dcb9bc9,c05edf8e,64775749,df064e1a,8cf9814c,ffe699c0
1254090,2021-10-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,8,4,0,1,18,1,29,0,0,0,0,0,10,25,0,35,ba607b88,2c25d4f5,2a2e6343,b681e71e,c4487b84,44a89551,be869ccf,f986ca1a,2f49c897,57ee1fde,b17e2f24,00ea847a,3241e3fd,6a26221c,f088b960,7dcb9bc9,32198ae0,c05edf8e,df064e1a,8cf9814c,244048f6
1254095,2021-10-06,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,14,9,2,0,24,0,21,0,0,0,0,0,16,4,0,20,ba607b88,2c25d4f5,2a2e6343,44a89551,b681e71e,c4487b84,be869ccf,f986ca1a,2f49c897,57ee1fde,d1c36f5c,f29185a1,d027ba9f,bb965e9a,8e514b4c,fe11caa6,0f721006,5f547c8b,2e81a32d,dcf81436,81c08fa3
1254101,2021-10-08,Dubai International Cricket Stadium,Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ba607b88,2c25d4f5,44a89551,c4487b84,b681e71e,2a2e6343,be869ccf,f986ca1a,2f49c897,57ee1fde,8b3e9c7c,0a476045,919a3be2,85ec8e33,48a1d7b7,60500956,2e171977,495d42a5,e62dd25d,eef2536f,acdc62f5
1254103,2021-09-29,Dubai International Cricket Stadium,Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,0,0,0,0,12,2,10,0,0,0,0,0,0,54,0,54,ba607b88,2c25d4f5,44a89551,b681e71e,c4487b84,2a2e6343,be869ccf,f986ca1a,2f49c897,57ee1fde,0ebfb1ad,6c19c6e5,a4cc73aa,da934ee8,50c6bc2b,39a2dfa8,04a418e8,fb66ce1f,2cdce1be,5d2eea49,0a8fce53
1254108,2021-09-26,Dubai International Cricket Stadium,Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,ba607b88,2c25d4f5,44a89551,b681e71e,c4487b84,2a2e6343,68c56d09,f986ca1a,2f49c897,57ee1fde,740742ef,372455c4,752f7486,271f83cd,5b8c830e,a757b0d8,dbe50b21,350bb1b1,2ed569a0,462411b3,a818c1be
1254115,2021-10-11,Sharjah Cricket Stadium,Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,13,15,1,0,0,0,0,0,0,0,0,0,14,0,0,14,2c25d4f5,ba607b88,44a89551,b681e71e,c4487b84,2a2e6343,f986ca1a,be869ccf,2f49c897,57ee1fde,b4b99816,a24be938,77255a9e,fb2d1dda,9d430b40,c03f1114,d2a6c0e6,7dc35884,2f9d0389,c38d3503,5b7ab5a9
1304049,2022-03-27,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,0,0,0,0,6,0,6,0,0,2,0,0,0,0,16,16,3355b542,c8f5f961,ba607b88,c03f1114,d014d5ac,7f048519,a97c8ec2,f986ca1a,2f49c897,0a67aec0,00ea847a,0a476045,6c882e9a,50c6bc2b,ba6b2f91,7dcb9bc9,23cca426,c05edf8e,244048f6,ce820073,2ed569a0
1304052,2022-03-30,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,27,21,0,3,6,0,16,0,0,1,0,0,33,0,8,41,3355b542,c8f5f961,ba607b88,7f048519,d014d5ac,c03f1114,a97c8ec2,f986ca1a,2f49c897,0a67aec0,29e95537,a24be938,85ec8e33,fb2d1dda,9d430b40,c16d4035,acc1aeda,bbd41817,13c35c9e,cc1e8c68,5b7ab5a9
1304059,2022-04-05,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,45,28,4,3,0,0,0,0,0,0,0,0,63,0,0,63,3355b542,c8f5f961,ba607b88,7f048519,d014d5ac,c03f1114,f986ca1a,a97c8ec2,2f49c897,0a67aec0,99b75528,6c19c6e5,2c25d4f5,a4cc73aa,48a1d7b7,04a418e8,495d42a5,21d4e29b,a818c1be,57ee1fde,85e0cf10
1304064,2022-04-09,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,f9e6e7ef,Royal Challengers Bangalore,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,3355b542,c8f5f961,ba607b88,c03f1114,b681e71e,7f048519,a97c8ec2,f986ca1a,2f49c897,0a67aec0,752f7486,740742ef,844e79d1,271f83cd,b0482a1d,a757b0d8,be24ead0,1e66c162,e2db2409,462411b3,871e9faf
