match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335994,2008-04-27,Dr DY Patil Sports Academy,Indian Premier League,T20,20,facb9086,Mumbai Indians,0,0,0,0,12,0,21,0,0,0,0,0,0,-2,0,-2,0fa5042b,f233bbb4,29e95537,1c17e270,88fccd6c,a45a5e8d,87e562a9,0d232ffd,96fd40ae,d2a989fc,2b6e6dec,de8cce37,bd77eb62,740742ef,0dc00542,0604ef16,b9be6507,c3d1402f,6c6591ab,94bc776b,e0351c86
336028,2008-05-21,Wankhede Stadium,Indian Premier League,T20,20,facb9086,Mumbai Indians,15,6,1,1,24,2,41,0,0,0,0,0,18,48,0,66,f233bbb4,d2c2b2d5,35205dfc,a45a5e8d,1c17e270,88fccd6c,0aadc906,342d8ade,96fd40ae,38f2c66c,508a1ea7,2498e163,b63ab531,1c914163,d18f9182,5fa06777,a76d10ba,98ae73b1,622cc511,6b8eb6e5,034b4b7d
336032,2008-05-24,Feroz Shah Kotla,Indian Premier League,T20,20,facb9086,Mumbai Indians,3,4,0,0,0,0,0,0,0,1,0,0,3,0,8,11,f233bbb4,d2c2b2d5,35205dfc,1c17e270,a45a5e8d,88fccd6c,0aadc906,2503e881,d2a989fc,96fd40ae,bb345e0b,8ba8195d,0a476045,26e5cabf,5bdcdb72,c03f1114,ab89348d,50758325,93a17209,6b19d823,ee7d0c82
392225,2009-05-14,Kingsmead,Indian Premier League,T20,20,facb9086,Rajasthan Royals,6,9,1,0,0,0,0,0,0,0,0,0,7,0,0,7,23ac69e6,72861603,3c6ffae8,fe93fd9d,890946a0,7c503806,bb18be76,c69a7b5c,f0f628c7,3d7e087f,87e562a9,4e04666c,29e95537,f233bbb4,d2c2b2d5,2e8994e7,a45a5e8d,8b5b6769,d2a989fc,f24ca2ba,a12e1d51
501248,2011-05-08,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,facb9086,Kings XI Punjab,9,9,1,0,0,0,0,0,0,0,0,0,10,0,0,10,2b6e6dec,25eeb281,508a1ea7,c03f1114,fd835ab3,c3a96caf,12eddf28,e938e1bc,2049f3a0,dc4686e6,91ffa6c6,93b4fc78,1c17e270,1c914163,9b4935c8,2815fe50,3d8feaf8,dddca1d6,5d9a1a73,3a60e0b5,2e81a32d
548334,2012-04-22,Wankhede Stadium,Indian Premier League,T20,20,facb9086,Kings XI Punjab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,addbde6c,c3a96caf,508a1ea7,fd835ab3,9a158001,d67d5f00,98ae73b1,dc4686e6,e938e1bc,1a0c3177,cf73ad76,d2c2b2d5,740742ef,c03f1114,a757b0d8,8b5b6769,0f12f9df,70d205c9,6c6591ab,c3d1402f,f0f628c7
548339,2012-04-25,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,facb9086,Kings XI Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,addbde6c,c3a96caf,508a1ea7,fd835ab3,d67d5f00,9a158001,98ae73b1,dc4686e6,e938e1bc,1a0c3177,cf73ad76,d2c2b2d5,740742ef,c03f1114,a757b0d8,70d205c9,8b5b6769,26ff4c29,c3d1402f,f0f628c7,94eac556
548359,2012-05-08,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,facb9086,Kings XI Punjab,6,5,0,0,0,0,0,0,0,0,0,0,6,0,0,6,c3a96caf,508a1ea7,addbde6c,fd835ab3,9a158001,d67d5f00,98ae73b1,5d096f3d,e938e1bc,1a0c3177,39f82db3,0a476045,b5da6c24,d0513f63,6b71e6cf,2461eef2,2815fe50,1c2a64cd,dec8e038,6b19d823,d718440b
548366,2012-05-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,facb9086,Kings XI Punjab,11,14,1,0,0,0,0,0,0,0,0,0,12,0,0,12,addbde6c,c3a96caf,508a1ea7,9a158001,fd835ab3,98ae73b1,6eb146d2,e938e1bc,1a0c3177,12eddf28,0a476045,b5da6c24,6b71e6cf,d0513f63,2a2e6343,2461eef2,2815fe50,6b19d823,8fd1a8f5,ae78bc32,2f3817ce
548371,2012-05-17,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,facb9086,Kings XI Punjab,11,12,1,0,0,0,0,0,0,0,0,0,12,0,0,12,2b6e6dec,c3a96caf,addbde6c,fd835ab3,9a158001,6eb146d2,98ae73b1,12eddf28,e938e1bc,1a0c3177,4b57e452,48fd7349,1dc12ab9,4a8a2e3b,87e562a9,fe93fd9d,c3d35165,95a2ea61,495d42a5,f3171936,93a17209
548374,2012-05-19,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,facb9086,Kings XI Punjab,38,33,5,1,0,0,0,0,0,0,0,0,49,0,0,49,2b6e6dec,c3a96caf,25eeb281,fd835ab3,9a158001,6eb146d2,98ae73b1,12eddf28,e938e1bc,1a0c3177,0c94f480,dcce6f09,fe763256,5fa06777,d18f9182,890946a0,bbd41817,f62772e5,0a3d54b9,5bb5a915,cc1e8c68
