match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082603,2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,0,0,0,0,24,1,40,1,0,0,0,0,0,33,0,33,35205dfc,b8a55852,1dc12ab9,c03f1114,b8d490fd,752f7486,e938e1bc,871e9faf,7c7d63a2,c8179c68,29e95537,77255a9e,30a45b23,e087956b,26e5cabf,4a8a2e3b,24d94623,1abb78f8,2f9d0389,2ed569a0,acee4cc4
1082606,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,0,0,0,0,24,0,34,0,0,1,0,0,0,0,8,8,35205dfc,b8a55852,1dc12ab9,752f7486,c03f1114,d1c36f5c,e938e1bc,871e9faf,7c7d63a2,f0f628c7,b5da6c24,99b75528,fb2d1dda,740742ef,a757b0d8,dbe50b21,5b8c830e,8b5b6769,51a3c5ef,a12e1d51,462411b3
1082610,2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,23,22,2,0,24,0,57,0,0,0,0,0,25,-6,0,19,35205dfc,b8a55852,1dc12ab9,b8d490fd,c03f1114,752f7486,7c7d63a2,871e9faf,d2a989fc,1da489ff,db584dad,ba607b88,12b610c2,99d63244,4329fbb5,c3a96caf,bd17b45f,f62772e5,350bb1b1,957532de,57ee1fde
1082613,2017-04-21,Eden Gardens,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,19,13,1,1,24,0,32,0,0,0,0,0,24,0,0,24,b8d490fd,b8a55852,1dc12ab9,c03f1114,752f7486,35205dfc,808f425a,e938e1bc,871e9faf,d2a989fc,9d430b40,bb345e0b,1c17e270,93b4fc78,3c6ffae8,271f83cd,7dc35884,4c5d73db,56ab442f,8d2c70ad,cc1e8c68
1082616,2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,9,7,1,0,24,1,33,1,0,0,0,0,10,33,0,43,b8a55852,b8d490fd,1dc12ab9,c03f1114,35205dfc,f10e94c4,7c7d63a2,871e9faf,b51f72a5,b822e99c,c03e2850,e798611a,508a1ea7,b681e71e,d9273ee7,2e171977,fe11caa6,759ac88f,edb3d4f8,ce794613,ce820073
1082621,2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,2,5,0,0,24,2,29,1,0,1,0,1,2,58,14,74,752f7486,b8a55852,1dc12ab9,b8d490fd,c03f1114,808f425a,7c7d63a2,871e9faf,b822e99c,f18ba07f,db584dad,ba607b88,c4487b84,12b610c2,99d63244,c3a96caf,f62772e5,76388dc8,957532de,18e6906e,57ee1fde
1082625,2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,28,22,2,1,6,0,11,0,0,0,0,2,32,0,12,44,752f7486,b8a55852,1dc12ab9,b8d490fd,c03f1114,808f425a,5fa06777,7c7d63a2,871e9faf,f18ba07f,b5da6c24,99b75528,fb2d1dda,740742ef,a757b0d8,5b8c830e,dbe50b21,8b5b6769,51a3c5ef,462411b3,a12e1d51
1082629,2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,19,12,3,0,12,0,19,0,0,0,0,0,26,0,0,26,752f7486,b8a55852,1dc12ab9,b8d490fd,35205dfc,c03f1114,808f425a,9fc0ef64,871e9faf,f18ba07f,29e95537,77255a9e,30a45b23,26e5cabf,e087956b,4a8a2e3b,2a2e6343,f19ccfad,1e66c162,1abb78f8,acee4cc4
1082632,2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,18,7,0,2,12,1,28,0,0,0,0,0,22,19,0,41,35205dfc,b8a55852,1dc12ab9,c03f1114,b8d490fd,752f7486,808f425a,9fc0ef64,871e9faf,f18ba07f,a4cc73aa,944533a5,919a3be2,85ec8e33,8abdf100,f846de6a,ded9240e,e62dd25d,9d80c5e1,6b19d823,8cf9814c
1082637,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,fe93fd9d,Gujarat Lions,7,8,0,0,12,0,19,0,0,0,0,0,7,0,0,7,35205dfc,752f7486,1dc12ab9,c03f1114,b8d490fd,808f425a,d2a989fc,9fc0ef64,871e9faf,f18ba07f,2be41edb,e798611a,508a1ea7,b681e71e,2e171977,fe11caa6,6eb146d2,759ac88f,ce820073,0a3d54b9,ce794613
